,minimum,maximum
23DHMPO,0.0,0.0
26DAPt2r,2.0851575648258622,1000.0
2AHBUTI,0.0,0.0
2INSD,0.0,0.5163080564050225
2MBCOATA,7.101757706708836,7.101757706708554
2MEBCOADH,7.101757706708806,7.101757706708495
3CARLPDH,0.0,0.0
3HAD10M12,7.101757706708807,7.101757706708498
3HAD11M12,7.101757706708807,7.101757706708497
3HAD12M14,7.101757706708807,7.101757706708498
3HAD13M14,7.101757706708807,7.101757706708497
3HAD14M16,7.101757706708807,7.101757706708498
3HAD15M16,7.101757706708807,7.101757706708497
3HAD4M6,7.101757706708836,7.101757706708478
3HAD5M6,7.101757706708807,7.101757706708497
3HAD6M8,7.101757706708807,7.101757706708498
3HAD7M8,7.101757706708807,7.101757706708497
3HAD8M10,7.101757706708807,7.101757706708498
3HAD9M10,7.101757706708807,7.101757706708497
3MEBCOADH,-7.101757706708529,-7.101757706708807
3OAR10M12,7.10175770670881,7.101757706708521
3OAR11M12,7.101757706708808,7.101757706708497
3OAR12M14,7.101757706708808,7.101757706708498
3OAR13M14,7.101757706708808,7.101757706708497
3OAR14M16,7.101757706708808,7.101757706708498
3OAR15M16,7.101757706708808,7.101757706708497
3OAR4M6,7.101757706708836,7.101757706708477
3OAR5M6,7.101757706708808,7.101757706708497
3OAR6M8,7.101757706708808,7.101757706708498
3OAR7M8,7.101757706708808,7.101757706708497
3OAR8M10,7.101757706708808,7.101757706708498
3OAR9M10,7.101757706708808,7.101757706708497
3OAS10M12,7.101757706708808,7.101757706708498
3OAS11M12,7.101757706708808,7.101757706708496
3OAS12M14,7.101757706708808,7.101757706708498
3OAS13M14,7.101757706708808,7.101757706708496
3OAS3M4,7.101757706708808,7.101757706708497
3OAS4M3O6,7.101757706708836,7.101757706708477
3OAS4M6,7.101757706708808,7.101757706708498
3OAS5M6,7.101757706708808,7.101757706708496
3OAS6M8,7.101757706708808,7.101757706708498
3OAS7M8,7.101757706708808,7.101757706708496
3OAS8M10,7.101757706708808,7.101757706708498
3OAS9M10,7.101757706708808,7.101757706708496
4HBZt2,0.2581540282076916,0.25815402820744343
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.0
5DGCLURI,0.0,0.5163080564148903
5DOAN,0.0,-1.3586692994774542e-11
5MTHCYST,3.359732267967534e-11,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACBIPGT,0.2581540282074548,0.25815402820744504
ACGAM2E,0.0,0.0
ACGAMT,0.4516966009455805,0.4516966009455606
ACGApts,0.0,-1.7551864507502982e-10
ACHBPL,0.0,0.0
ACKr,-999.9999999998523,-1000.0000000001515
ACLS_a,0.0,0.0
ACLS_b,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.5508788533542694
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.550878853354404,3.5508788533542486
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.550878853354404,3.5508788533542486
ACONTa,-665.2568852664139,304.2391700986163
ACONTb,-665.2568852664172,304.2391700986369
ACPS1,0.25815402820745476,0.25815402820744465
ACS,0.0,-8.493526554344597e-11
ACtr,-1000.0,-1000.0000000001569
ADA,0.0,-1.5204385660137543e-10
ADK1,96.20654056345364,96.72284861969301
ADK2,0.2581540282074548,0.25815402820744404
ADNCYC,0.0,0.0
ADOCBIK,0.25815402820745487,0.2581540282074427
ADOCBLS,0.25815402820745476,0.25815402820744265
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,1.0326161129976668,1.0326161127917939
ADSL1r,11.903514337949655,11.903514337797235
ADSL2r,0.0,0.0
