,minimum,maximum
12DGR180ti,1.4565715458222037,1.4565715458222037
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,2.9131430916444083,2.913143091644406
2MEBCOADH,-2.9131430916444048,-2.913143091644411
2MECOAOX,-1000.0,-7.372345537382256e-12
3CARLPDH,3.976908690700293e-13,0.0
3HAD10M12,2.9131430916444088,2.913143091644403
3HAD11M12,2.9131430916444088,2.9131430916443963
3HAD12M14,2.9131430916444088,2.9131430916443968
3HAD13M14,2.9131430916444088,2.9131430916443963
3HAD14M16,2.9131430916444088,2.9131430916443963
3HAD15M16,2.9131430916444088,2.9131430916443963
3HAD4M6,2.9131430916444088,2.913143091644399
3HAD5M6,2.9131430916444088,2.913143091644398
3HAD6M8,2.9131430916444088,2.9131430916443986
3HAD7M8,2.9131430916444088,2.913143091644397
3HAD8M10,2.9131430916444088,2.913143091644398
3HAD9M10,2.9131430916444088,2.9131430916443968
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPPPNH,0.0,0.0
3MEBCOADH,2.9131430916444083,2.9131430916444145
3MOBS,3.0636692178568927e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.9131430916444083,2.913143091644405
3OAR11M12,2.9131430916444083,2.913143091644404
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.9131430916444083,2.9131430916444048
3OAR13M14,2.9131430916444083,2.913143091644404
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.9131430916444083,2.913143091644404
3OAR15M16,2.9131430916444083,2.913143091644404
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.9131430916444083,2.913143091644407
3OAR5M6,2.9131430916444034,2.913143091644407
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.9131430916444083,2.9131430916444145
3OAR7M8,2.9131430916444083,2.913143091644399
3OAR80,0.0,0.0
3OAR8M10,2.9131430916444083,2.9131430916444
3OAR8M9,0.0,0.0
3OAR9M10,2.9131430916444083,2.913143091644399
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.9131430916444083,2.913143091644418
3OAS11M12,2.9131430916444083,2.913143091644417
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.9131430916444083,2.913143091644418
3OAS13M14,2.9131430916444083,2.913143091644418
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.9131430916444057,2.9131430916444208
3OAS4M3O6,2.9131430916444083,2.913143091644402
3OAS4M5,0.0,0.0
3OAS4M6,2.9131430916444083,2.9131430916444083
3OAS5M6,2.9131430916444083,2.9131430916444065
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,2.9131430916444083,2.9131430916444137
3OAS7M8,2.9131430916444083,2.9131430916444128
3OAS80,0.0,0.0
3OAS8M10,2.9131430916444083,2.9131430916444097
