,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,993.1472481347146
2AHBUTI,-993.1472481346254,1000.0
2MBCOATA,6.83249916492699,6.83249916492699
2MEBCOADH,-507.1966834927195,-321.37580698462307
2MECOAOX,-1000.0,500.36418432735616
3CARLPDH,5.962546156693264e-13,0.0
3HAD10M12,6.832499164926991,6.832499164926975
3HAD11M12,6.832499164926991,6.832499164927021
3HAD12M14,6.832499164926991,6.8324991649270235
3HAD13M14,6.832499164926991,6.8324991649270235
3HAD14M16,6.832499164926991,6.8324991649270235
3HAD15M16,6.832499164926991,6.832499164927022
3HAD4M6,6.832499164926991,6.832499164927028
3HAD5M6,6.832499164927002,6.832499164927019
3HAD6M8,6.832499164926991,6.832499164927021
3HAD7M8,6.832499164926991,6.8324991649270235
3HAD8M10,6.832499164926991,6.832499164927025
3HAD9M10,6.832499164926991,6.8324991649270235
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPPPNH,0.0,0.0
3MEBCOADH,321.3758069847395,507.1966834927969
3MOBS,-30.10954946377118,-30.109549463766548
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.832499164926975,6.832499164927008
3OAR11M12,6.832499164926991,6.832499164927026
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.832499164926991,6.832499164927024
3OAR13M14,6.832499164926991,6.832499164927026
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.832499164926991,6.832499164927024
3OAR15M16,6.832499164926991,6.832499164927024
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.832499164926991,6.832499164927026
3OAR5M6,6.832499164927001,6.832499164927034
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.832499164926991,6.832499164927022
3OAR7M8,6.832499164926991,6.832499164927026
3OAR80,0.0,0.0
3OAR8M10,6.832499164926991,6.832499164927026
3OAR8M9,0.0,0.0
3OAR9M10,6.832499164926991,6.832499164927026
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.83249916492699,6.832499164927035
3OAS11M12,6.83249916492699,6.832499164927032
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.83249916492699,6.832499164927036
3OAS13M14,6.83249916492699,6.832499164927035
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.832499164927,6.832499164927044
3OAS4M3O6,6.83249916492699,6.832499164927011
3OAS4M5,0.0,0.0
3OAS4M6,6.83249916492699,6.832499164927039
3OAS5M6,6.83249916492699,6.832499164927035
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.83249916492699,6.832499164927055
3OAS7M8,6.83249916492699,6.832499164927051
3OAS80,0.0,0.0
3OAS8M10,6.83249916492699,6.832499164927005
3OAS8M9,0.0,0.0
3OAS9M10,6.83249916492699,6.832499164927021
4HTHDR,2.006100166862192,2.006100166862201
4HTHDS,2.006100166862192,2.006100166862201
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.3846637886513021e-11
5ASAp,0.0,179.55001881646982
5C2O3EDDC,0.0,6.054697172969476e-12
5DOAN,0.0,1.0124657629910193e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-1.0125977357235663e-12,0.0
AACGLYDH,0.0,4.3954589886427445e-12
AACOAT,0.0,1.0445781843300178e-11
AACTOOR,0.0,0.0
ABTA,0.0,1.5394401440352474e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,0.0
ABUTt2r,1.2256219977519682e-11,-1.2619199542873037e-11
AC5ASAc,0.0,179.55001881551107
AC5ASAp,0.0,179.55001881616573
ACACT1r,328.20830614990524,514.0291826575206
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.24836628550193024,0.24836628550193018
ACCOAC,81.98998997912388,81.98998997912452
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.43457081700289324,0.43457081700289557
ACGK,20.035856236519596,20.035856236539868
ACGS,20.035856236519596,20.03585623653004
ACHBPL,6.852751865447461,19.3944672483019
ACISNZDp,-1000.0,-820.4499811830682
ACKr,-974.1048570400169,-974.1048570400587
ACLS_a,65.2142169573696,77.75593234016216
ACLS_b,-58.361465091846355,-58.36146509179054
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.4162495824635086
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.41624958246349,3.4162495824635135
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.4162495824634957,3.416249582463513
ACOAD1,0.0,1000.0000000000001
ACOAD1fi,0.0,1000.0
ACOAD2,0.0,0.0
ACOAD20,0.0,750.1820921638373
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,-2.9033214464277153e-12,0.0
ACOAD8,-514.0291826574672,-328.2083061508947
ACOADH2,0.0,500.00000000000006
ACOATA,0.0,0.0
ACODAr,20.035856236519596,20.035856236511506
ACONMT,0.0,0.0
ACONTa,7.4771299220364735,366.57716755420194
ACONTb,7.477129922036473,366.5771675533378
ACOTA,-20.035856236519873,-20.035856236519596
ACPS1,0.2483662855019303,0.24836628550192907
ACS,0.0,1.6748800780349487e-11
ACtr,-1000.0,-999.9999999999985
ADA,0.0,8.698039387425462e-11
ADCL,0.7450988565057911,0.7450988565056119
ADCPS2,0.0,2.9802054156412307e-13
ADCS,0.7450988565057911,0.7450988565074617
ADCYRS,0.0,1.2510719616136606e-12
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.0763966486179
ADK11,-1000.0,999.0763966486178
ADK2,0.24836628550193027,0.24836628550379317
ADK3,-1000.0,987.6487402105093
ADK5,-1000.0,939.3956586150829
ADK7,-1000.0,1000.0
ADK8,-1000.0,998.3539567540544
ADK9,-1000.0,998.3539567540543
ADNCNT3tc,19.461922777484915,1000.0
ADNCYC,0.0,0.0
ADNK1,12.246266581764488,12.246266581766696
ADNUC,0.0,21.958058087659538
ADOCBIK,0.0,0.24836628550193052
ADOCBIK2,0.0,0.24836628550193007
ADOCBLS,0.24836628550193027,0.2483662855019289
ADOCBLabc,-4.245552277666768e-17,0.0
ADPRDP,0.0,0.0
ADPT,0.0,-7.546586098732169e-13
ADSK,0.0,-2.648941904557325e-11
ADSL1r,0.0,1.5154626367563e-12
ADSL2r,0.0,2.0639817665362186e-12
ADSS,0.0,-3.592653361861969e-12
AGDC,0.0,0.0
AGMD,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.416249582463489
