,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,974.85522928826
25K5O2AI,0.0,0.0
2AHBUTI,-974.85522928826,1000.0
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DHPL,2.2603644398703416e-11,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.787212179509553,4.787212179505092
2MEBCOADH,-4.787212179435652,-4.787212179509649
2MECOAOX,1.486297676436167e-10,-7.039270143745628e-11
2RCDHOFAL,0.0,0.0
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
3BHYDANOR,0.0,0.0
3CARLPDH,3.0705957688556053e-12,0.0
3HACOAOR,0.0,0.0
3HAD100,4.787212179509552,4.787212179494395
3HAD10M12,4.787212179509552,4.787212179504354
3HAD11M12,4.78721217950955,4.787212179498555
3HAD120,4.787212179509552,4.787212179501445
3HAD12M14,4.787212179509552,4.787212179503856
3HAD13M14,4.787212179509548,4.787212179502964
3HAD140,4.787212179509552,4.787212179495376
3HAD14M16,4.787212179509552,4.787212179509534
3HAD15M16,4.787212179509552,4.787212179509541
3HAD180,4.787212179509553,4.787212179509541
3HAD40,4.787212179509552,4.787212179509537
3HAD4M6,4.787212179509552,4.787212179509527
3HAD5M6,4.787212179509549,4.787212179509501
3HAD60,4.787212179509552,4.787212179509551
3HAD6M8,4.787212179509552,4.787212179509562
3HAD7M8,4.787212179509549,4.787212179509551
3HAD80,4.787212179509552,4.787212179509524
3HAD8M10,4.787212179509552,4.7872121795095195
3HAD9M10,4.787212179509549,4.78721217950953
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,-8.070223103141813e-11
3HCINNMH,0.0,0.0
3HPCOAHLi,0.0,0.0
3HPCOAHYD,0.0,-9.082930244887873e-11
3HPCOAS,4.475756179202992e-11,0.0
3HPPPNH,0.0,0.0
3MEBCOADH,-4.787212179498982,-4.787212179509547
