,minimum,maximum
12DGR180ti,2.256643742263087,2.2566437422630945
23DHMPO,-17.3245303676784,-17.32453036767827
26DAPt2r,16.448565609235693,16.448565609253635
2AHBUTI,17.324530367678275,17.324530367678385
2MBCOATA,4.513287484526173,4.513287484526187
3DGUR,0.0,1000.0000000000002
3HAD10M12,4.513287484526173,4.513287484526196
3HAD11M12,4.513287484526158,4.5132874845261854
3HAD12M14,4.513287484526174,4.513287484526193
3HAD13M14,4.513287484526158,4.513287484526172
3HAD14M16,4.513287484526175,4.513287484526193
3HAD15M16,4.513287484526175,4.513287484526184
3HAD4M6,4.513287484526173,4.513287484526183
3HAD5M6,4.513287484526159,4.513287484526173
3HAD6M8,4.513287484526173,4.513287484526193
3HAD7M8,4.513287484526159,4.513287484526173
3HAD8M10,4.513287484526173,4.513287484526193
3HAD9M10,4.513287484526158,4.513287484526172
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.513287484526174,4.513287484526193
3OAR11M12,4.513287484526157,4.513287484526172
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.513287484526174,4.513287484526193
3OAR13M14,4.513287484526157,4.513287484526172
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.513287484526175,4.513287484526193
3OAR15M16,4.513287484526157,4.513287484526172
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.513287484526172,4.513287484526193
3OAR5M6,4.513287484526159,4.513287484526174
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.513287484526172,4.513287484526193
3OAR7M8,4.513287484526159,4.513287484526173
3OAR80,0.0,0.0
3OAR8M10,4.513287484526172,4.513287484526193
3OAR8M9,0.0,0.0
3OAR9M10,4.513287484526158,4.513287484526172
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.513287484526174,4.513287484526198
3OAS11M12,4.513287484526158,4.513287484526184
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.513287484526174,4.513287484526196
3OAS13M14,4.513287484526158,4.513287484526188
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.513287484526158,4.513287484526188
3OAS4M3O6,4.513287484526173,4.513287484526196
3OAS4M5,0.0,0.0
3OAS4M6,4.513287484526173,4.513287484526194
