,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
2AHBUTI,-1000.0,1000.0
2DHPL,-2.601602888103364e-12,0.0
2DMMQ8abcpp,0.18800926320393924,0.18800926322491263
2DMMQ8tex,0.1880092631837162,0.18800926322717423
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,5.172091418828752,5.17209141881894
2OMPHH,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHEt2pp,0.0,0.0
34DHPHEtex,0.0,0.0
3CARLPDH,5.4082434303989e-13,0.0
3HACPR1,0.0,1.272473222989847e-12
3HACPR2,0.0,0.0
3HAD10M12,5.17209141882875,5.172091418834608
3HAD11M12,5.17209141882875,5.172091418833823
3HAD12M14,5.1720914188287495,5.172091418836065
3HAD13M14,5.1720914188287495,5.17209141883298
3HAD14M16,5.172091418828749,5.172091418828774
3HAD15M16,5.172091418828749,5.1720914188287646
3HAD4M6,5.172091418828753,5.172091418828765
3HAD5M6,5.172091418828753,5.172091418828774
3HAD6M8,5.172091418828752,5.172091418828753
3HAD7M8,5.172091418828752,5.172091418828753
3HAD8M10,5.172091418828751,5.172091418828753
3HAD9M10,5.172091418828751,5.172091418828753
3MOBS,-876.4768818784713,0.0
3OAACPR1,0.0,1.3655151873249797e-13
3OAACPR2,0.0,8.908689845990882e-13
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.1720914188287495,5.172091418828772
3OAR11M12,5.1720914188287495,5.172091418828757
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.1720914188287495,5.172091418828763
3OAR13M14,5.1720914188287495,5.172091418828764
3OAR140,12.155726314979232,12.155726314980466
3OAR14M15,0.0,0.0
3OAR14M16,5.172091418828749,5.172091418828803
3OAR15M16,5.172091418828749,5.172091418828771
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.172091418828752,5.172091418828753
3OAR5M6,5.172091418828752,5.172091418828754
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.172091418828751,5.172091418828761
3OAR7M8,5.172091418828751,5.172091418828761
3OAR80,0.0,0.0
3OAR8M10,5.1720914188287495,5.1720914188287646
3OAR8M9,0.0,0.0
3OAR9M10,5.1720914188287495,5.172091418828795
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.1720914188287495,5.172091418828761
3OAS11M12,5.1720914188287495,5.172091418828763
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.172091418828749,5.172091418828829
3OAS13M14,5.172091418828749,5.172091418828829
3OAS140,12.155726314979232,12.155726314986822
3OAS160,0.0,1.1039094274933542e-12
3OAS180,0.0,7.193440097256698e-13
3OAS2M3,0.0,0.0
3OAS3M4,5.172091418828751,5.172091418828771
3OAS4M3O6,5.172091418828751,5.172091418828768
3OAS4M5,0.0,0.0
3OAS4M6,5.172091418828751,5.172091418828752
3OAS5M6,5.172091418828751,5.172091418828752
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.17209141882875,5.172091418828768
3OAS7M8,5.17209141882875,5.172091418828768
3OAS80,0.0,0.0
3OAS8M10,5.1720914188287495,5.172091418828801
