,minimum,maximum
12DGR180ti,1.326014282795321,1.3260142827915797
2MBCOATA,2.6520285655906326,2.652028565583165
2MEBCOADH,-2.6520285655831644,-2.65202856559065
3CARLPDH,0.0,0.0
3HAD10M12,2.6520285655906393,2.652028565583171
3HAD11M12,2.6520285655906375,2.6520285655831684
3HAD12M14,2.652028565590638,2.6520285655831657
3HAD13M14,2.652028565590638,2.6520285655831652
3HAD14M16,2.6520285655906375,2.6520285655831657
3HAD15M16,2.6520285655906375,2.6520285655831652
3HAD4M6,2.6520285655906375,2.6520285655831652
3HAD5M6,2.6520285655906375,2.6520285655831652
3HAD6M8,2.6520285655906375,2.6520285655831657
3HAD7M8,2.6520285655906375,2.6520285655831652
3HAD8M10,2.6520285655906375,2.6520285655831657
3HAD9M10,2.6520285655906375,2.6520285655831652
3MEBCOADH,-2.6520285655831706,-2.6520285655906273
3MOBDC2,0.0,0.0
3MOPDC2,5.304057131181252,5.304057131166339
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.6520285655906375,2.6520285655831657
3OAR11M12,2.6520285655906375,2.652028565583155
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.6520285655906375,2.652028565583155
3OAR13M14,2.6520285655906375,2.6520285655831555
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.6520285655906375,2.652028565583155
3OAR15M16,2.6520285655906375,2.652028565583155
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.652028565590632,2.652028565583151
3OAR5M6,2.6520285655906375,2.6520285655831652
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.6520285655906375,2.652028565583155
3OAR7M8,2.6520285655906375,2.652028565583155
3OAR80,0.0,0.0
3OAR8M10,2.6520285655906375,2.652028565583155
3OAR8M9,0.0,0.0
3OAR9M10,2.6520285655906375,2.652028565583155
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.6520285655906375,2.6520285655831706
3OAS11M12,2.6520285655906375,2.65202856558317
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.6520285655906375,2.6520285655831652
3OAS13M14,2.6520285655906375,2.6520285655831652
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.6520285655906375,2.6520285655831484
3OAS4M3O6,2.652028565590633,2.652028565583168
3OAS4M5,0.0,0.0
3OAS4M6,2.6520285655906375,2.652028565583155
3OAS5M6,2.6520285655906375,2.6520285655831586
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,2.6520285655906375,2.6520285655831595
3OAS7M8,2.6520285655906375,2.6520285655831595
3OAS80,0.0,0.0
3OAS8M10,2.6520285655906375,2.6520285655831612
3OAS8M9,0.0,0.0
3OAS9M10,2.6520285655906375,2.6520285655831652
4HBZt2,0.25324624757317266,0.2532462475724591
4MOPDC2,0.0,0.0
5AIZCDC,0.0,-1.6074586423384598e-08
AACGLYDH,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999999,0.0
AC2DHOR,0.0,0.0
ACBIPGT,0.25324624757317266,0.25324624757245895
ACCOACL,31.8243427870877,31.82434278699791
ACCOAL,0.0,0.0
ACGAMT,0.17282317256643467,0.17282317256594848
ACGApts,0.0,0.0
ACLS_a,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.3260142827953187,1.326014282791582
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.3260142827953187,1.3260142827915793
ACOATA,0.0,0.0
ACONTa,0.0,-5.177741903282838e-09
ACONTb,0.0,-5.176190275533865e-09
ACPS1,0.25324624757317266,0.2532462475724597
ACS,0.0,0.0
ADCS,0.0,0.0
ADK1,19.82579986896429,20.3322923640633
ADK2,0.25324624757317266,0.2532462475724587
ADNCNT3tc,3.161079153692171,3.1610791358522237
ADNCYC,0.0,0.0
ADNUC,3.1610791536911016,3.161079135852223
ADOCBIK,0.2532462475731726,0.2532462475724588
ADOCBLS,0.25324624757317266,0.25324624757245884
ADPT,3.6675716488374466,3.667571630997141
ADSL1r,0.0,-1.7854882690467376e-08
ADSL2r,0.0,-1.70136794424265e-09
ADSS,0.0,-1.7826902809928722e-08
AGPAT120,0.0,-4.223191199994262e-09
AGPAT140,0.0,-1.9814220586085052e-09
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,0.5064924951463453,0.5064924945750019
AICART,0.0,-1.7017070583939586e-09
AIHDUDPMG,0.23043089675524622,0.23043089675459738
AIHDUPDG,0.23043089675524625,0.2304308967545973
AIHPDCOATA,2.6520285655906375,2.652028565583169
AIPDCOATA,0.0,0.0
AIRC4,0.0,-1.6076959909996743e-08
AKGS,0.0,-8.023899974614423e-08
ALAALA,0.05760772418881157,0.05760772418864931
ALAASP1c,447.39999984334196,447.3999996827824
ALAASPabc,447.39999984325846,447.3999996827953
ALAD_R,-568.0470739416085,-568.0470741556039
ALAGLN1c,0.0,-1.458520083518944e-08
ALAGLNabc,0.0,-1.4586137583425559e-08
ALAGLU1c,0.0,-1.4586137583425557e-08
ALAGLUabc,0.0,-1.4598348323747169e-08
ALAGLY1c,0.0,-1.0036346311279057e-08
ALAGLYabc,0.0,-1.0035916379937485e-08
ALAHIS1c,0.0,-1.4597626639324715e-08
ALAHISabc,0.0,-1.4587103648768698e-08
ALALEU1c,0.0,-1.458713987621906e-08
ALALEUabc,0.0,-1.458826292718047e-08
ALAPGPL,0.05760772418881157,0.05760772418864939
ALAR,6.8553191784685765,6.855319178449251
ALATHR1c,0.0,-1.4597212378824469e-08
ALATHRabc,0.0,-1.458739346837164e-08
ALAt4r,-1000.0000000000001,-1000.000000040104
ALDD2x,0.0,0.0
ALPHNH,0.0,0.0
AMMQLT8,0.2532462475731726,0.25324624757245934
AMMQT7rev,0.506492495717352,0.5064924951449191
AMPTASECG,0.0,2.3231085869672587
AMPTASEGC,0.0,2.323108586967245
ARBTpts,0.0,0.0
ARGDC,0.0,0.0
ARGN,0.0,0.0
ARGt2,6.168724798248245,67.32940630051287
ARSENBt2,0.0,0.0
ASNt2r,4.731163143284038,4.731163129894447
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASPCT,0.9002702038808534,0.9002702038783135
ASPO2,0.0,0.0
ASPT,0.0,508.23330503597094
ASPTA,-66.46473868698175,441.76856634901355
ATPS4,1000.0000000089216,1000.0
BAMPPALDOX,0.0,0.0
BHBtp,0.0,0.0
BPNT,0.25324624757317266,0.25324624757245906
BTDD_RR,0.0,0.0
BTNCLi,31.82434278708766,31.82434278699799
BTNabc,0.0,0.0
CAt4i,0.25324624757317266,0.25324624757245695
CBIAT,0.25324624757317266,0.2532462475724569
CBMKr,0.9002702038808531,0.9002702038783076
CD2abc1,0.0,0.0
CDPGLYCGPT,0.17282317256643467,0.17282317256594623
CDPMEK,3.1661474418086923,3.16614744179984
CGLYabc,0.2532462475731726,2.5763548345396843
CHORS,0.0,0.0
CLPNS180,0.27389584651001814,0.27389584650924537
CLPNSAI17,0.27389584651001814,0.2738958465092469
CLPNSI17,0.27389584651001814,0.2738958465092469
CO2t,-48.712567078376914,-48.712567238866654
COBALTt5,-0.2532462475724594,-0.25324624757317266
CYO1b,0.0,0.0
CYOO3,0.0,-2.0067448603966577e-08
CYOR3,0.0,0.0
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYTBD,0.0,947.2788379830231
CYTBD2,0.0,947.2788379830229
CYTD,0.0,-1.605683482173866e-07
CYTDK3,1.6905367982260364,1.690536798221274
CYTDt2r,1.6905367982260364,1.6905366375306146
CYTK1,32.511501730022154,33.01799422154656
CYTK2,-0.5443724205346754,-0.5443724205362088
Cuabc,0.2532462475731727,0.253246239546077
Cut1,0.0,-8.025120504079821e-09
DADNt2r,0.0,0.0
DAGK180,1.0955833860400725,1.0955833860369877
DAPDA,0.0,0.0
DAPabc,0.05760772418881156,0.05760772418864913
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,1.0955833860400725,1.0955833860369837
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,1.0955833860400725,1.0955833860369837
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,1.0955833860400725,1.0955833860369841
DCMPDA,0.5443724205362088,0.5443724205346749
DCYTD,0.0,0.0
DCYTt2r,0.0,0.0
DDPA,0.0,0.0
DGK1,0.0,0.0
DGSNt2,0.0,0.0
DHFOR2,-0.7597387427173776,-0.7597387427195181
DHFR,1.3041111632557265,1.3041111632520528
