,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2MBCOATA,7.509636250958231,7.5096362509582635
2MECOAOX,-1000.0,971.1738014194738
3HAD10M12,7.509636250958229,7.509636250958186
3HAD11M12,7.5096362509582395,7.509636250958248
3HAD12M14,7.509636250958231,7.50963625095824
3HAD13M14,7.50963625095824,7.509636250958243
3HAD14M16,7.509636250958229,7.5096362509582395
3HAD15M16,7.5096362509582395,7.509636250958243
3HAD4M6,7.509636250958229,7.509636250958233
3HAD5M6,7.509636250958237,7.509636250958239
3HAD6M8,7.509636250958231,7.509636250958235
3HAD7M8,7.509636250958237,7.509636250958239
3HAD8M10,7.509636250958231,7.509636250958237
3HAD9M10,7.509636250958239,7.50963625095824
3HBCOAE,-725.195381269553,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.5096362509582315,7.50963625095824
3OAR11M12,7.5096362509582395,7.509636250958248
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.509636250958232,7.5096362509582395
3OAR13M14,7.50963625095824,7.509636250958248
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,7.509636250958232,7.5096362509582395
3OAR15M16,7.50963625095824,7.509636250958248
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.50963625095823,7.50963625095824
3OAR5M6,7.509636250958238,7.5096362509582475
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.509636250958231,7.5096362509582395
3OAR7M8,7.509636250958238,7.5096362509582475
3OAR80,0.0,0.0
3OAR8M10,7.5096362509582315,7.5096362509582395
3OAR8M9,0.0,0.0
3OAR9M10,7.509636250958239,7.5096362509582475
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.509636250958231,7.509636250958276
3OAS11M12,7.50963625095824,7.509636250958246
3OAS120,0.0,0.0
3OAS12M13,1.2621084629111868e-12,0.0
3OAS12M14,7.509636250958239,7.509636250958246
3OAS13M14,7.50963625095824,7.509636250958249
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.509636250958237,7.509636250958254
3OAS4M3O6,7.509636250958228,7.509636250958246
3OAS4M5,0.0,0.0
3OAS4M6,7.509636250958229,7.50963625095822
3OAS5M6,7.509636250958237,7.509636250958243
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.509636250958231,7.509636250958254
3OAS7M8,7.509636250958237,7.5096362509582475
3OAS80,0.0,0.0
3OAS8M10,7.509636250958232,7.5096362509582635
3OAS8M9,0.0,0.0
3OAS9M10,7.509636250958239,7.509636250958249
3OXCOAT,0.0,2.9433174204770715e-12
5AIZCDC,0.0,5.967355537049788e-12
5APTLPO,0.0,0.0
5C2O3EDDC,0.0,0.0
5DOAN,0.0,3.472935096443513e-12
