,minimum,maximum
23DHMPO,-1.102022789255166,0.0
2AHBUTI,-1.6052961911888033e-13,1.1020227892503365
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.052732078146025,5.052732078148315
2MEBCOADH,-5.05273207814604,-5.0527320781460245
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,5.052732078146031,5.052732078146058
3HAD11M12,5.052732078146031,5.052732078146034
3HAD12M14,5.052732078146031,5.052732078146023
3HAD13M14,5.052732078146031,5.052732078146022
3HAD14M16,5.05273207814603,5.052732078146023
3HAD15M16,5.05273207814603,5.052732078146021
3HAD4M6,5.052732078146023,5.052732078146027
3HAD5M6,5.052732078146033,5.052732078146057
3HAD6M8,5.0527320781460325,5.052732078146055
3HAD7M8,5.0527320781460325,5.052732078146057
3HAD8M10,5.052732078146032,5.052732078146055
3HAD9M10,5.052732078146032,5.052732078146057
3HAO,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,0.0
3MEBCOADH,-5.052732078146061,-5.052732078146031
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,10.10546415629207,10.105464156292108
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.052732078146031,5.0527320781460565
3OAR11M12,5.052732078146031,5.052732078146056
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.05273207814603,5.052732078146053
3OAR13M14,5.05273207814603,5.052732078146053
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.05273207814603,5.0527320781460565
3OAR15M16,5.05273207814603,5.052732078146056
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.052732078146025,5.052732078146053
3OAR5M6,5.0527320781460325,5.052732078146059
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.0527320781460325,5.052732078146053
3OAR7M8,5.0527320781460325,5.05273207814605
3OAR80,0.0,0.0
3OAR8M10,5.052732078146032,5.052732078146047
3OAR8M9,0.0,0.0
3OAR9M10,5.052732078146032,5.052732078146056
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.052732078146031,5.052732078146053
3OAS11M12,5.052732078146031,5.052732078146053
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.05273207814603,5.052732078146047
3OAS13M14,5.05273207814603,5.052732078146046
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.052732078146033,5.052732078146047
3OAS4M3O6,5.052732078146025,5.05273207814604
3OAS4M5,0.0,0.0
3OAS4M6,5.052732078146033,5.052732078146057
3OAS5M6,5.052732078146033,5.0527320781460565
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.052732078146032,5.0527320781460405
3OAS7M8,5.052732078146032,5.05273207814604
3OAS80,0.0,0.0
3OAS8M10,5.052732078146032,5.052732078146053
3OAS8M9,0.0,0.0
3OAS9M10,5.052732078146032,5.052732078146053
4C2HM6SADH,0.0,0.0
4HP34DHPD,0.0,0.0
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
56DFURADH,-1000.0,1000.0
5AIZCDC,0.0,1.575865374761375e-11
5C2O3EDDC,0.0,0.0
5CM2HMUDI,0.0,0.0
5DOAN,0.0,1.9328273933799617e-12
5FURAt,-1000.000000000001,1000.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,5.898263887816994e-12
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000007
