,minimum,maximum
12DGR180ti,2.8474187526747703,2.847418752676915
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,650.9699877693924,1000.0
2MBCOATA,5.694837505349537,5.694837505353835
3HAD10M12,5.69483750534954,5.694837505353836
3HAD11M12,5.69483750534954,5.694837505353835
3HAD12M14,5.694837505349541,5.694837505353828
3HAD13M14,5.694837505349541,5.694837505353828
3HAD14M16,5.6948375053495415,5.694837505353827
3HAD15M16,5.6948375053495415,5.694837505353833
3HAD4M6,5.694837505349538,5.694837505353836
3HAD5M6,5.694837505349536,5.6948375053538305
3HAD6M8,5.694837505349539,5.694837505353828
3HAD7M8,5.694837505349539,5.69483750535384
3HAD8M10,5.69483750534954,5.694837505353838
3HAD9M10,5.69483750534954,5.694837505353841
3HBCOAHL,10.473930908888855,10.473930917965085
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.694837505349541,5.69483750579085
3OAR11M12,5.694837505349541,5.694837505790787
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.6948375053495415,5.694837505791048
3OAR13M14,5.6948375053495415,5.694837505790787
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.6948375053495415,5.694837505353837
3OAR15M16,5.6948375053495415,5.694837505353834
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.694837505349538,5.694837505353831
3OAR5M6,5.694837505349537,5.694837505353824
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.694837505349539,5.694837505353825
3OAR7M8,5.694837505349539,5.694837505353835
3OAR80,0.0,0.0
3OAR8M10,5.69483750534954,5.694837505353834
3OAR8M9,0.0,0.0
3OAR9M10,5.69483750534954,5.694837505353834
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.694837505349541,5.694837505353832
3OAS11M12,5.694837505349541,5.694837505353833
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.6948375053495415,5.694837505353832
3OAS13M14,5.6948375053495415,5.694837505353835
3OAS140,-3.642285235000015e-09,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.694837505349536,5.694837505353835
3OAS4M3O6,5.694837505349538,5.694837505353823
3OAS4M5,0.0,0.0
3OAS4M6,5.694837505349539,5.694837505353835
3OAS5M6,5.694837505349539,5.694837505353835
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.694837505349539,5.694837505353834
3OAS7M8,5.694837505349539,5.694837505353835
3OAS80,0.0,0.0
3OAS8M10,5.69483750534954,5.694837505353833
3OAS8M9,0.0,0.0
3OAS9M10,5.69483750534954,5.694837505353834
5AIZCDC,0.0,2.2594766245313715e-09
5APTLPO,0.0,0.0
5C2O3EDDC,0.0,0.0
5DOAN,0.0,4.657425861009811e-10
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,6.03361287117909e-09
AB6PGH2,0.0,6.033180589472807e-09
ABTOXy,0.0,0.0
ABUTD,0.0,999.9999999999999
ABUTR,-1000.0,2.2737367544323206e-13
ACALD,-75.29278057690631,-11.311309455968756
ACALDt,936.0185288912878,1000.0
ACBIPGT,0.2070114614870733,0.20701146148723007
ACCOACL,68.33805006419448,68.33805006424605
ACGAMT,0.3622115609032661,0.3622115609035391
ACGApts,0.0,3.017609707283317e-09
ACKr,-1000.0,-999.9999999939713
ACNAMS,0.0,6.702320274468193e-10
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,2.2061550187575803e-10
ACOAAGPATAI17,2.8474187526747707,2.8474187526769166
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.8474187526747694,2.8474187526769152
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,5.236965454458059,5.236965458980915
ACOATA,0.0,0.0
ACODAr,0.0,0.0
ACONT,0.0,4.523034742518432e-09
ACPS1,0.20701146148707328,0.20701146148722918
ACS,0.0,1.6433856245252013e-09
ACtr,-1000.0000000060256,-999.9999999939736
ADA,0.0,9.045169666094408e-09
ADCL,0.0,6.462376463848662e-10
ADCPS1,0.0,0.0
ADCPS2,0.0,0.0
ADCS,0.0,6.464670327991139e-10
ADCYRS,0.0,0.0
ADD,0.0,9.05019761130929e-09
ADK1,34.374592458972984,34.788615388926445
ADK2,0.20701146148707333,0.20701146148722935
ADMDC,0.0,0.0
ADNCNT3tc,29.573303699594685,999.5859770860576
ADOCBIK,0.0,0.20701146148722954
ADOCBIK2,0.0,0.2070114614872292
ADOCBLS,0.2070114614870733,0.2070114614872291
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,9.02333310986942,9.023333114107375
ADSL1r,1.2320062677891747e-13,1.6451106423814045e-09
ADSL2r,0.0,8.604985328316766e-10
ADSS,0.0,1.650244403629146e-09
AGDC,0.0,3.008849707418566e-09
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHC,0.4140229229746502,0.4140229231159425
AHCYSNS_r,0.0,0.0
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AICART,0.0,3.067094378511535e-10
AIHPDCOATA,5.6948375053495415,5.694837505353867
AIPDCOATA,0.0,0.0
AIRC4,0.0,2.259628171723549e-09
ALAALA,1.6720696474255419,1.672069647426804
ALAASP1c,0.0,3.0116035351617824e-09
ALAASPabc,0.0,3.0159636464226973e-09
ALAGLN1c,0.0,3.0170442496639834e-09
