,minimum,maximum
12PPDSDH,0.0,0.0
13PPDHr,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,4.805950604731222,4.805950604731508
3HAD10M12,4.805950604731211,4.805950604731527
3HAD11M12,4.805950604731211,4.805950604731529
3HAD12M14,4.805950604731211,4.80595060473154
3HAD13M14,4.805950604731211,4.8059506047315335
3HAD14M16,4.805950604731211,4.8059506047315335
3HAD15M16,4.805950604731211,4.8059506047315335
3HAD4M6,4.805950604731212,4.805950604731534
3HAD5M6,4.805950604731211,4.8059506047315335
3HAD6M8,4.805950604731211,4.8059506047315335
3HAD7M8,4.805950604731211,4.8059506047315335
3HAD8M10,4.805950604731211,4.8059506047315335
3HAD9M10,4.805950604731211,4.8059506047315335
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.805950604731211,4.805950604731527
3OAR11M12,4.805950604731211,4.805950604731527
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.805950604731211,4.805950604731529
3OAR13M14,4.805950604731211,4.805950604731529
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.805950604731211,4.8059506047315335
3OAR15M16,4.805950604731211,4.8059506047315335
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.805950604731208,4.80595060473152
3OAR5M6,4.805950604731211,4.805950604731526
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.805950604731211,4.8059506047315415
3OAR7M8,4.805950604731211,4.805950604731541
3OAR80,0.0,0.0
3OAR8M10,4.805950604731211,4.8059506047315335
3OAR8M9,0.0,0.0
3OAR9M10,4.805950604731211,4.805950604731524
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.805950604731211,4.805950604731533
3OAS11M12,4.805950604731211,4.8059506047315335
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.805950604731211,4.805950604731536
3OAS13M14,4.805950604731211,4.805950604731537
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.805950604731211,4.805950604731502
3OAS4M3O6,4.805950604731208,4.805950604731502
3OAS4M5,0.0,0.0
3OAS4M6,4.805950604731211,4.805950604731555
3OAS5M6,4.805950604731211,4.805950604731529
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.805950604731211,4.805950604731552
3OAS7M8,4.805950604731211,4.805950604731553
3OAS80,0.0,0.0
3OAS8M10,4.805950604731211,4.805950604731533
3OAS8M9,0.0,0.0
3OAS9M10,4.805950604731211,4.805950604731538
4ABZt2,0.5240993395784491,0.5240993395984878
4HBZt2,0.05823325995316099,0.05823325995699629
5AIZCDC,0.0,1.6025926313088783e-10
5DOAN,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,6.50776899591769e-10
AB6PGH2,0.0,6.244552979343117e-10
ABTOXy,0.0,0.0
ACACT1r,21.143121018730728,21.143121018771428
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.174699779859483,0.17469977985949361
ACCOACL,96.11901209462422,96.11901209463083
ACGAMT,0.3056752485963762,0.305675248596398
ACGApts,0.0,2.4469358966211153e-10
ACKr,-1000.0,-999.9999999997542
ACLDC,1.807873323037641,1.8078733252882135
ACLS_a,1.8078733230005037,1.8078733253037993
ACLS_b,-1.8078733253442276,-1.8078733230081951
ACNML,0.0,0.0
ACOAAGPAT140,0.0,-7.439370329776479e-27
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.402975302365749
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.402975302365606,2.4029753023657676
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,-5.316978393617933e-11,0.0
ACOAAGPATI17,2.402975302365606,2.4029753023657667
ACOAD8,-4.805950604771866,-4.805950604731209
ACOATA,4.805950604731214,4.805950604731471
ACODAr,0.0,0.0
ACPS1,0.17469977985948298,0.17469977985949475
ACTD,0.0,2.238669315905543e-09
ACTNDH,1.807873323015496,1.8078733233819846
ACYP,0.0,1.630921288933019e-10
ACYP_2,0.0,1.6015977777614808e-10
ACtr,-1000.0,-999.9999999997517
ADA,0.0,4.531109223935652e-11
ADD,0.0,4.6728333121729964e-11
ADK1,40.10754894337619,40.45694850334212
ADK2,0.17469977985948296,0.17469977994156088
ADNUC,0.0,1.5947896955629268e-10
ADOCBIK,0.174699779859483,0.17469977985949334
ADOCBLS,0.17469977985948298,0.17469977985949528
ADPRDP,0.0,0.0
ADPT,0.0,0.0
ADSL1r,8.314784258470509,8.314784258466371
ADSL2r,0.0,2.6568922304008194e-11
ADSS,8.314784258470509,8.31478425851703
AGDC,0.0,2.0920261157099975e-10
AGMD,0.0,1.842951198447222e-10
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.4029753023657485
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,0.0
AICART,0.0,2.557487663854811e-11
AIHPDCOATA,4.805950604731212,4.805950604731499
AIPDCOATA,0.0,0.0
AIRC4,0.0,1.8541785562947374e-10
AKP1,0.524099339578449,0.5240993395959265
ALAALA,1.4110822522414113,1.411082252245167
ALAASP1c,0.0,0.0
ALAD_R,-32.96152962592643,-32.96152962591479
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAPGPL,0.10189174953212539,0.1018917495321313
ALAR,7.407293233428464,7.407293233436828
ALATHR1c,0.0,0.0
ALCD19,-1.3511481785734888e-09,1.1817623057272893e-09
ALCD2x,0.0,0.0
ALLTNt2r,0.0,0.0
AMANAPEr,0.0,5.4327410084230825e-11
AMANK,0.0,5.3348191878082624e-11
AMMQLT8,0.174699779859483,0.17469977985949312
AMMQT7rev,0.349399559718966,0.3493995597189895
AMPTASECG,4.645496487527717,4.645496487528111
AMPTASEGC,0.0,0.0
ARAI,0.0,4.035135752861394e-10
ARBTpts,0.0,6.563328261248604e-10
ARBt2r,0.0,3.413176120664941e-10
ARGDA,341.5187375114939,341.51873751274445
ASNS1,0.0,5.2685779562159196e-11
ASNS2,0.0,7.789104819197846e-11
