,minimum,maximum
2DMMQ8abc,0.06968122662545878,0.06968122662545885
2HYDOGCOAD,0.0,5.826776785172866e-11
2HYDOGCOAT,0.0,1.475829551994999e-11
2HYDOGDH,0.0,1.475829551994999e-11
3HBCOAE,-1000.0,438.5288401027146
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.314361638191453e-11
5DOAN,0.0,3.300720453327853e-13
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,7.806334343693845e-12
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,0.0
ACACCTr,0.0,-2.5567553480668755e-12
ACACT1r,-561.471159897289,-561.4711598972849
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.06968122662545856,0.06968122662545866
ACCOAC,23.002973455952446,23.002973455952294
ACGAMT,0.12192245627538659,0.12192245627538575
ACKr,-438.52884010271276,-438.52884010271663
ACOAAGPAT140,0.0,8.092119411937189e-13
ACOAAGPAT160,0.0,7.80653213870896e-14
ACOAAGPAT180,0.958457227331352,0.9584572273313599
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.9584572273313517,0.9584572273313525
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,-3.55785746045504e-12,0.0
ACOAAGPATI17,0.9584572273313517,0.9584572273313424
ACOAD1i,0.0,1.256447824296036e-12
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACODAr,0.0,0.0
ACONTa,44.20245119599538,44.20245119599585
ACONTb,44.20245119598668,44.20245119598015
ACPS1,0.06968122662545854,0.06968122662545781
ACtr,-1000.0,-999.9999999999997
ADCPS1,0.0,3.209601571468698e-12
ADCPS2,0.0,0.0
ADCYRS,0.0,0.0
ADEt2r,3.266117627132838,3.266117627133671
ADK1,72.73223970494158,72.73223970495599
ADK2,0.06968122662545856,0.06968122663407468
ADNCYC,0.0,0.0
ADOCBIK,0.0,0.06968122662545866
ADOCBIK2,0.0,0.06968122662545863
ADOCBLS,0.06968122662545854,0.06968122662545885
ADOCBLabc,1.3426760102606302e-17,0.0
ADPRDP,0.0,0.0
ADPT,3.266117627133152,3.266117627137158
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHMMPS,0.0,0.0
AICART,0.0,0.0
AIRC4,0.0,5.570499817624991e-12
ALAALA,0.562828083038703,0.5628280830387057
ALAASP1c,48.79145447759114,48.79145447758787
ALAASPabc,48.79145447756911,48.79145447759152
ALAGLN1c,0.0,1.0522750528479306e-11
ALAGLNabc,0.0,6.745265887643399e-12
ALAGLU1c,0.0,6.650823200234578e-12
ALAGLUabc,0.0,2.2516484363561233e-11
ALAGLY1c,0.0,1.519285568820007e-11
ALAGLYabc,0.0,1.528397830116634e-11
ALAHIS1c,0.0,2.3012184232993757e-11
ALAHISabc,0.0,9.973054718107033e-12
ALALEU1c,0.0,9.972774469214756e-12
ALALEUabc,0.0,1.8314925410054606e-11
ALAPGPL,0.04064081875846232,0.04064081875846246
ALAR,2.9544930102082043,2.9544930102082327
ALATHR1c,4.749755047256124,4.749755047271998
ALATHRabc,4.74975504725857,4.749755047249165
ALAt4r,-43.33967766819858,-43.33967766824285
ALCD4,0.0,0.0
ALDD2x,0.0,6.580159814008751e-12
AMALT1,0.0,0.0
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,7.450749140050675e-12
AMID5,0.0,0.0
AMPMS2,0.0,2.465840664515326e-12
AMPTASECG,0.0,1.8529152915722198
AMPTASEGC,0.0,1.8529152915695362
APRAUR,0.0,0.0
ARGt2,5.551544843694696,5.551544843694633
ASAD,-1.2258799136367856e-12,0.0
ASNS2,0.0,1.166701551132025e-12
ASP1DC,0.0,-1.1764227742515059e-12
ASPCT,0.0,1.3271373066776764e-12
ASPKi,0.0,4.950647121253094e-12
ASPO2,0.0,0.13936245325088933
ASPTA,44.132769969373676,44.13276996943513
ATPS4,851.4065979467917,851.4065979467977
BAMPPALDOX,0.0,0.0
BHBtp,0.0,0.0
BPNT,0.06968122662545856,0.06968122662545884
BTCOAACCOAT,435.90557326587964,435.9055732658856
BTCOADH,435.9055732658754,435.90557326589465
BTNCL,0.0,0.0
BTNabc,0.0,1.4546704654981799e-11
BTS4,0.0,0.0
BUTt2r,-435.9055732658858,-435.90557326587844
BZAMAH,0.0,-1.3537448982081572e-11
BZAMt2r,0.0,-9.043301912355671e-12
BZte,0.0,-9.043301912355671e-12
CBIAT,0.06968122662545856,0.06968122662545861
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBPS,0.0,5.6854264049395e-11
CD2abc1,0.0,1.1651425353730565e-11
CDPGLYCGPT,0.12192245627538659,0.12192245627538731
CDPMEK,6.191108913425736,6.191108913425762
CGLYabc,0.0696812266254584,1.9225965181935332
CHLabc,0.0,0.0
CHOLabc,0.0,0.0
CHORS,0.0,0.0
CITCAt,0.06968122662545854,0.06968122662545698
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.23961430683283794,0.23961430683283255
CLPNSAI15,0.0,0.0
CLPNSAI17,0.23961430683283794,0.23961430683283255
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.2396143068328387,0.23961430683283894
CO2t,-1000.0,-999.9999999999558
COBALTt5,-0.06968122662545893,-0.06968122662545854
CPC3MT,0.0,0.0
CPC4MT,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,1.555399357984273e-13
CRNabc,0.0,0.0
CRO4t3,0.0,0.0
CSNt6,4.289496649662977,4.289496649657663
CTPS1,0.0,16.798475125498804
CTPS2,0.0,16.798475125496005
CYSS,0.0,0.0
CYSS3r,0.0,8.665714506261467e-12
CYTBD,997.3767331631427,997.3767331631689
CYTD,18.842487777474506,18.842487777472105
CYTDK1,0.0,3.900179259704465e-12
CYTDK2,0.0,6.580159814008729e-12
CYTDK3,0.0,5.7576398372577035e-12
CYTDK4,0.0,-1.140356636075118e-12
