,minimum,maximum
23DHMPO,-999.9999999999999,1000.0
26DAPLLAT,-424.75027537843584,-1.635299359903119
2AHBUTI,-1000.0,999.9999999999999
2HMCOXT,0.0,0.0
2IMZS,-7.09873362259084e-09,0.0
2MBCOATA,-1.1255645850331427e-10,0.0
3HAD100,4.427860020145136,4.4278600201508675
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,4.427860020145136,4.427860020150861
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,-3.889120184217359e-15
3HAD14M15,0.0,0.0
3HAD14M16,0.0,0.0
3HAD15M16,0.0,0.0
3HAD160,0.0,0.0
3HAD180,0.0,-3.896168679257056e-15
3HAD40,4.427860020145136,4.427860020150881
3HAD4M5,0.0,-3.392717581073145e-15
3HAD4M6,0.0,0.0
3HAD5M6,0.0,0.0
3HAD60,4.427860020145136,4.4278600201508675
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,4.427860020145136,4.427860020150823
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,0.0,0.0
3OAR100,4.427860020145136,4.427860020150872
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,4.427860020145136,4.427860020150872
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,3.542288016116109,3.542288016120697
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,4.4278600201451415,4.427860020150894
3OAR4M5,0.0,0.0
3OAR4M6,-2.057166294897509e-16,0.0
3OAR5M6,0.0,0.0
3OAR60,4.427860020145136,4.427860020150872
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,4.427860020145136,4.427860020150872
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,4.427860020145136,4.427860020150871
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,4.427860020145136,4.427860020150871
3OAS12M13,0.0,0.0
3OAS12M14,0.0,0.0
3OAS13M14,0.0,0.0
3OAS140,3.5422880161161086,3.5422880161207186
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.0,0.0
3OAS4M3O6,0.0,0.0
3OAS4M5,0.0,0.0
3OAS4M6,0.0,0.0
3OAS5M6,0.0,0.0
3OAS60,4.427860020145136,4.427860020150872
3OAS6M7,0.0,0.0
3OAS6M8,0.0,0.0
3OAS7M8,0.0,0.0
3OAS80,4.427860020145136,4.427860020150871
3OAS8M10,0.0,0.0
3OAS8M9,0.0,0.0
3OAS9M10,0.0,0.0
4HTHDR,-998.3647006400957,1.6352993599052377
4HTHDS,-998.3647006400969,1.6352993599052377
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.7902244698793138e-09
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
7A_CZPtex,-1000.0,733.159972143125
A5PISO,2.213921168322493,2.2139211683253497
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.0,0.0
ACCOAC,0.0,25.681588116875293
ACCOACL,0.0,25.68158811687527
