,minimum,maximum
12DGR180tex,3.1147973290668207,3.1147973290672164
12DGR180tipp,3.1147973290668216,3.1147973290672164
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,1.829080484534426,1.829080484534658
2MBCOATA,6.229594658133641,6.229594658134486
36DAHXI,0.0,0.0
3HAD10M12,6.229594658133642,6.229594658134488
3HAD11M12,6.22959465813364,6.229594658134498
3HAD12M14,6.229594658133642,6.229594658134384
3HAD13M14,6.22959465813364,6.229594658134392
3HAD14M16,6.229594658133642,6.229594658134384
3HAD15M16,6.22959465813364,6.229594658134392
3HAD4M6,6.229594658133642,6.229594658134384
3HAD5M6,6.22959465813364,6.229594658134392
3HAD6M8,6.229594658133642,6.229594658134384
3HAD7M8,6.22959465813364,6.229594658134392
3HAD8M10,6.229594658133642,6.229594658134384
3HAD9M10,6.22959465813364,6.229594658134392
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.229594658133641,6.229594658134383
3OAR11M12,6.229594658133639,6.229594658134391
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.229594658133641,6.229594658134383
3OAR13M14,6.229594658133639,6.229594658134391
3OAR140,14.641127077115279,14.641127077117021
3OAR14M15,0.0,0.0
3OAR14M16,6.229594658133641,6.229594658134383
3OAR15M16,6.229594658133639,6.229594658134391
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.229594658133641,6.229594658134383
3OAR5M6,6.229594658133639,6.229594658134391
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.229594658133641,6.229594658134383
3OAR7M8,6.229594658133639,6.229594658134391
3OAR80,0.0,0.0
3OAR8M10,6.229594658133641,6.229594658134383
3OAR8M9,0.0,0.0
3OAR9M10,6.229594658133639,6.229594658134391
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.229594658133641,6.229594658134383
3OAS11M12,6.229594658133639,6.229594658134391
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.229594658133641,6.229594658134492
3OAS13M14,6.229594658133639,6.229594658134499
3OAS140,14.641127077115279,14.641127077117279
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.229594658133638,6.22959465813448
3OAS4M3O6,6.229594658133641,6.229594658134471
3OAS4M5,0.0,0.0
3OAS4M6,6.229594658133641,6.229594658134471
3OAS5M6,6.229594658133639,6.229594658134481
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.229594658133641,6.229594658134471
3OAS7M8,6.229594658133639,6.229594658134481
3OAS80,0.0,0.0
3OAS8M10,6.229594658133641,6.229594658134471
3OAS8M9,0.0,0.0
3OAS9M10,6.229594658133639,6.229594658134481
4ABUTtex,-693.275865815577,0.0
4HBZt2pp,0.22645027069537457,0.22645027069519752
4HBZtex,0.22645027069537457,0.2264502706951975
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,4.91210288780756e-10
5DOAN,0.0,0.0
A5PISO,9.149644023092064,9.149644023093254
AACGLYDH,0.0,0.0
AACOAT,0.0,240.2636785960451
ABUTD,0.0,1000.0
ABUTR,-999.9999999999998,5.825557766901842e-14
ACACT1r,0.0,-7.563254926769249e-14
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.22645027069532794,0.22645027069535675
ACCOACL,71.09485412832483,71.09485412833395
ACGAMT,0.0,0.0
ACKr,-630.5747318565398,-630.5747318551588
ACOAAGPATAI17,3.114797329066822,3.114797329067237
ACOAAGPATI17,3.114797329066822,3.1147973290672573
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACPS1,0.226450270695328,0.22645027094440454
ACPpds,0.0,2.492824934197522e-10
ACtex,-637.8952953966469,-637.8952953937159
ACtrpp,-637.8952953966696,-637.895295393733
ADCL,0.0,8.791575762468314e-10
ADCPS1,0.0,3.3749958028023293e-10
ADCPS2,0.0,0.0
ADCS,0.0,2.5136704241358495e-10
ADCYRS,0.0,0.0
ADD,0.452900541266357,0.45290054164091853
ADK1,346.49975341641715,349.6873161327453
ADK2,0.22645027069532803,0.2264502708323017
ADNCYC,0.0,8.505840754275093e-11
ADOCBIK,0.0,0.22645027069535809
ADOCBIK2,0.0,0.22645027069535997
ADOCBLS,0.226450270695328,0.22645027069535997
ADOCBLabcpp,-4.1673608714015165e-17,0.0
ADOCBLtex,-4.1673608714015165e-17,0.0
ADSL1r,17.023663285409828,17.02366328567311
ADSL2r,0.0,1.0640258378567568e-10
ADSS,17.02366328540893,17.02366328566044
AGMHE,7.316321938137704,7.316321938138694
AGMT,0.226450270695328,0.2264502706953572
AHCYSNS_r,0.45290054139036773,0.4529005414014489
AHEXASE3,0.0,0.0
