,minimum,maximum
13PPDHr,0.0,0.0
23DHMPO,4.134106579712672e-12,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,2.211355036456198,2.211355036446524
26DAPt2rpp,2.211355036456198,2.2113550364485532
2AHBUTI,-1.521637105802399e-14,-3.875741607898215e-12
2HMCOXT,0.0,0.0
2MBCOATA,7.531568806744422,7.531568806745013
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,7.531568806744424,7.531568806743761
3HAD11M12,7.531568806744424,7.531568806743759
3HAD12M14,7.531568806744424,7.531568806743523
3HAD13M14,7.531568806744424,7.53156880674375
3HAD14M16,7.531568806744424,7.5315688067444135
3HAD15M16,7.531568806744424,7.531568806744406
3HAD4M6,7.531568806744424,7.531568806744406
3HAD5M6,7.531568806744398,7.531568806744436
3HAD6M8,7.531568806744424,7.53156880674441
3HAD7M8,7.531568806744397,7.531568806745088
3HAD8M10,7.531568806744424,7.53156880674441
3HAD9M10,7.531568806744397,7.531568806745064
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.531568806744423,7.531568806744418
3OAR11M12,7.531568806744423,7.531568806744418
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.531568806744423,7.531568806744418
3OAR13M14,7.531568806744423,7.531568806744418
3OAR140,17.70109646630189,17.701096466301877
3OAR14M15,0.0,0.0
3OAR14M16,7.531568806744423,7.531568806744418
3OAR15M16,7.531568806744423,7.531568806744418
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.531568806744423,7.531568806744418
3OAR5M6,7.531568806744397,7.5315688067444135
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.531568806744423,7.531568806744411
3OAR7M8,7.531568806744398,7.5315688067450886
3OAR80,0.0,0.0
3OAR8M10,7.531568806744423,7.531568806744408
3OAR8M9,0.0,0.0
3OAR9M10,7.531568806744398,7.531568806745061
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
