,minimum,maximum
10DMMCNFDOR,0.0,0.0
13PPDHr,0.0,0.0
15DAPtex,-6.456668071950104e-11,2.1065757202044003e-11
15DAPtpp,0.0,967.5155071993704
1P4H2CBXLAH,0.0,0.0
1PPDCRx,-1000.0,999.9999999999999
1PPDCRy,-1000.0000000000001,1000.0
22IDPOR,0.0,0.0
23DHMPO,-1000.0,376.111002439325
25DOPOX,0.0,0.0
25K5O2AI,0.0,0.0
2AHBUTI,-376.11100243867276,1000.0
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DHPL,-6.841277894293613e-11,4.244884621584719e-10
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HYOXPLACt2rpp,-5.285318648270557e-11,0.0
2HYOXPLACtex,-5.2531692148262754e-11,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.893978081643315,6.893978081656087
2MEBCOADH,-731.6232137402246,-731.6232137302759
2MECOAOX,724.7292356452971,724.7292356583863
2OALDOR,0.0,0.0
2OMMBOX,0.7967782745947828,0.7967782746038133
2OMPHH,0.7967782745948593,0.7967782746039167
2RCDHOFAL,0.0,0.0
2S6HCC,0.0,2.4192022107351254e-12
33HPHACt2rpp,0.0,1.2670244961778901e-10
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,999.9999999998821,1000.0000000000001
34DHPHAtex,999.9999999998398,1000.0
34HPPOR,0.0,0.0
3CARLPDH,-4.917505829377333e-12,0.0
3FCHLOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,25.12806479709501,25.12806479710535
3HAD10M12,6.893978081643313,6.893978081653146
3HAD11M12,6.893978081643313,6.893978081653155
3HAD120,25.128064797095014,25.128064797109595
3HAD12M14,6.893978081643313,6.893978081654724
3HAD13M14,6.893978081643313,6.8939780816543665
3HAD140,0.0,1.3443813922772244e-11
3HAD14M16,6.893978081643313,6.893978081643344
3HAD15M16,6.893978081643313,6.893978081643336
3HAD180,0.0,6.050085393591863e-11
3HAD40,25.12806479709501,25.128064797111723
3HAD4M6,6.893978081643313,6.893978081654523
3HAD5M6,6.893978081643313,6.893978081654996
3HAD60,25.12806479709501,25.128064797110795
3HAD6M8,6.893978081643313,6.893978081654523
3HAD7M8,6.893978081643313,6.893978081654996
3HAD80,25.12806479709501,25.128064797110795
3HAD8M10,6.893978081643313,6.893978081654523
3HAD9M10,6.893978081643313,6.893978081654996
3HBCOAE,0.0,0.0
3HBCOAHL,0.0,9.761103215560101e-10
3HPCOAHL,0.0,0.0
3HPCOAHYD,0.0,3.5967961802384115e-11
3HPCOAS,-3.397373806792147e-11,-1.0486279971443045e-13
3HPHACOX,0.0,1.4507052297000878e-10
3HPHACtex,0.0,1.1404038579507623e-10
3MEBCOADH,-268.3767862637781,-268.3767862595526
3MOBDC2,0.0,8.21257013163379e-10
3MOBS,-7.24797340371979e-11,0.0
3MOPDC2,999.9999999911238,1000.0000000000005
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,25.128064797095014,25.128064797124622
3OAR10M11,0.0,0.0
3OAR10M12,6.893978081643314,6.893978081652438
3OAR11M12,6.893978081643314,6.893978081652073
3OAR120,25.128064797095014,25.128064797108262
3OAR12M13,0.0,0.0
3OAR12M14,6.893978081643314,6.893978081652438
3OAR13M14,6.893978081643314,6.893978081652073
3OAR140,20.102451837676025,20.102451837688225
3OAR14M15,0.0,0.0
3OAR14M16,6.893978081643314,6.893978081643344
3OAR15M16,6.893978081643314,6.893978081643334
3OAR160,0.0,0.0
3OAR180,0.0,5.1814630770494847e-11
3OAR40,25.12806479709501,25.128064797109662
3OAR4M5,0.0,0.0
