,minimum,maximum
15DAPtex,-1.086531029404822e-11,0.0
15DAPtpp,0.0,2.0807005073136124e-11
23DHMPO,7.915039789801866e-12,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,-6.982518446623309e-12
25K5O2AI,0.0,0.0
26DAP_Mtex,0.0,0.0
2AHBUTI,1.3894666310327619e-13,-9.439699639745818e-12
2DDPENTHL,0.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-1.0204668640986387e-11,0.0
2HYOXPLACtex,3.983669198338483e-12,0.0
2MBCOATA,6.601133205899256,6.601133205898234
2OMMBOX,0.0,0.0
2OMPHH,0.0,-1.9904210481185864e-13
2S6HCC,0.0,-1.6973733258086713e-13
34DCCBR,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,0.0,-3.3532252515645103e-12
3HAD10M12,6.601133205899257,6.601133205898736
3HAD11M12,6.601133205899257,6.601133205900892
3HAD120,0.0,-1.313891459623809e-12
3HAD12M14,6.601133205899257,6.601133205898402
3HAD13M14,6.601133205899257,6.601133205896642
3HAD140,0.0,980.6070789063385
3HAD14M16,6.6011332058992584,6.601133205899247
3HAD15M16,6.6011332058992584,6.601133205899316
3HAD180,0.0,3.7355116382843213e-11
3HAD40,1.9755279297924776e-14,0.0
3HAD4M6,6.601133205899257,6.601133205898267
3HAD5M6,6.601133205899257,6.601133205897826
3HAD60,1.9755279297924776e-14,-1.4489487198790852e-12
3HAD6M8,6.601133205899257,6.601133205898263
3HAD7M8,6.601133205899257,6.601133205898018
3HAD80,0.0,-1.7009175805933878e-12
3HAD8M10,6.601133205899257,6.601133205898195
3HAD9M10,6.601133205899257,6.601133205897823
3HBBUTH,0.0,0.0
3HBCOAE,-999.9999999999999,1000.0
3HBCOAHL,0.0,0.0
3HBCOAOX,-999.9999999999998,1000.0
3HPCOAHL,0.0,0.0
3MOBS,-6.505544883263248e-14,0.0
3OAR100,0.0,-2.8238292351312973e-12
3OAR10M11,0.0,0.0
3OAR10M12,6.601133205899257,6.601133205897762
3OAR11M12,6.601133205899257,6.601133205896939
3OAR120,0.0,-2.1043330190567476e-12
3OAR12M13,0.0,0.0
3OAR12M14,6.601133205899257,6.601133205897762
3OAR13M14,6.601133205899257,6.601133205896939
3OAR140,15.514336874927864,996.1214157812659
3OAR14M15,0.0,0.0
3OAR14M16,6.601133205899258,6.601133205899238
3OAR15M16,6.601133205899258,6.601133205899267
3OAR160,0.0,0.0
