,minimum,maximum
23DHMPO,-4.4797020071283145,-4.479702007114933
26DAPLLAT,-1000.0,0.0
2AHBUTI,4.4797020071149385,4.479702007118785
2DH3DGLCA,0.0,0.0
2MBCOATA,4.63442963048432,4.634429630484449
3BTCOAI,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,4.634429630484321,4.634429630483851
3HAD11M12,4.634429630484321,4.634429630483747
3HAD12M14,4.634429630484321,4.63442963048504
3HAD13M14,4.634429630484321,4.634429630483747
3HAD14M16,4.634429630484321,4.6344296304843375
3HAD15M16,4.634429630484321,4.634429630484333
3HAD4M6,4.634429630484321,4.634429630484328
3HAD5M6,4.634429630484335,4.634429630484285
3HAD6M8,4.634429630484321,4.6344296304842985
3HAD7M8,4.634429630484321,4.634429630484326
3HAD8M10,4.634429630484321,4.634429630484325
3HAD9M10,4.634429630484321,4.634429630484326
3HBCD,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.63442963048432,4.634429630484327
3OAR11M12,4.63442963048432,4.634429630484328
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.63442963048432,4.634429630484328
3OAR13M14,4.63442963048432,4.634429630484329
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.63442963048432,4.634429630484329
3OAR15M16,4.63442963048432,4.6344296304843295
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.63442963048432,4.634429630484323
3OAR5M6,4.634429630484335,4.634429630484333
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.63442963048432,4.634429630484325
3OAR7M8,4.634429630484337,4.634429630484334
3OAR80,0.0,0.0
3OAR8M10,4.63442963048432,4.634429630484325
3OAR8M9,0.0,0.0
3OAR9M10,4.63442963048432,4.634429630484326
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.634429630484321,4.634429630484327
3OAS11M12,4.634429630484321,4.634429630484328
3OAS120,0.0,0.0
3OAS12M13,-4.871477147393822e-12,0.0
3OAS12M14,4.634429630484321,4.634429630484328
3OAS13M14,4.634429630484321,4.634429630484329
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.634429630484366,4.634429630484333
3OAS4M3O6,4.634429630484321,4.634429630484323
3OAS4M5,0.0,0.0
3OAS4M6,4.634429630484321,4.634429630484323
3OAS5M6,4.634429630484334,4.634429630484334
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.634429630484321,4.634429630484325
3OAS7M8,4.634429630484321,4.634429630484326
3OAS80,0.0,0.0
3OAS8M10,4.634429630484321,4.634429630484326
3OAS8M9,0.0,0.0
3OAS9M10,4.634429630484321,4.634429630484327
4HBNOX,0.0,0.0
4HBZt2,0.1684648684119119,0.1684648684118382
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DGCLURI,0.0,0.0
5DOAN,0.0,0.0
AACOAT,0.0,-8.950811083000412e-13
ABTOXy,0.0,0.0
ACACCTr,0.0,-2.1494713890286145e-12
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-352.4395669758906,-340.373206169971
ACALDt,-312.64133995867724,-300.5749791508058
ACBIPGT,0.16846486841184605,0.16846486841184619
ACCOACL,8.667479479923777e-13,0.0
ACGAMT,0.29476591540622693,0.29476591540622765
ACGApts,0.0,-2.2668448298573282e-11
ACGK,13.590161311881062,13.590161311888036
ACGS,0.0,1.775508279557854e-11
ACHBPL,4.479702007114936,4.479702007123837
ACKr,-1000.0,-999.9999999999895
ACLS_a,134.0532418239109,134.05324182396197
ACLS_b,-129.57353981683147,-129.57353981680166
ACOAAGPAT140,0.0,1.0517458130229278e-12
ACOAAGPAT160,0.0,2.0344400613181596e-12
ACOAAGPAT180,0.0,2.31721481524217
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.3172148152421594,2.3172148152421777
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.3172148152421594,2.317214815242166
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACONTa,-358.8271410985164,-346.76078029158003
ACONTb,-358.8271410984375,-346.7607802924922
ACOTA,-13.590161311881072,-13.590161311881058
ACPS1,0.168464868411846,0.16846486841184638
ACtr,-1000.0,-1000.000000000005
ADCPS1,0.0,-3.4406883421580913e-13
ADCPS2,0.0,0.0
ADCS,0.0,0.0
ADCYRS,0.0,-5.112267397439366e-13
