,minimum,maximum
23DHMPO,2.0572378996341897e-12,0.0
26DAPLLAT,0.0,0.0
2AHBUTI,6.506725273705385e-28,-4.180838312159851e-12
2MBCOATA,2.51351162648875,2.5135116264917583
3HAD10M12,2.5135116264887483,2.513511626491504
3HAD11M12,2.513511626488753,2.5135116264915016
3HAD12M14,2.5135116264887483,2.513511626492893
3HAD13M14,2.5135116264887483,2.513511626493041
3HAD14M16,2.513511626488748,2.5135116264887447
3HAD15M16,2.513511626488748,2.513511626488736
3HAD4M6,2.5135116264887483,2.5135116264887385
3HAD5M6,2.5135116264887496,2.513511626488742
3HAD6M8,2.5135116264887483,2.51351162648875
3HAD7M8,2.513511626488749,2.513511626488745
3HAD8M10,2.5135116264887483,2.5135116264887496
3HAD9M10,2.5135116264887487,2.5135116264887447
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,2.5135116264887483,2.513511626488746
3OAR11M12,2.513511626488748,2.5135116264887425
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,2.5135116264887483,2.513511626488751
3OAR13M14,2.5135116264887483,2.5135116264887505
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,2.513511626488748,2.513511626488745
3OAR15M16,2.513511626488748,2.5135116264887443
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,2.5135116264887483,2.5135116264887474
3OAR5M6,2.5135116264887496,2.5135116264887443
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,2.5135116264887483,2.5135116264887514
3OAR7M8,2.513511626488752,2.5135116264887474
3OAR80,0.0,0.0
3OAR8M10,2.5135116264887483,2.513511626488746
3OAR8M9,0.0,0.0
3OAR9M10,2.5135116264887483,2.513511626488753
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,2.513511626488748,2.5135116264887554
3OAS11M12,2.513511626488748,2.5135116264887554
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,2.513511626488748,2.513511626488755
3OAS13M14,2.513511626488748,2.513511626488755
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,2.513511626488749,2.5135116264887443
3OAS4M3O6,2.513511626488748,2.5135116264887474
3OAS4M5,0.0,0.0
3OAS4M6,2.513511626488748,2.513511626488747
3OAS5M6,2.5135116264887523,2.513511626488744
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,2.513511626488748,2.5135116264887465
3OAS7M8,2.513511626488752,2.5135116264887434
3OAS80,0.0,0.0
3OAS8M10,2.513511626488748,2.513511626488746
3OAS8M9,0.0,0.0
3OAS9M10,2.5135116264887514,2.513511626488743
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999999,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.09136796524490987,0.09136796524490952
ACCOACL,0.0,0.0
ACGAMT,0.1598681206836499,0.15986812068365006
ACGK,7.2793402312027355,7.279340231206808
ACGS,0.0,-1.2550994292820459e-12
ACHBPL,0.0,3.885497799971327e-12
ACKr,-1000.0000000000001,-999.9999999999964
ACLS_a,497.16594807042867,497.1659480704581
ACLS_b,-497.1659480704543,-497.1659480704294
ACOAAGPAT140,0.0,2.5959851426406413e-12
