,minimum,maximum
12PPDSDH,827.9229038492172,827.9229038489543
12PPD_Stex,1000.0000000001198,1000.0
12PPDtpp,1000.0000000001786,1000.0
13DAMPPOX,8.925675907317756e-11,-3.668362177897774e-12
15DAPtex,1.2771450814716969e-11,-5.482024615645907e-12
15DAPtpp,0.0,954.5556126002193
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2CLDHOFAL,0.0,0.0
2DDGLCNtex,-395.450614684366,-2.669678398761587e-11
2DDPENGAL,0.0,-1.4538930264055258e-11
2DDPENTHL,1.0282653792396447e-11,0.0
2DH3DGLCA,5.498946194915611e-12,0.0
2DHPL,3.3677393481315226e-12,0.0
2DMMQ8abcpp,0.0,-4.278531922410326e-12
2DMMQ8tex,0.0,-3.1995938949044082e-12
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,9.644374397050106,9.644374397048285
2MECOAOX,-1000.0,-2.0422874316551704e-11
2OMMBOX,1.1146580248342324,1.1146580248316933
2OMPHH,1.114658024833879,1.1146580248316929
2OXOADOX,0.0,0.0
2RCDHOFAL,0.0,0.0
33HPHACt2rpp,0.0,395.450614684468
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-135.32111581689367,260.1294988678624
34DHPHAtex,-135.32111581664734,260.12949886785856
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,-8.400401620116447e-12
3CARLPDH,4.291244272630099e-12,0.0
3DGUR,0.0,1000.0000000000001
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,35.15306574905033,35.153065749048054
3HAD10M12,9.644374397050106,9.644374397048239
3HAD11M12,9.64437439704996,9.644374397049017
3HAD120,35.15306574905033,35.15306574904776
3HAD12M14,9.644374397050106,9.64437439704775
3HAD13M14,9.64437439704996,9.64437439704831
3HAD140,0.0,-2.5684738729039244e-12
3HAD14M16,9.644374397050106,9.644374397050095
3HAD15M16,9.644374397049962,9.644374397050132
3HAD160,0.0,-1.451477352667775e-11
3HAD180,0.0,-1.0805060680252213e-11
3HAD40,35.15306574905033,35.15306574904893
3HAD4M6,9.644374397050106,9.64437439704763
3HAD5M6,9.644374397049956,9.644374397048301
3HAD60,35.15306574905033,35.153065749047855
3HAD6M8,9.644374397050106,9.64437439704763
3HAD7M8,9.644374397049956,9.644374397048303
3HAD80,35.15306574905033,35.153065749047855
3HAD8M10,9.644374397050106,9.64437439704763
3HAD9M10,9.64437439704996,9.644374397048304
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,395.45061468463325
3HPHACtex,0.0,395.45061468462757
3HPPD,0.0,0.0
3MOBS,2.069785262812862e-11,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,35.153065749050334,35.153065749047656
3OAR10M11,0.0,0.0
3OAR10M12,9.644374397050107,9.644374397047187
3OAR11M12,9.644374397050022,9.644374397048333
3OAR120,35.153065749050334,35.15306574904714
3OAR12M13,0.0,0.0
3OAR12M14,9.644374397050107,9.644374397047407
3OAR13M14,9.644374397050022,9.644374397048637
3OAR140,28.122452599240265,28.122452599237263
3OAR14M15,0.0,0.0
3OAR14M16,9.644374397050107,9.644374397050091
3OAR15M16,9.644374397050022,9.644374397050159
3OAR160,0.0,-8.633787701213354e-12
3OAR180,0.0,-1.3145893400083955e-11
3OAR40,35.153065749050334,35.15306574904751
3OAR4M5,0.0,0.0
3OAR4M6,9.644374397050107,9.644374397047043
3OAR5M6,9.644374397050019,9.644374397048145
3OAR60,35.153065749050334,35.153065749047556
3OAR6M7,0.0,0.0
3OAR6M8,9.644374397050107,9.644374397048288
3OAR7M8,9.64437439705002,9.644374397048127
3OAR80,35.153065749050334,35.15306574904698
3OAR8M10,9.644374397050107,9.644374397048288
3OAR8M9,0.0,0.0
3OAR9M10,9.644374397050022,9.64437439704827
3OAS100,35.153065749050334,35.15306574904724
3OAS10M11,0.0,0.0
3OAS10M12,9.644374397050106,9.644374397048981
3OAS11M12,9.64437439705002,9.64437439704827
3OAS120,35.153065749050334,35.15306574904724
3OAS12M13,0.0,0.0
3OAS12M14,9.644374397050106,9.6443743970501
3OAS13M14,9.64437439705002,9.644374397050129
3OAS140,28.12245259924027,28.12245259923551
3OAS160,0.0,-3.4524960902324302e-12
3OAS180,0.0,-1.038862582358501e-11
3OAS2M3,0.0,0.0
3OAS3M4,9.644374397050019,9.644374397048079
3OAS4M3O6,9.644374397050106,9.644374397047692
3OAS4M5,0.0,0.0
3OAS4M6,9.644374397050106,9.644374397048262
3OAS5M6,9.644374397050019,9.644374397048276
3OAS60,35.153065749050334,35.15306574904724
3OAS6M7,0.0,0.0
3OAS6M8,9.644374397050106,9.644374397048981
3OAS7M8,9.64437439705002,9.64437439704827
3OAS80,35.153065749050334,35.15306574904724
3OAS8M10,9.644374397050106,9.644374397048981
3OAS8M9,0.0,0.0
3OAS9M10,9.64437439705002,9.64437439704827
3OPCPOOR,0.0,0.0
3SCITMCOAHL,0.0,0.0
42A12BOOX,0.0,0.0
4ABUTtex,-970.4730602648707,-342.7366317173583
4C2HM6SADH,260.12949886790653,260.12949886785475
4FCHDCOR,0.0,0.0
4GBTAH,2.7500287912431155e-11,-1.6512022661371154e-11
4HBZCL,0.0,0.0
4HOXPACDt2rpp,0.0,0.0
4HOXPACDtex,0.0,0.0
4HP34DHPD,0.0,-2.3792679790158472e-11
4HTHDR,0.253559184685636,0.25355918468111666
4HTHDS,0.253559184685636,0.25355918468085953
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,1.5259629741771992e-12,-1.4725258525190875e-11
5ASAppp,0.0,-5.668095903319411e-11
5ASAtex,0.0,-6.095185121933592e-11
5C2O3EDDC,260.1294988678828,260.1294988678567
5CM2HMUDI,260.1294988679043,260.1294988678566
5DGLCNR,-1000.0,-1.2267083100092944e-10
5DOAN,0.0,-1.6979426277193933e-11
5FCHDCOR,0.0,0.0
5FURAtex,3.045233477187906e-11,0.0
5FURAtpp,6.531511950470321e-11,0.0
5GLUP5T1,2.014741849858174e-11,0.0
5GLUP5T2,3.3015344603808833e-13,0.0
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,8.102364451403082e-12,0.0
5MTHFGLUNFT,0.0,0.0
6P3HXI,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
7A_CZPtex,-999.9999999999999,-1000.000000000096
A5PISO,1000.0000000001851,1000.0
AACGLYDH,0.0,0.0
AACOAT,0.0,-1.8010759778825863e-11
AACTOOR,0.0,0.0
AAGCPT,0.0,0.0
AAHL,0.0,0.0
AAPAT,0.0,0.0
AAT,3.810935341326372e-11,-2.133716239895834e-12
