,minimum,maximum
12PPDSDH,580.2897764605007,1000.0
12PPD_Stex,580.2897764605457,1000.0
12PPDtpp,580.2897764605457,999.9999999999998
15DAPtex,-419.7102235395519,-3.4448583358258506e-11
15DAPtpp,0.0,966.1864337377461
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-1000.0000000000001,-3.880495403963438e-11
2DH3DGLCA,1.7692466916741956e-11,0.0
2DMMQ8abcpp,0.0,-7.366079594173729e-12
2DMMQ8tex,0.0,-7.452949856023186e-12
2IMZS,0.0,0.0
2MBCOATA,10.090999258976764,10.090999258969314
2MECOAOX,-1000.0,419.71022353954487
2OMMBOX,0.3668151202815071,0.3668151202740109
2OMPHH,0.36681512028138397,0.36681512027401186
33HPHACt2rpp,0.0,998.8995546391666
34DHPHAt2rpp,-998.8995546391662,419.7102235395367
34DHPHAtex,-998.8995546391616,419.71022353953384
34DHPHEtex,0.0,0.0
3CARLPDH,8.293490523646966e-12,0.0
3DGUR,0.0,999.9999999999978
3HACPR1,0.0,-1.1057142756383314e-11
3HACPR2,0.0,-8.603033105147342e-12
3HAD100,0.0,-1.111720062224655e-11
3HAD10M12,10.090999258976764,10.090999258968047
3HAD11M12,10.090999258976764,10.090999258967864
3HAD120,0.0,-1.093661457622147e-11
3HAD12M14,10.090999258976764,10.090999258968191
3HAD13M14,10.090999258976764,10.090999258968075
3HAD140,0.0,970.3544912242191
3HAD14M16,10.090999258976764,10.090999258976682
3HAD15M16,10.090999258976764,10.090999258976728
3HAD160,0.0,-9.520280877246016e-12
3HAD180,0.0,-4.2993629574082654e-11
3HAD40,0.0,-1.080571739024852e-11
3HAD4M6,10.090999258976764,10.090999258968235
3HAD5M6,10.090999258976764,10.090999258969367
3HAD60,0.0,-9.968726656667136e-12
3HAD6M8,10.090999258976764,10.090999258968235
3HAD7M8,10.090999258976764,10.090999258969367
3HAD80,0.0,-9.968726656667136e-12
3HAD8M10,10.090999258976764,10.090999258968235
3HAD9M10,10.090999258976764,10.090999258969367
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,998.8995546391543
3HPHACtex,0.0,998.8995546391567
3MOBS,-419.7102235395422,0.0
3OAACPR1,0.0,-8.42592610552774e-12
3OAACPR2,0.0,-8.56602598070655e-12
3OAR100,0.0,-1.0699260749229727e-11
3OAR10M11,0.0,0.0
3OAR10M12,10.090999258976764,10.090999258968191
3OAR11M12,10.090999258976764,10.090999258968454
3OAR120,0.0,-1.0309183534414088e-11
3OAR12M13,0.0,0.0
3OAR12M14,10.090999258976764,10.09099925896828
3OAR13M14,10.090999258976764,10.090999258968694
3OAR140,23.716407020616355,994.070898244836
3OAR14M15,0.0,0.0
3OAR14M16,10.090999258976764,10.090999258976685
3OAR15M16,10.090999258976764,10.090999258976703
3OAR160,0.0,-1.643190029922859e-11
3OAR180,-2.534094001122784e-27,-3.9770115718212314e-11
3OAR40,0.0,-1.0387286903443238e-11
3OAR4M5,0.0,0.0
3OAR4M6,10.090999258976764,10.090999258968631
3OAR5M6,10.090999258976764,10.090999258968573
3OAR60,0.0,-1.0200016105905203e-11
3OAR6M7,0.0,0.0
3OAR6M8,10.090999258976764,10.09099925896792
3OAR7M8,10.090999258976764,10.090999258968333
3OAR80,0.0,-9.987775868695432e-12
3OAR8M10,10.090999258976764,10.09099925896792
3OAR8M9,0.0,0.0
3OAR9M10,10.090999258976764,10.090999258968372
3OAS100,0.0,-1.0187531386069326e-11
3OAS10M11,0.0,0.0
3OAS10M12,10.090999258976764,10.090999258968672
3OAS11M12,10.090999258976764,10.090999258968374
3OAS120,0.0,-1.0187531386069326e-11
3OAS12M13,0.0,0.0
3OAS12M14,10.090999258976764,10.090999258976689
3OAS13M14,10.090999258976764,10.090999258976723
3OAS140,23.71640702061635,994.0708982448404
3OAS160,0.0,-1.9981348862788413e-11
3OAS180,0.0,-4.251083294091033e-11
3OAS2M3,0.0,0.0
3OAS3M4,10.090999258976764,10.090999258968305
3OAS4M3O6,10.090999258976764,10.090999258968614
3OAS4M5,0.0,0.0
3OAS4M6,10.090999258976764,10.090999258968395
3OAS5M6,10.090999258976764,10.090999258968338
3OAS60,0.0,-1.0187531386069326e-11
3OAS6M7,0.0,0.0
3OAS6M8,10.090999258976764,10.090999258968672
3OAS7M8,10.090999258976764,10.090999258968374
3OAS80,0.0,-1.0187531386069326e-11
3OAS8M10,10.090999258976764,10.090999258968672
3OAS8M9,0.0,0.0
3OAS9M10,10.090999258976764,10.090999258968374
4ABUTtex,-1000.0,999.9999999999994
4ABZtex,0.0,0.0
4C2HM6SADH,0.0,419.71022353952725
4HP34DHPD,0.0,0.0
4HTHDR,2.9628331901092677,2.9628331900886264
4HTHDS,2.9628331901092677,2.962833190089549
4HTHRS,0.0,0.0
5AIZCDC,1.6812521019829247e-11,-3.949254584502958e-11
5ASAppp,0.0,1000.0
5ASAtex,0.0,1000.0000000000001
5C2O3EDDC,0.0,419.7102235395304
5CM2HMUDI,0.0,419.71022353952844
5DGLCNR,0.0,0.0
5DOAN,0.0,-1.1711869185086252e-11
5FURAtex,7.069056715072295e-11,0.0
5FURAtpp,7.050923924176174e-11,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,8.769655989444625e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
7A_CZPtex,-1000.0,1000.0000000000002
A5PISO,14.821036700417448,14.821036700417347
AACGLYDH,0.0,0.0
AACOAT,0.0,-1.648261021207206e-11
AB6PGH,0.0,419.71022353954703
AB6PGH2,0.0,419.7102235395501
ABTA,0.0,1000.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999998,999.9999999999998
ABUTt2rpp,-999.9999999999985,1000.0000000000024
AC5ASAc,0.0,1000.0
AC5ASAppp,0.0,1000.0
AC5ASAtex,-1000.0000000000001,0.0
ACACCTr,11.858203510348503,1000.0
ACACT1r,11.858203510343447,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDtex,-1000.0000000000001,1000.0
ACALDtpp,-1000.0,1000.0000000000001
ACBIPGT,0.36681512027401325,0.36681512026525015
ACCOACL,115.16288935260093,115.16288935250174
ACCOAL,0.0,-4.319274763223791e-11
ACCOAT,0.0,0.0
ACGAMK,0.0,-3.2872976581208884e-11
ACGAMT,0.0,0.0
ACGAMt2pp,0.0,-4.377780872857354e-11
ACGAMtex,0.0,17.783869890440137
ACGAptspp,0.0,17.783869890438606
ACGK,0.0,-4.3882994378484746e-11
ACGS,0.0,988.1417964896563
ACHBPL,0.0,-7.622831838095315e-11
ACISNZDppp,-1000.0000000000005,1000.0
ACISNZDtex,-1000.0000000000001,1000.0000000000001
ACKr,-1000.0,-1000.0000000000313
ACLS_a,0.0,419.7102235395316
ACLS_b,-1000.0,0.0
ACNAMabcpp,0.0,17.783869890505127
ACNAMtex,0.0,17.783869890505116
