,minimum,maximum
12PPDSDH,302.3664569676904,548.748057229192
12PPD_Stex,999.9999999996925,1000.0
12PPDtpp,999.9999999995416,1000.0
13DAMPPOX,0.0,9.562566531950153e-11
15DAPtex,-1.5273704055638725e-10,5.238270114669711e-11
15DAPtpp,0.0,955.2174967848697
1P4H2CBXLAH,0.0,0.0
23DHMPO,-4.1159885915173186e-10,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,0.24986616943808973,0.24986616963168326
26DAPt2rpp,0.2498661694318339,0.2498661696316833
2AHBUTI,0.0,4.880676828487547e-10
2CLDHOFAL,0.0,0.0
2DDGLCNtex,-81.91771866283356,2.488786878143148e-10
2DDPENGAL,-4.498841968210196e-10,1.209980224445626e-10
2DDPENTHL,0.0,0.0
2DH3DGLCA,-6.687089737449445e-11,0.0
2DHPL,-7.734865553396043e-11,2.593264590745054e-10
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,9.503906910343325,9.503906910361627
2MECOAOX,-1000.0,1.5169506105491902e-10
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
2OXOADOX,0.0,0.0
2RCDHOFAL,0.0,0.0
33HPHACt2rpp,0.0,1.0180927953018829e-10
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,730.7372836594211,739.8392523993507
34DHPHAtex,730.737283659384,739.8392523998367
34HPPORdc,0.0,2.1517325354485338e-11
3CARLPDH,-1.1976528423686473e-10,0.0
3DGUR,0.0,1000.0000000000058
3FCHDCOR,0.0,9.550367710863124e-11
3HACOAOR,0.0,0.0
3HAD100,34.64107164839433,34.6410716484281
3HAD10M12,9.503906910343323,9.503906910360236
3HAD11M12,9.503906910343323,9.503906910357102
3HAD120,34.641071648394345,34.6410716484283
3HAD12M14,9.503906910343323,9.50390691036464
3HAD13M14,9.503906910343323,9.50390691036149
3HAD140,0.0,3.395461758596213e-11
3HAD14M16,9.503906910343325,9.503906910343385
3HAD15M16,9.503906910343325,9.50390691034335
3HAD160,0.0,3.4219662230493637e-11
3HAD180,0.0,1.1055894314790285e-10
3HAD40,34.64107164839433,34.641071648425815
3HAD4M6,9.503906910343323,9.503906910360104
3HAD5M6,9.503906910343323,9.503906910356251
3HAD60,34.64107164839433,34.641071648427825
3HAD6M8,9.503906910343323,9.503906910360104
3HAD7M8,9.503906910343323,9.503906910356251
3HAD80,34.64107164839433,34.641071648427825
3HAD8M10,9.503906910343323,9.503906910360104
3HAD9M10,9.503906910343323,9.503906910356251
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1.1983887451867777e-10
3HPHACtex,0.0,1.0986792948145107e-10
3HPPD,0.0,0.0
