,minimum,maximum
12PPDSDH,616.5148560223571,1000.0
12PPD_Stex,616.5148560223473,1000.0
12PPDtpp,616.5148560223473,999.9999999999998
15DAPtex,-383.4851439776469,3.8959523973981385e-12
15DAPtpp,0.0,964.0985293350856
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-999.9999999999999,1.0564699529115115e-11
2DH3DGLCA,-5.4211212366350346e-12,0.0
2DMMQ8abcpp,0.0,3.847714212725784e-12
2DMMQ8tex,0.0,3.6818455097168805e-12
2IMZS,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,10.714093599777662,10.714093599779881
2MECOAOX,-1000.0,383.48514397764774
2OMMBOX,0.3894650501454715,0.38946505014687677
2OMPHH,0.3894650501451531,0.3894650501468769
34DHPHAt2rpp,0.0,383.4851439776515
34DHPHAtex,0.0,383.48514397765075
34DHPHEtex,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3HACPR1,0.0,2.471662371492139e-12
3HACPR2,0.0,1.99348759230946e-12
3HAD100,0.0,5.531276864921802e-12
3HAD10M12,10.714093599777662,10.714093599779561
3HAD11M12,10.714093599777662,10.71409359977978
3HAD120,0.0,2.36836821250776e-12
3HAD12M14,10.714093599777662,10.714093599779963
3HAD13M14,10.714093599777662,10.714093599779995
3HAD140,0.0,968.5239541015671
3HAD14M16,10.714093599777664,10.714093599777684
3HAD15M16,10.714093599777664,10.71409359977766
3HAD160,0.0,-4.3469482816157856e-13
3HAD180,0.0,1.1519309568353102e-11
3HAD40,0.0,5.875335112782336e-12
3HAD4M6,10.714093599777662,10.714093599779885
3HAD5M6,10.714093599777662,10.71409359977982
3HAD60,0.0,2.4464544067317065e-12
3HAD6M8,10.714093599777662,10.714093599780266
3HAD7M8,10.714093599777662,10.7140935997803
3HAD80,0.0,1.837750759839953e-12
3HAD8M10,10.714093599777662,10.714093599779892
3HAD9M10,10.714093599777662,10.7140935997799
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,0.0
3MOBS,-383.48514397764376,4.350781871672515e-15
3OAACPR1,0.0,1.6312873187869125e-13
3OAACPR2,0.0,1.8106230823343333e-13
3OAR100,0.0,-7.476751044379135e-13
3OAR10M11,0.0,0.0
3OAR10M12,10.714093599777662,10.714093599780004
3OAR11M12,10.714093599777662,10.714093599779927
3OAR120,0.0,2.1174084841634284e-12
3OAR12M13,0.0,0.0
3OAR12M14,10.714093599777662,10.714093599780606
3OAR13M14,10.714093599777662,10.714093599779883
3OAR140,25.18083671874867,993.7047908203153
3OAR14M15,0.0,0.0
3OAR14M16,10.714093599777664,10.714093599777692
3OAR15M16,10.714093599777664,10.71409359977768
3OAR160,0.0,2.564699486153328e-12
3OAR180,0.0,1.1722529874770238e-11
3OAR40,0.0,2.4713324580386276e-12
3OAR4M5,0.0,0.0
3OAR4M6,10.714093599777662,10.714093599779067
3OAR5M6,10.714093599777662,10.71409359977994
3OAR60,0.0,2.037506277213864e-12
3OAR6M7,0.0,0.0
3OAR6M8,10.714093599777662,10.714093599779668
3OAR7M8,10.714093599777662,10.71409359977974
3OAR80,0.0,2.1373840359008186e-12
3OAR8M10,10.714093599777662,10.714093599779668
3OAR8M9,0.0,0.0
3OAR9M10,10.714093599777662,10.71409359978
3OAS100,0.0,2.3671028808808134e-12
3OAS10M11,0.0,0.0
3OAS10M12,10.714093599777662,10.714093599778264
3OAS11M12,10.714093599777662,10.71409359978
3OAS120,0.0,2.3671028808808134e-12
3OAS12M13,0.0,0.0
3OAS12M14,10.714093599777662,10.71409359977767
3OAS13M14,10.714093599777662,10.714093599777653
3OAS140,25.18083671874867,993.704790820312
3OAS160,0.0,3.009167085720858e-12
3OAS180,0.0,1.2304149861614193e-11
3OAS2M3,0.0,0.0
3OAS3M4,10.714093599777664,10.714093599780117
3OAS4M3O6,10.714093599777662,10.71409359978003
3OAS4M5,0.0,0.0
3OAS4M6,10.714093599777662,10.714093599780021
3OAS5M6,10.714093599777662,10.71409359978
3OAS60,0.0,2.3671028808808134e-12
3OAS6M7,0.0,0.0
3OAS6M8,10.714093599777662,10.714093599778264
3OAS7M8,10.714093599777662,10.71409359978
3OAS80,0.0,2.3671028808808134e-12
3OAS8M10,10.714093599777662,10.714093599778264
3OAS8M9,0.0,0.0
3OAS9M10,10.714093599777662,10.71409359978
4ABUTtex,-1000.0000000000001,1000.000000000001
4C2HM6SADH,0.0,383.48514397764296
4HP34DHPD,0.0,0.0
4HTHDR,3.145780839406921,3.145780839410038
4HTHDS,3.1457808394069207,3.1457808394104987
4HTHRS,0.0,0.0
5AIZCDC,0.0,7.157340633556726e-12
5ASAppp,0.0,1000.0
5ASAtex,0.0,1000.0000000000001
5C2O3EDDC,0.0,383.4851439776477
5CM2HMUDI,0.0,383.4851439776476
5DGCLURI,0.0,8.192696575825027e-12
5DGLCNR,-1000.0,1000.0
5DOAN,0.0,3.855968731845875e-12
5FURAtex,-2.0335006575517894e-11,0.0
5FURAtpp,-1.990747279497339e-11,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-4.986720959660974e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
7A_CZPtex,-1000.0000000000005,1000.0000000000023
A5PISO,15.736199198781257,15.736199198781273
AACGLYDH,0.0,0.0
AACOAT,0.0,-6.085727594262091e-12
AB6PGH,0.0,406.5143325088014
AB6PGH2,0.0,406.5143325088033
ABTA,0.0,1000.0
ABUTD,0.0,1000.0
ABUTR,-1000.0000000000013,999.9999999999987
ABUTt2rpp,-999.9999999999973,1000.0000000000059
AC5ASAc,0.0,1000.0
AC5ASAppp,0.0,1000.0
AC5ASAtex,-1000.0000000000001,0.0
ACACCTr,12.590418359363492,1000.0
ACACT1r,12.590418359363435,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDtex,-1000.0000000000001,1000.0000000000001
ACALDtpp,-1000.0,1000.0
ACBIPGT,0.38946505014687655,0.3894650501480253
ACCOACL,122.27391401764487,122.27391401765057
ACCOAL,0.0,4.346574679374575e-12
ACCOAT,0.0,0.0
ACGAMK,0.0,4.041176972528385e-12
ACGAMT,0.0,0.0
ACGAMt2pp,0.0,4.731797418851396e-12
ACGAMtex,0.0,18.881980038197703
ACGAptspp,0.0,18.88198003819805
ACGK,0.0,4.803759739656638e-12
ACGS,0.0,987.4095816406185
ACHBPL,0.0,1.206283942882323e-11
ACISNZDppp,-1000.0,1000.0
ACISNZDtex,-1000.0000000000001,1000.0000000000001
ACKr,-1000.0,-999.9999999999941
ACLS_a,0.0,383.4851439776378
ACLS_b,-1000.0,-1.1368683772161603e-13
ACNAMabcpp,0.0,-2.0187818247860145e-12
ACNAMtex,0.0,-1.7024590725093617e-12
ACNML,0.0,-1.7024590725093617e-12
ACOAAGPAT140,0.0,-5.974417778881866e-13
ACOAAGPAT160,0.0,-9.583885185095543e-13
ACOAAGPAT180,0.0,5.357046799888831
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,5.357046799888831,5.357046799888831
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,5.357046799888833,5.357046799888827
ACOAD1,0.0,0.0
ACOAD20,0.0,691.7425719888217
ACOADH2,0.0,500.00000000000006
ACOATA,-5.284873368464294e-12,3.1379272833168743e-12
ACODAr,0.0,987.4095816406327
ACONTa,0.0,997.8399562716234
ACONTb,0.0,997.839956271618
ACOTA,-9.47198749313223e-12,0.0
ACPS1,0.38946505014687655,0.38946505015203653
ACPpds,0.0,4.7816264497551275e-12
ACS,0.0,9.641017429542663e-12
ACS2,0.0,7.984028246859533e-12
ACYP,0.0,1.1323501600113278e-11
ACYP_2,0.0,9.065262190232985e-12
ACtex,-1000.0,-12.590418359371142
ACtrpp,-1000.0,-12.590418359371856
ADA,0.0,-3.3778581044405713e-12
ADCL,1.1683951504406282,1.1683951504409333
ADCPS1,0.0,7.401441275652671e-13
ADCPS2,0.0,5.014413724212752e-13
ADCS,1.1683951504406285,1.1683951504406325
ADCYRS,0.0,0.0
ADEtex,0.0,0.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,991.7865826886189
ADK11,-1000.0,1000.0
ADK2,0.3894650501468765,0.38946505014687716
ADK3,-1000.0,980.6318961385216
ADK5,-1000.0,919.8950951306917
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,8.015912082157166e-12
ADNCNT3tcpp,-693.1727296392559,1000.0
ADNCYC,0.0,6.123027970595965e-12
ADNUC,0.0,1.2986035467949531e-11
ADNtex,-693.1727296392635,1000.0
ADOCBIK,0.0,0.3894650501468772
ADOCBIK2,0.0,0.38946505014687616
ADOCBLS,0.38946505014687643,0.3894650501468759
ADOCBLabcpp,0.0,6.873611970304935e-12
ADOCBLtex,-3.9024497039938425e-12,7.138486555030377e-17
ADPRDP,0.0,0.0
ADPT,18.894431851501782,18.89443185152278
ADSK,0.0,4.651910860777459e-12
ADSL1r,4.007712853865996e-16,1.1430381077120302e-11
ADSL2r,0.0,2.5778407835415037e-12
ADSS,0.0,1.364826810434756e-11
AEPPT,0.0,0.0
AGDC,0.0,18.881980038203135
AGMHE,12.583123357627684,12.58312335762771
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,5.357046799888829
AGPAT181,0.0,0.0
AGPR,-1.0436640118098992e-11,0.0
AHCYSNS_r,0.7789301002937532,0.7789301002933865
AHMMPS,0.0,3.650372541555815e-12
AICART,0.0,5.811877236081699e-12
AIHPDCOATA,10.714093599777666,10.714093599777684
AIPDCOATA,0.0,0.0
AIRC4,0.0,5.04246000667429e-12
AKGS,0.0,1.2001637728931434e-11
AKGt2rpp,-1000.0,999.9999999999997
AKGtex,-1000.0,1000.0
ALAALA,3.145780839406921,3.145780839406928
ALAASP1c,0.0,1.4779624157493608e-12
ALAASPabcpp,0.0,1.5460581493000524e-11
ALAASPtex,0.0,1.5460581493000524e-11
ALACI,-1000.0,1000.0
ALAGLN1c,0.0,1.4810570902902588e-11
ALAGLNabcpp,0.0,1.471376697962294e-11
ALAGLNtex,0.0,1.471376697962294e-11
ALAGLU1c,0.0,1.4713766979622936e-11
ALAGLUabcpp,0.0,1.4810570902902588e-11
ALAGLUtex,0.0,1.4810570902902588e-11
ALAGLY1c,0.0,1.481361703561009e-11
ALAGLYabcpp,0.0,1.5009370512337522e-11
ALAGLYtex,0.0,1.5009370512337525e-11
ALAHIS1c,0.0,1.5016941191000816e-11
ALAHISabcpp,0.0,1.5009370512337522e-11
ALAHIStex,0.0,1.5009370512337525e-11
ALALEU1c,0.0,1.5009370512337525e-11
ALALEUabcpp,0.0,1.4810570902902588e-11
ALALEUtex,0.0,1.4810570902902588e-11
ALAPAT4tepp,-1000.0,1000.0000000000005
ALAR,-993.7084383211865,1000.0
ALATA_L,-1000.0,1000.0
ALATHR1c,0.0,1.3129180984871391e-11
ALATHRabcpp,0.0,1.3955392708059787e-11
ALATHRtex,0.0,1.3955392708059789e-11
ALA_Dtex,-993.7084383211861,1000.0000000000001
ALA_Ltex,-1000.0,1000.0
ALAt2pp,0.0,1000.0
ALCD19,-1.1143373378088387e-11,406.5143325088108
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,987.4095816406397
