,minimum,maximum
12PPDSDH,803.336094028471,803.3360940296614
12PPD_Stex,999.999999999584,1000.0
12PPDtpp,999.9999999995954,1000.0
13DAMPPOX,0.0,2.1205366303197096e-11
15DAPtex,-5.786327390330999e-11,3.01137476012999e-11
15DAPtpp,0.0,957.8718517968007
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000002,1000.0
2CLDHOFAL,0.0,0.0
2DDGLCNtex,-8.279156067477878e-10,7.517257212704261e-11
2DDPENGAL,-7.859827094599389e-11,5.6169885968146926e-11
2DDPENTHL,0.0,0.0
2DH3DGLCA,-2.757458971867813e-11,0.0
2DHPL,-2.2235764685991238e-11,1.9663810721926317e-10
2DMMQ8abcpp,0.0,1.2025393887120857e-11
2DMMQ8tex,0.0,1.322567500896839e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2IMZS,0.0,0.0
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,8.94058996443189,8.940589964439392
2MECOAOX,-1000.0,9.260822888286219e-11
2OMMBOX,1.0333174491360368,1.0333174491475299
2OMPHH,1.0333174491366466,1.0333174491475487
2OXOADOX,0.0,0.0
2RCDHOFAL,0.0,0.0
33HPHACt2rpp,0.0,6.910390058295225e-10
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,254.96307774566074,254.96307774654406
34DHPHAtex,254.963077745685,254.9630777465468
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,2.8141236016225463e-11
3CARLPDH,-1.2933298839213864e-11,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,5.361149770921877e-11
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,32.58782103597144,32.5878210359842
3HAD10M12,8.940589964431883,8.940589964440674
3HAD11M12,8.940589964431883,8.940589964440406
3HAD120,32.58782103597142,32.58782103598216
3HAD12M14,8.940589964431881,8.940589964440672
3HAD13M14,8.940589964431881,8.940589964440404
3HAD140,0.0,1.073662340053636e-11
3HAD14M16,8.940589964431883,8.940589964431926
3HAD15M16,8.940589964431883,8.94058996443193
3HAD160,0.0,3.0908577099948446e-11
3HAD180,0.0,5.702609535605649e-11
3HAD40,32.58782103597133,32.5878210359837
3HAD4M6,8.940589964431888,8.940589964439777
3HAD5M6,8.940589964431888,8.940589964440559
3HAD60,32.587821035971444,32.587821035984064
3HAD6M8,8.940589964431886,8.940589964439773
3HAD7M8,8.940589964431886,8.940589964440555
3HAD80,32.587821035971444,32.58782103598406
3HAD8M10,8.940589964431885,8.940589964439772
3HAD9M10,8.940589964431885,8.940589964440555
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,9.966117346665706e-10
3HPHACtex,0.0,9.986613335451107e-10
3HPPD,0.0,0.0
3MOBS,-6.899472100507243e-11,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,32.58782103597143,32.58782103598408
3OAR10M11,0.0,0.0
3OAR10M12,8.940589964431883,8.940589964439212
3OAR11M12,8.940589964431883,8.9405899644407
3OAR120,32.58782103597142,32.587821035982
3OAR12M13,0.0,0.0
3OAR12M14,8.940589964431883,8.940589964439503
3OAR13M14,8.940589964431883,8.940589964441214
3OAR140,26.07025682877714,26.07025682878858
3OAR14M15,0.0,0.0
3OAR14M16,8.940589964431883,8.94058996443192
3OAR15M16,8.940589964431883,8.94058996443192
3OAR160,0.0,2.3015498792358697e-11
3OAR180,0.0,5.70275708284135e-11
3OAR40,32.58782103597133,32.58782103598412
3OAR4M5,0.0,0.0
3OAR4M6,8.940589964431888,8.940589964438457
3OAR5M6,8.940589964431888,8.940589964441507
3OAR60,32.58782103597133,32.587821035983694
3OAR6M7,0.0,0.0
3OAR6M8,8.940589964431886,8.940589964438438
3OAR7M8,8.940589964431886,8.940589964441035
3OAR80,32.58782103597144,32.58782103598303
3OAR8M10,8.940589964431885,8.940589964438436
3OAR8M9,0.0,0.0
3OAR9M10,8.940589964431885,8.940589964440994
3OAS100,32.58782103597144,32.5878210359837
3OAS10M11,0.0,0.0
3OAS10M12,8.94058996443188,8.94058996443868
3OAS11M12,8.94058996443188,8.94058996444099
3OAS120,32.58782103597142,32.587821035983694
3OAS12M13,0.0,0.0
3OAS12M14,8.940589964431881,8.940589964431915
3OAS13M14,8.940589964431881,8.940589964431924
3OAS140,26.07025682877714,26.07025682878965
3OAS160,0.0,2.092209838026847e-11
3OAS180,0.0,6.017206927035209e-11
