,minimum,maximum
12PPDSDH,301.36314092872107,638.6299492906236
12PPD_Stex,999.9999999998508,1000.0
12PPDtpp,999.9999999998481,1000.0
13DAMPPOX,0.0,1.2730849063201652e-11
15DAPtex,-5.062807690666743e-11,2.431974098197069e-11
15DAPtpp,0.0,955.8318040628544
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1.6466031326728322e-10,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,0.24643861191257768,0.2464386119849848
26DAPt2rpp,0.2464386119082758,0.24643861198498482
2AHBUTI,0.0,1.621538887424152e-10
2CLDHOFAL,0.0,0.0
2DDGLCNtex,-218.9676309215319,7.461911947094857e-11
2DDPENGAL,-1.4958227633148863e-10,4.7387431125590736e-11
2DDPENTHL,0.0,0.0
2DH3DGLCA,-1.336120684050497e-11,0.0
2DHPL,-1.3772058668973312e-11,8.226685926082425e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,9.37353636904241,9.373536369060576
2MECOAOX,-1000.0,6.307913798382254e-11
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
2OXOADOX,0.0,0.0
2RCDHOFAL,0.0,0.0
33HPHACt2rpp,0.0,3.7961082181002694e-11
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,779.8104675182442,799.7166157839869
34DHPHAtex,779.8104675182385,799.7166157840068
34HPPORdc,0.0,9.079243737178993e-12
3CARLPDH,0.0,0.0
3DGUR,0.0,999.9999999999982
3FCHDCOR,0.0,5.7040837214027765e-11
3HACOAOR,0.0,0.0
3HAD100,34.16588020295537,34.165880202998046
3HAD10M12,9.37353636904236,9.373536369042442
3HAD11M12,9.373536369042453,9.37353636904247
3HAD120,34.16588020295538,34.16588020296824
3HAD12M14,9.373536369042453,9.373536369042474
3HAD13M14,9.373536369042453,9.373536369042467
