,minimum,maximum
1HIBUPGLU_St2pp,0.0,999.9999999999999
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,-1.1368683772161603e-13
1HMDGLUC_GLCAASE,0.0,1000.0
1HMDGLUCt2pp,0.0,1000.0000000000001
1HMDGLUCtex,0.0,1000.0000000000001
1OHMDZtepp,0.0,1000.0000000000001
1OHMDZtex,-1000.0,-8.220930116178346e-13
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-1000.0,3.848463384255816e-12
2DH3DGLCA,0.0,0.0
2DMMQ8abcpp,0.0,5.454014277238171e-12
2DMMQ8tex,0.0,5.651164137395765e-12
2HATVACIDGLUC_GLCAASE,0.0,1000.0000000000002
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,-1.1368683772161603e-13
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,1000.0000000000001
2HATVLACGLUCtex,0.0,1000.0000000000001
2HATVLACtepp,0.0,1000.0000000000001
2HATVLACtex,-1000.0,2.2068497800024903e-13
2HIBUPGLU_St2pp,0.0,999.9999999999999
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,-1.1368683772161603e-13
2HYOXPLACt2rpp,-914.1017530649559,0.0
2HYOXPLACtex,-914.1017530649498,0.0
2IMZS,0.0,0.0
2MBCOATA,7.340340733120879,7.340340733120888
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,1000.0000000000001
2OH_CBZ_GLCtex,0.0,1000.0000000000001
2OH_CBZtepp,0.0,1000.0000000000001
2OH_CBZtex,-1000.0,9.43296728588513e-14
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,1000.0000000000001
2OH_MTZ_GLCtex,0.0,1000.0000000000001
2OH_MTZtepp,0.0,1000.0000000000001
2OH_MTZtex,-1000.0,0.0
2OMMBOX,0.26682669374536655,0.26682669374658197
2OMPHH,0.26682669374558765,0.26682669374658186
34DHPHAt2rpp,0.0,914.1017530649543
34DHPHAtex,0.0,914.1017530649572
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,0.0,1.0238539927859807e-11
3HAD10M12,7.340340733120875,7.3403407331208905
3HAD11M12,7.340340733120875,7.340340733120893
3HAD120,0.0,1.295679076922262e-12
3HAD12M14,7.340340733120874,7.3403407331208905
3HAD13M14,7.340340733120874,7.340340733120892
3HAD140,0.0,978.43542249523
3HAD14M16,7.340340733120875,7.340340733120895
3HAD15M16,7.340340733120875,7.340340733120886
3HAD160,0.0,3.3008284448583835e-12
3HAD180,0.0,7.744058660300256e-12
3HAD40,0.0,2.8203513628573652e-12
3HAD4M6,7.34034073312088,7.3403407331208985
3HAD5M6,7.340340733119768,7.340340733120885
3HAD60,-4.321467346421042e-14,1.9976107811729533e-13
3HAD6M8,7.3403407331208825,7.340340733120892
3HAD7M8,7.340340733120878,7.340340733120895
3HAD80,-2.6340372397233042e-14,2.191474898909445e-12
3HAD8M10,7.340340733120876,7.3403407331208905
3HAD9M10,7.340340733120876,7.340340733120893
3HBCOAE,0.0,0.0
3HIBUPGLU_St2pp,0.0,1000.0000000000001
3HIBUPGLU_Stex,0.0,1000.0000000000001
3HIBUP_S_GLCAASE,0.0,1000.0
3HIBUP_Stepp,0.0,1000.0
3HIBUP_Stex,-1000.0,-1.1368683772161603e-13
3HPCOAHL,0.0,0.0
3MEACMPtepp,0.0,1000.0000000000001
3MEACMPtex,-1000.0000000000001,0.0
3MOBS,-914.1017530649511,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,-2.963291894688712e-14,1.8453530255978215e-12
3OAR10M11,0.0,0.0
3OAR10M12,7.340340733120874,7.340340733120888
3OAR11M12,7.340340733120874,7.340340733120882
3OAR120,0.0,1.2086077230251127e-12
3OAR12M13,0.0,0.0
3OAR12M14,7.340340733120873,7.340340733120886
3OAR13M14,7.340340733120873,7.340340733120883
3OAR140,17.251662003823853,995.6870844990455
3OAR14M15,0.0,0.0
3OAR14M16,7.340340733120874,7.340340733120888
3OAR15M16,7.340340733120874,7.340340733120883
3OAR160,0.0,2.417215446050221e-12
3OAR180,0.0,7.848351160905417e-12
3OAR40,-2.963291894688714e-14,2.689180753854018e-12
3OAR4M5,0.0,0.0
3OAR4M6,7.340340733120878,7.340340733120891
3OAR5M6,7.340340733120878,7.340340733120879
3OAR60,-2.963291894688713e-14,1.2441930976444079e-12
3OAR6M7,0.0,0.0
3OAR6M8,7.340340733120876,7.3403407331208905
3OAR7M8,7.340340733120876,7.340340733120881
3OAR80,-2.9632918946887125e-14,1.2441930976444079e-12
3OAR8M10,7.340340733120875,7.340340733120889
3OAR8M9,0.0,0.0
3OAR9M10,7.340340733120875,7.340340733120881
3OAS100,-2.963291894688712e-14,1.2086077230251129e-12
3OAS10M11,0.0,0.0
3OAS10M12,7.340340733120872,7.340340733120884
3OAS11M12,7.340340733120872,7.340340733120884
3OAS120,0.0,1.4468894116737067e-12
3OAS12M13,0.0,0.0
3OAS12M14,7.340340733120873,7.340340733120886
3OAS13M14,7.340340733120873,7.34034073312088
3OAS140,17.251662003823853,995.6870844990456
3OAS160,0.0,3.4110008629321954e-12
3OAS180,0.0,6.762917196420737e-12
3OAS2M3,0.0,0.0
3OAS3M4,7.340340733120878,7.340340733120891
