,minimum,maximum
23DHMPO,-2.9818314777873045e-11,0.0
2AHBUTI,1.4973517389455452e-16,-1.8975291222282143e-11
2MBCOATA,3.016134357247407,3.0161343572570045
3HAD10M12,3.016134357247398,3.016134357256569
3HAD11M12,3.0161343572474144,3.0161343572565915
3HAD12M14,3.0161343572473984,3.01613435725661
3HAD13M14,3.0161343572474144,3.0161343572565924
3HAD14M16,3.0161343572473993,3.0161343572475796
3HAD15M16,3.0161343572474144,3.0161343572475094
3HAD4M6,3.016134357247396,3.016134357247497
3HAD5M6,3.0161343572474144,3.0161343572474837
3HAD6M8,3.0161343572473966,3.0161343572475587
3HAD7M8,3.0161343572474144,3.0161343572475228
3HAD8M10,3.0161343572473975,3.0161343572474952
3HAD9M10,3.0161343572474144,3.016134357247511
3HPCOAHL,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.016134357247398,3.0161343572474952
3OAR11M12,3.0161343572474144,3.016134357247511
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.0161343572473984,3.0161343572474952
3OAR13M14,3.0161343572474144,3.016134357247511
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.0161343572473993,3.0161343572474952
3OAR15M16,3.0161343572474144,3.016134357247511
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.0161343572473958,3.0161343572474952
3OAR5M6,3.0161343572474144,3.016134357247511
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.0161343572473966,3.0161343572474952
3OAR7M8,3.0161343572474144,3.016134357247511
3OAR80,0.0,0.0
3OAR8M10,3.0161343572473975,3.0161343572474952
3OAR8M9,0.0,0.0
3OAR9M10,3.0161343572474144,3.016134357247511
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.0161343572473975,3.0161343572474952
3OAS11M12,3.0161343572474135,3.0161343572475108
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.0161343572473984,3.0161343572474952
