,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,32.419925287689864,32.419925287700124
2AHBUTI,-1000.000000000001,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,8.89563543266594,8.895635432665976
2MEBCOADH,-8.895635432665992,-8.895635432665937
2OBUTt2r,-0.6467255615665268,999.3532744384827
2S6HCC,-1000.0,5.991679942048589e-13
3CARLPDH,0.0,0.0
3HAD100,0.0,1.1402050641533343e-11
3HAD10M12,8.895635432665943,8.895635432665987
3HAD11M12,8.895635432665943,8.895635432665975
3HAD120,0.0,3.994393346929264e-12
3HAD12M14,8.89563543266594,8.895635432665982
3HAD13M14,8.89563543266594,8.895635432665989
3HAD140,0.0,4.021561095796264e-12
3HAD14M16,8.89563543266594,8.895635432665976
3HAD15M16,8.89563543266594,8.895635432665976
3HAD160,0.0,3.385634030770509e-12
3HAD180,0.0,2.0920797535192802e-11
3HAD40,0.0,7.826382737335419e-12
3HAD4M6,8.895635432665943,8.895635432665985
3HAD5M6,8.895635432665943,8.895635432665975
3HAD60,0.0,3.5354786701221485e-12
3HAD6M8,8.895635432665943,8.895635432665983
3HAD7M8,8.895635432665943,8.89563543266598
3HAD80,0.0,3.5053738673235998e-12
3HAD8M10,8.895635432665943,8.895635432665983
3HAD9M10,8.895635432665943,8.89563543266598
3MEBCOADH,-8.895635432665994,-8.895635432665939
3MOBDC2,0.0,0.0
3MOBS,-8.423470675730334e-12,0.0
3MOPDC2,17.79127086533188,17.791270865331963
3OAR100,0.0,3.53547867012215e-12
3OAR10M11,0.0,0.0
3OAR10M12,8.895635432665943,8.89563543266598
3OAR11M12,8.895635432665943,8.895635432665985
3OAR120,0.0,3.2895004033535614e-12
3OAR12M13,0.0,0.0
3OAR12M14,8.895635432665943,8.895635432665978
3OAR13M14,8.895635432665943,8.895635432665985
3OAR140,0.0,3.2895004033535614e-12
3OAR14M15,0.0,0.0
3OAR14M16,8.89563543266594,8.89563543266598
3OAR15M16,8.89563543266594,8.895635432665966
3OAR160,0.0,1.1278287097212054e-12
3OAR180,0.0,2.4059163185579506e-11
3OAR40,0.0,5.701078422953231e-12
3OAR4M5,0.0,0.0
3OAR4M6,8.895635432665943,8.895635432665987
3OAR5M6,8.895635432665943,8.895635432666014
3OAR60,0.0,2.631600322682797e-12
3OAR6M7,0.0,0.0
3OAR6M8,8.895635432665943,8.895635432665987
3OAR7M8,8.895635432665943,8.89563543266598
3OAR80,0.0,2.8852956097201228e-12
3OAR8M10,8.895635432665943,8.895635432665987
3OAR8M9,0.0,0.0
3OAR9M10,8.895635432665943,8.89563543266598
3OAS100,0.0,2.8665646372080615e-12
3OAS10M11,0.0,0.0
3OAS10M12,8.89563543266594,8.895635432665987
3OAS11M12,8.89563543266594,8.895635432665978
3OAS120,0.0,3.7829254638565065e-12
3OAS12M13,0.0,0.0
3OAS12M14,8.895635432665939,8.895635432665985
3OAS13M14,8.895635432665939,8.895635432665978
3OAS140,0.0,3.5615450237647942e-12
3OAS160,0.0,4.2288744161821756e-12
3OAS180,0.0,2.5789441525884723e-11
3OAS2M3,0.0,0.0
3OAS3M4,8.89563543266594,8.895635432665989
3OAS4M3O6,8.89563543266594,8.895635432665982
3OAS4M5,0.0,0.0
3OAS4M6,8.89563543266594,8.895635432665975
3OAS5M6,8.89563543266594,8.895635432665976
3OAS60,0.0,3.756491978472463e-12
3OAS6M7,0.0,0.0
3OAS6M8,8.89563543266594,8.895635432665985
3OAS7M8,8.89563543266594,8.895635432665973
3OAS80,0.0,4.093144531679842e-12
3OAS8M10,8.89563543266594,8.895635432665985
3OAS8M9,0.0,0.0
3OAS9M10,8.89563543266594,8.895635432666008
4HPL,-0.3233627807716266,-0.3233627807716253
4HTHDR,32.41992528768986,32.41992528770228
4HTHDS,32.419925287689864,32.419925287701965
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,2.177563717172236e-11
5DOAN,0.0,1.1470732251012341e-11
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5MTHCYST,-1.3269882615438804e-11,0.0
6P3HXI,-999.9999999999999,740.3172349177391
6PGALSZ,-1000.0,1000.0000000000099
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0,740.3172349177435
AB6PGH,0.0,2.8761799392715215e-11
AB6PGH2,0.0,2.985340938291385e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,31.31736942158722,31.317369421593085
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.3233627807716249,0.32336278077162645
ACCOAC,0.0,106.74762519201802
ACCOACL,0.0,106.74762519202609
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.5657934914324764,0.5657934914324781
ACGApts,0.0,8.009346071379538e-12
ACGK,0.0,25.76250541463565
ACGS,0.0,2.2534521509758826e-11
ACHBPL,-8.108045604550067e-15,1000.0
ACKr,-1000.0,-992.0480847190425
ACLDC,0.0,1.9483744923665357e-11
ACLS_a,0.0,1.9096382618795424e-11
ACLS_b,-1000.0,0.0
ACNAMabc,0.0,20.747641065140716
ACNML,0.0,20.74764106514059
ACOAAGPAT140,0.0,5.084482864163145e-12
ACOAAGPAT160,0.0,2.2109721379058232e-11
ACOAAGPAT180,0.0,4.447817716337748
ACOAAGPATAI15,0.0,1.7173681716568227e-12
ACOAAGPATAI17,4.44781771633297,4.44781771633299
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.44781771633297,4.447817716332987
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,-4.1307686604954095e-15,-4.3545742210723815e-13
ACODAr,0.0,2.443440888082773e-11
ACONTa,0.0,2.254355337269396e-11
ACONTb,0.0,2.1616200812561412e-11
ACOTA,-25.76250541464075,0.0
ACPS1,0.3233627807716248,0.32336278077162617
ACS,0.0,1.892417274456036e-11
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-1000.0,1000.0
ACYP,0.0,393.00352174602875
ACYP_2,0.0,2.8319261203994926e-11
ACtr,-1000.0,-999.9999999999735
ADCL,0.9700883423148742,0.9700883423184163
ADCS,0.9700883423148741,0.9700883423179472
ADK1,-1000.0,1000.0
ADK10,-1000.0,997.7544744469784
ADK11,-1000.0,1000.0
ADK2,-205.49863971466917,-16.017083245772717
ADK3,-1000.0,984.5658887302042
ADK5,-1000.0,952.4129870596606
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,998.8989061326059
ADMDC,0.0,7.891983759979284e-12
ADNCNT3tc,-1000.0,999.3532744384679
ADNCYC,0.0,0.0
ADNUC,0.0,2.2108290141207272e-11
ADOCBIK,0.32336278077162484,0.3233627807716263
ADOCBLS,0.32336278077162484,0.3233627807716265
ADOCBLabc,16.34044602654635,205.8220024954449
ADPRDP,0.0,0.0
ADPT,0.0,1.2344993082648106e-11
ADSL1r,0.0,1.2916971630943897e-11
ADSL2r,0.0,1.2710050265451595e-11
ADSS,0.0,8.561022362706474e-12
AGDC,0.0,1.0093458121618134e-11
AGMT,0.0,2.8643553785585348e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,6.769263378425575e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,8.383132944048804e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.447817716332993
AGPAT181,0.0,0.0
AGPR,-25.762505414633562,0.0
AHCYSNS_r,0.6467255615354708,0.6467255615537878
AHMMPS,0.0,1.2361554654601274e-11
AICART,0.0,8.109149361037785e-12
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIHPDCOATA,8.895635432665937,8.895635432665982
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,2.4953210202581747e-11
AKGS,0.0,568.6361390202449
AKGt2r,-1000.0,1000.0
AKP1,0.0,0.9700883423180785
ALAALA,2.611860652310385,2.611860652310399
ALAASP1c,0.0,1.8750152299115114e-11
ALAASPabc,0.0,2.914771903969218e-11
ALACI,-999.9999999999999,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,2.1429531609361638e-11
ALAGLNabc,0.0,2.1852927201939057e-11
ALAGLU1c,0.0,2.1601509818085917e-11
ALAGLUabc,0.0,2.245942666749681e-11
ALAGLY1c,0.0,2.2459426667496808e-11
ALAGLYabc,0.0,2.236328186155718e-11
ALAHIS1c,0.0,2.236328186155718e-11
ALAHISabc,0.0,2.2363281861557184e-11
ALALEU1c,0.0,2.236328186155718e-11
ALALEUabc,0.0,2.2363281861557187e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.18859783047749215,0.18859783047749262
ALAR,-1000.0,974.7417797035554
ALATA_D,-997.3881393476896,1000.0
ALATHR1c,22.041718759054408,22.041718759090305
ALATHRabc,22.041718759053854,22.0417187590901
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-2.085467866906774e-11,1.7216797326433483e-11
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,2.4267250377507427e-11
ALDD8x,0.0,2.7162784293138874e-11
ALKP,0.0,2.774191008237084e-11
ALKP_R788e,0.0,2.7132334953829778e-11
ALPHNH,0.0,0.0
AMANAPEr,0.0,8.160668268542322e-12
AMANK,0.0,9.405145535803597e-12
AMAOTr,0.0,-5.710509334478508e-14
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.6766372192288
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.323362780770708
AMPMS2,0.0,7.640010629842702e-12
AMPTASECG,0.0,7.951915280962113
AMPTASEGC,0.0,7.951915280961445
ANPRT,4.929232997895118,4.929232997895144
ANS,0.0,4.929232997895142
ANS2,0.0,4.929232997895141
AOXSr,0.0,0.0
APRAUR,0.0,6.432148110128768e-12
ARBTpts,0.0,2.7393555564344256e-11
ARBabc,0.0,2.8421537285850745e-11
ARGDA,0.0,503.0151634326699
ARGDC,0.0,2.8191658263110106e-11
ARGN,0.0,974.237494585398
ARGSL,0.0,1.4853520000060877e-11
ARGSS,0.0,1.485352000006088e-11
ARGabc,0.0,25.762505414646085
ARSENBabc,0.0,3.044579559611574e-11
ARSENBt2,-2.6588930753339597e-11,-8.276657215757178e-16
ASAD,-32.41992528771597,-32.41992528768987
ASNS1,0.0,2.920328573266519e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,2.864913963506586e-11
ASPCT,0.0,1.4853520000060877e-11
ASPKi,32.41992528768988,32.41992528771966
ASPTA,-1000.0,946.607703563498
ASPt2r,-946.6077035635019,1000.0
ATPPRT,0.0,5.9371890710074645e-12
ATPS4,999.9999999999839,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.3233627807716248,0.3233627807716262
BTDD_RR,0.0,0.0
BTNCLi,0.0,106.74762519201738
BTNabc,0.0,2.2240890531085563e-11
BTS4,0.0,0.0
BZAMAH,0.0,999.9999999999999
BZAMt2r,0.0,1000.0
BZte,0.0,1000.0
CAt4i,0.3233627807716248,0.3233627807716262
CBIAT,0.3233627807716248,0.3233627807716257
CBL1abc,0.0,1.525212106662043e-11
CBLAT,-205.822002495447,-16.340446026535982
CBLTDe,0.0,2.2662532570044265e-11
CBMKr,-503.01516343266735,1.1289528068624234e-11
CBPS,0.0,2.245942666749682e-11
CBl1te,16.340446026542306,205.8220024954447
CCOuq,0.0,1000.0
CD2abc1,0.0,2.5602290251282546e-11
CDPGLYCGPT,0.5657934914324765,0.5657934914324796
CDPMEK,0.0,0.0
CGLYabc,0.3233627807587385,8.275278061721657
CHCOAL,0.0,0.0
CHLabc,0.0,2.3578838797477754e-11
CHLt2r,-2.7918075655539504e-11,1000.0000000000001
CHOLD,0.0,1000.0
CHOLabc,0.0,3.136715188922382e-11
CHORM,0.0,1.0584403927953645e-11
CHORS,6.222684120981617,6.222684120991979
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.1119544290832424,1.1119544290832495
CLPNSAI15,0.0,0.0
CLPNSAI17,1.1119544290832424,1.1119544290832482
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.1119544290832424,1.1119544290832482
CO2t,-1000.0,-999.9999999999729
COBALTt5,-0.3233627807716264,-0.3233627807716247
CPPPGO,0.0,1.3858547368477854e-12
CPPPGO2,0.0,6.034080620688225e-13
CRNabc,0.0,2.0932715333610054e-11
CTBTabc,0.0,2.2127540095758192e-11
CTPS1,0.0,2.1398903593471524e-11
CTPS2,0.0,2.0305783014449166e-11
CYOmq,0.0,1000.0
CYSDS,0.0,2.1145366767922107e-11
CYSS,0.0,7.951915280956899
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,999.3532744384835
CYSTS,0.6467255615268751,1000.0
CYSabc,0.0,7.951915280956051
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,991.2171473231197
CYTDK1,0.0,12.129472097368344
CYTDK2,0.0,12.129472097371801
CYTDK3,0.0,12.129472097371753
CYTDK4,0.0,12.129472097370627
CYTDt2,0.0,1000.0
CYTDt4,0.0,1000.0
CYTK1,47.58701294033829,51.580357922372045
CYTK2,-2.2455255530431075,1.1010938674167787
Cuabc,0.3233627807716248,0.32336278078792546
Cut1,0.0,1.719573422413671e-11
DACTt3,0.0,1000.0000000000001
DADNK,0.0,3.861655474008191e-11
DADNt2r,-1000.0,988.2358709314406
DAGK120,0.0,0.0
DAGK140,-5.7626746627087456e-12,0.0
DAGK141,0.0,0.0
DAGK160,-2.2377102677410863e-11,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,0.0
DAPDC,29.808064635379484,29.808064635397077
DAPE,32.419925287689864,32.41992528770777
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,4.4478177163329695,4.4478177163330015
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,4.4478177163329695,4.447817716333003
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.447817716332969,4.447817716332987
DB4PS,0.0,1.0665911352480662e-11
DCMPDA,-1.1010938674395376,2.2455255530467526
DCYTD,0.0,1000.0
DCYTt2r,-2.411087850462403e-11,1000.0
DDPA,6.222684120981614,6.222684120989559
DFDCYTDD,0.0,2.241842154131183e-11
DFDCYTDabc,0.0,2.259547479668242e-11
DFDURIte,0.0,2.259547479668242e-11
DGK1,1.1010938673925879,1.1010938674167698
DGSNt2,16.211842356428622,16.211842356451065
DHAD1,0.0,1000.0000000000005
DHAD2,0.0,1000.0000000000001
DHAPT,0.0,2.283353972290357e-11
DHFOR2,0.0,2.7686697050650603e-12
DHFR,0.9700883423148744,3.2156138953617055
DHFS,0.9700883423148743,0.9700883423176064
DHLCOALT,0.0,0.0
DHNAOT,0.0,6.212405617976686e-13
DHNAOT4,0.0,7.419623023994559e-13
DHNAOT7,0.0,0.0
DHNAS,0.0,6.292411064580003e-13
