,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,32.41990429721018,32.41990429721549
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,8.895629673132172,8.895629673132198
2MEBCOADH,-8.895629673132204,-8.895629673132163
2OBUTt2r,-0.6467251428302417,999.3532748572001
2S6HCC,-1000.0,4.786208620682042e-12
3CARLPDH,0.0,0.0
3HAD100,0.0,3.1922008675137426e-12
3HAD10M12,8.895629673132166,8.89562967313219
3HAD11M12,8.895629673132166,8.895629673132177
3HAD120,0.0,1.8536626302313603e-12
3HAD12M14,8.895629673132163,8.895629673132197
3HAD13M14,8.895629673132163,8.895629673132177
3HAD140,0.0,1.5478284240861197e-12
3HAD14M16,8.89562967313216,8.89562967313219
3HAD15M16,8.89562967313216,8.895629673132174
3HAD160,0.0,3.991971473926312e-12
3HAD180,0.0,1.573849515374063e-11
3HAD40,0.0,3.736982450304933e-12
3HAD4M6,8.89562967313217,8.895629673132195
3HAD5M6,8.89562967313217,8.895629673132175
3HAD60,0.0,1.0209940340093475e-12
3HAD6M8,8.895629673132168,8.895629673132204
3HAD7M8,8.895629673132168,8.895629673132186
3HAD80,0.0,1.2805563432666925e-12
3HAD8M10,8.895629673132166,8.895629673132202
3HAD9M10,8.895629673132166,8.895629673132184
3MEBCOADH,-8.895629673132198,-8.89562967313217
3MOBDC2,0.0,0.0
3MOBS,-1.3533953279295687e-11,0.0
3MOPDC2,17.791259346264344,17.7912593462644
3OAR100,0.0,1.7089993629318942e-12
3OAR10M11,0.0,0.0
3OAR10M12,8.895629673132166,8.895629673132204
3OAR11M12,8.895629673132166,8.89562967313218
3OAR120,0.0,1.646954058455957e-12
3OAR12M13,0.0,0.0
3OAR12M14,8.895629673132163,8.895629673132202
3OAR13M14,8.895629673132163,8.895629673132179
3OAR140,0.0,1.6783940487299272e-12
3OAR14M15,0.0,0.0
3OAR14M16,8.89562967313216,8.895629673132195
3OAR15M16,8.89562967313216,8.895629673132177
3OAR160,0.0,1.5893143377297895e-12
3OAR180,0.0,1.3456493581109534e-11
3OAR40,0.0,3.5284080942785307e-12
3OAR4M5,0.0,0.0
3OAR4M6,8.895629673132172,8.895629673132197
3OAR5M6,8.895629673132172,8.895629673132186
3OAR60,0.0,1.5222024972886774e-12
3OAR6M7,0.0,0.0
3OAR6M8,8.89562967313217,8.895629673132191
3OAR7M8,8.89562967313217,8.89562967313218
3OAR80,0.0,2.099260656765751e-12
3OAR8M10,8.895629673132166,8.89562967313219
3OAR8M9,0.0,0.0
3OAR9M10,8.895629673132166,8.89562967313218
3OAS100,0.0,2.099260656765751e-12
3OAS10M11,0.0,0.0
3OAS10M12,8.895629673132163,8.895629673132195
3OAS11M12,8.895629673132163,8.895629673132179
3OAS120,0.0,1.8503451749037067e-12
3OAS12M13,0.0,0.0
3OAS12M14,8.89562967313216,8.89562967313219
3OAS13M14,8.89562967313216,8.895629673132174
3OAS140,0.0,1.5592096480880346e-12
3OAS160,0.0,2.4159977975298337e-12
3OAS180,0.0,1.378043384442932e-11
3OAS2M3,0.0,0.0
3OAS3M4,8.895629673132172,8.8956296731322
3OAS4M3O6,8.895629673132172,8.895629673132184
3OAS4M5,0.0,0.0
3OAS4M6,8.895629673132172,8.895629673132184
3OAS5M6,8.895629673132172,8.895629673132195
3OAS60,0.0,1.994260910729551e-12
3OAS6M7,0.0,0.0
3OAS6M8,8.89562967313217,8.895629673132197
3OAS7M8,8.89562967313217,8.895629673132184
3OAS80,0.0,1.5761813092492684e-12
3OAS8M10,8.895629673132168,8.895629673132191
3OAS8M9,0.0,0.0
3OAS9M10,8.895629673132168,8.895629673132184
4HPL,-0.3233625714084079,-0.3233625714084069
4HTHDR,32.41990429721018,32.41990429721782
4HTHDS,32.41990429721018,32.41990429721801
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.567657002026416e-11
5DOAN,0.0,8.229563519906683e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,1.3644381172759939e-11
5MTHCYST,-8.821020235696316e-12,0.0
6P3HXI,-999.9999999999999,942.7020633863629
6PGALSZ,-1000.0000000000108,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0,942.7020633863539
AB6PGH,0.0,1.1335790200770421e-11
AB6PGH2,0.0,1.462737098099159e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,31.317349144964123,31.31734914496765
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.32336257140840696,0.32336257140840796
ACCOAC,0.0,106.74755607760778
ACCOACL,0.0,106.7475560776078
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.5657931251060062,0.5657931251060078
ACGApts,0.0,6.414529939666191e-12
ACGK,0.0,25.762488734545453
ACGS,0.0,2.1373042519604883e-11
ACHBPL,0.0,1000.0
ACKr,-1000.0,-992.0480898675637
ACLDC,0.0,1.1960995560604432e-11
ACLS_a,0.0,1.8918693894814385e-11
ACLS_b,-1000.0,0.0
ACNAMabc,0.0,20.747627631951723
ACNML,0.0,20.74762763195189
ACOAAGPAT140,0.0,9.563148556892745e-12
ACOAAGPAT160,0.0,1.7517252574373323e-11
ACOAAGPAT180,0.0,4.447814836570555
ACOAAGPATAI15,0.0,1.4780994289910964e-12
ACOAAGPATAI17,4.44781483656608,4.447814836566095
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.44781483656608,4.447814836566085
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,0.0,1.3306911922894185e-12
ACODAr,0.0,1.4711909856989953e-11
ACONTa,0.0,1.40414848844392e-11
ACONTb,0.0,1.4686540635589045e-11
ACOTA,-25.762488734539975,0.0
ACPS1,0.3233625714084069,0.32336257140840785
ACS,0.0,1.2082313433746216e-11
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-1000.0000000000175,1000.0
ACYP,0.0,393.0097418548842
ACYP_2,0.0,1.8678493911414715e-11
ACtr,-1000.0,-999.999999999985
ADCL,0.9700877142252203,0.9700877142252233
ADCS,0.9700877142252202,0.9700877142252238
ADK1,-1000.0,1000.0
ADK10,-1000.0,997.757713181566
ADK11,-1000.0,1000.0
ADK2,-205.4985066633084,-16.013835594706514
ADK3,-1000.0,984.5658987231137
ADK5,-1000.0,952.4130178701628
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,998.8956695647993
ADMDC,0.0,4.847082462834255e-12
ADNCNT3tc,-1000.0,999.3532748571898
ADNCYC,0.0,7.92080609674103e-12
ADNUC,0.0,1.5646941521739112e-11
ADOCBIK,0.3233625714084069,0.32336257140840785
ADOCBLS,0.3233625714084069,0.323362571408408
ADOCBLabc,16.337198166120636,205.8218692347174
ADPRDP,0.0,0.0
ADPT,0.0,6.362089641377419e-12
ADSL1r,0.0,4.836993632013026e-12
ADSL2r,0.0,4.6679211838349106e-12
ADSS,0.0,4.130755643594896e-12
AGDC,0.0,6.694824301263546e-12
AGMT,0.0,1.4830043071906434e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,3.863397375989474e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,3.5918505946990613e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.447814836566092
AGPAT181,0.0,0.0
AGPR,-25.762488734534745,0.0
AHCYSNS_r,0.6467251428168136,0.6467251428264003
AHMMPS,0.0,3.664563633433394e-12
AICART,0.0,6.730120583709623e-12
AIHDUDPMG,0.0,0.0
AIHDUPDG,0.0,0.0
AIHPDCOATA,8.895629673132158,8.895629673132188
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,1.8573941089033382e-11
AKGS,0.0,568.637713221698
AKGt2r,-1000.0,1000.0
AKP1,0.0,0.9700877142252233
ALAALA,2.611858961245168,2.6118589612451757
ALAASP1c,0.0,1.4855628404226916e-11
ALAASPabc,0.0,1.6036953630729746e-11
ALACI,-999.9999999999997,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,1.643423486434463e-11
ALAGLNabc,0.0,2.2179090294505317e-11
ALAGLU1c,0.0,2.141804307851735e-11
ALAGLUabc,0.0,2.041574863624262e-11
ALAGLY1c,0.0,2.0415748636242612e-11
ALAGLYabc,0.0,2.0705384864135743e-11
ALAHIS1c,0.0,2.070538486413574e-11
ALAHISabc,0.0,2.070538486413574e-11
ALALEU1c,0.0,2.0705384864135743e-11
ALALEUabc,0.0,1.953662456693216e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.1885977083686688,0.18859770836866954
ALAR,-1000.0,974.7417960571347
ALATA_D,-997.3881410387547,1000.0
ALATHR1c,22.041704488012204,22.041704488046037
ALATHRabc,22.041704488010648,22.041704488047642
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-1.3674931959288358e-11,2.1553971184614477e-11
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,1.804397298833707e-11
ALDD8x,0.0,2.013495945693168e-11
ALKP,0.0,1.7074750814157236e-11
ALKP_R788e,0.0,1.7856039101004764e-11
ALPHNH,0.0,0.0
AMANAPEr,0.0,6.250825573593786e-12
AMANK,0.0,6.872320456537775e-12
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.6766374285914
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.3233625714082109
AMPMS2,0.0,2.47106593808975e-12
AMPTASECG,0.0,7.951910132433776
AMPTASEGC,0.0,7.951910132434248
ANPRT,4.929229806432947,4.929229806432962
ANS,0.0,4.92922980643296
ANS2,0.0,4.92922980643296
AOXSr,0.0,0.0
APRAUR,0.0,3.383488319823921e-12
ARBTpts,0.0,1.5211480266318223e-11
ARBabc,0.0,1.6016857281282433e-11
ARGDA,0.0,503.01678012083113
ARGDC,0.0,1.5666286365934842e-11
ARGN,0.0,974.2375112654832
ARGSL,0.0,8.443053473718816e-12
ARGSS,0.0,8.443053473718815e-12
ARGabc,0.0,25.76248873454103
ARSENBabc,0.0,1.747316366402719e-11
ARSENBt2,-1.4071755789531366e-11,-1.1363747131837174e-13
ASAD,-32.41990429722224,-32.41990429721017
ASNS1,0.0,1.8229055206153234e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,1.7273219827389252e-11
ASPCT,0.0,8.677582736877666e-12
ASPKi,32.41990429721017,32.41990429722579
ASPTA,-1000.0,946.6077381326621
ASPt2r,-946.6077381326602,1000.0
ATPPRT,0.0,3.7755064422511605e-12
ATPS4,999.9999999999842,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.32336257140840696,0.3233625714084079
BTDD_RR,0.0,0.0
BTNCLi,0.0,106.74755607760476
BTNabc,0.0,1.3364128025608117e-11
BTS4,0.0,0.0
BZAMAH,-1.8251948671212652e-12,999.9999999999999
BZAMt2r,0.0,1000.0
BZte,0.0,1000.0
CAP_NR,-1000.0,1000.0
CAt4i,0.3233625714084069,0.32336257140840785
CBIAT,0.32336257140840685,0.3233625714084075
CBL1abc,0.0,8.775922829543303e-12
CBLAT,-205.82186923471906,-16.33719816610855
CBLTDe,0.0,1.4152515434313053e-11
CBMKr,-503.0167801208326,8.143474740963097e-12
CBPS,0.0,1.61043427369081e-11
CBl1te,16.337198166110312,205.82186923471863
CCOuq,0.0,1000.0
CD2abc1,0.0,1.5613916484595384e-11
CDPGLYCGPT,0.5657931251060062,0.5657931251060082
CDPMEK,0.0,0.0
CGLYabc,0.3233625714004104,8.27527270383417
CHCOAL,0.0,0.0
CHLabc,0.0,1.438291802251667e-11
CHLt2r,-1.7368264374167373e-11,1000.0000000000005
CHOLD,0.0,1000.0
CHOLabc,0.0,1.5245974392890665e-11
CHORM,0.0,4.9820984073663154e-12
CHORS,6.222680092066575,6.222680092071229
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,1.1119537091415197,1.111953709141523
CLPNSAI15,0.0,0.0
CLPNSAI17,1.1119537091415197,1.1119537091415241
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,1.1119537091415197,1.1119537091415241
CO2t,-1000.0,-999.9999999999808
COBALTt5,-0.3233625714084079,-0.32336257140840685
CPPPGO,0.0,2.501645473694464e-12
CPPPGO2,0.0,3.721822440205792e-12
CRNabc,0.0,1.5279354258109532e-11
CTBTabc,0.0,1.741297516322487e-11
CTPS1,0.0,1.2352648721465785e-11
CTPS2,0.0,1.4984451756145492e-11
CYOmq,0.0,1000.0
CYSDS,0.0,1.5299267764970842e-11
CYSS,0.0,7.951910132434285
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,999.3532748571988
CYSTS,0.6467251427987474,1000.0
CYSabc,0.0,7.95191013243748
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,991.2171530096272
CYTDK1,0.0,12.129464244049368
CYTDK2,0.0,12.12946424404974
CYTDK3,0.0,12.129464244059596
CYTDK4,0.0,12.129464244052691
CYTDt2,0.0,1000.0
CYTDt4,0.0,1000.0
CYTK1,47.586982129838574,51.58032452634504
CYTK2,-2.2422868184498257,1.1043304352152168
CZP_NR,-1000.0,1000.0
Cuabc,0.32336257140840685,0.3233625714145828
Cut1,0.0,1.1776128518538962e-11
DACTt3,0.0,1000.0000000000001
DADNK,0.0,2.3558817942020607e-11
DADNt2r,-1000.0,988.235878548191
DAGK120,0.0,4.372159580253844e-27
DAGK140,-8.161527512731158e-12,0.0
DAGK141,0.0,0.0
DAGK160,-1.5453205558913333e-11,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,0.0
DAPDC,29.80804533596501,29.808045335975432
DAPE,32.41990429721018,32.419904297221315
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,4.447814836566079,4.447814836566098
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,4.447814836566079,4.447814836566093
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,4.447814836566079,4.44781483656609
DB4PS,0.0,7.013689329635001e-12
DCMPDA,-1.1043304352345775,2.2422868184496108
DCYTD,0.0,1000.0
DCYTt2r,-1.7367311971005232e-11,999.9999999999999
DDPA,6.222680092066574,6.222680092071368
DFDCYTDD,0.0,1.483253666856082e-11
DFDCYTDabc,0.0,1.3201494886448302e-11
DFDURIte,0.0,1.3201494886448302e-11
DGK1,1.1043304351978287,1.1043304352152143
DGSNt2,16.215069140684815,16.215069140700574
DHAD1,0.0,999.9999999999983
DHAD2,0.0,1000.0000000000001
DHAPT,0.0,1.5131500868954016e-11
DHFOR2,0.0,0.0
DHFR,0.970087714225221,3.2123745326752844
DHFS,0.9700877142252204,0.9700877142252234
DHLCOALT,0.0,0.0
DHNAOT,0.0,3.665445679809244e-13
DHNAOT4,0.0,5.762422281391098e-13
DHNAOT7,0.0,0.0
