,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,27.069797070868347,27.069797070877513
2AHBUTI,-1000.0000000000006,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.914569402343454,6.914569402344293
2MEBCOADH,-6.914569402344805,-6.914569402343456
2OBUTt2r,-1.3205655304591808,1000.0
2S6HCC,-999.9999999999999,2.8352724330637424e-12
3CARLPDH,-5.477511076580331e-12,0.0
3HAD100,6.91456940234351,6.914569402348369
3HAD10M12,6.914569402343461,6.914569402346273
3HAD11M12,6.914569402343461,6.914569402346305
3HAD120,6.914569402343512,6.914569402348036
3HAD12M14,6.914569402343462,6.914569402346275
3HAD13M14,6.914569402343462,6.914569402346306
3HAD140,6.914569402343512,6.9145694023463
3HAD14M16,6.9145694023434645,6.914569402343477
3HAD15M16,6.9145694023434645,6.914569402343452
3HAD160,6.914569402343513,6.914569402343497
3HAD180,6.914569402343513,6.914569402343499
3HAD40,6.9145694023435045,6.914569402343502
3HAD4M6,6.914569402343455,6.914569402343467
3HAD5M6,6.914569402343455,6.914569402343455
3HAD60,6.914569402343506,6.914569402343494
3HAD6M8,6.9145694023434565,6.9145694023434645
3HAD7M8,6.9145694023434565,6.914569402343458
3HAD80,6.914569402343509,6.914569402343495
3HAD8M10,6.914569402343458,6.914569402343464
3HAD9M10,6.914569402343458,6.914569402343459
3MEBCOADH,-6.914569402346742,-6.914569402343456
3MOBDC2,0.0,0.0
3MOBS,-267.72213656766104,0.0
3MOPDC2,13.829138804686908,13.82913880468693
3OAR100,6.9145694023435,6.914569402343502
3OAR10M11,0.0,0.0
3OAR10M12,6.914569402343461,6.91456940234347
3OAR11M12,6.914569402343461,6.914569402343461
3OAR120,6.9145694023435,6.914569402343489
3OAR12M13,0.0,0.0
3OAR12M14,6.914569402343461,6.91456940234347
3OAR13M14,6.914569402343461,6.914569402343463
3OAR140,6.914569402343502,6.914569402343489
3OAR14M15,0.0,0.0
3OAR14M16,6.914569402343464,6.914569402343474
3OAR15M16,6.914569402343464,6.914569402343465
3OAR160,6.9145694023435045,6.914569402343491
3OAR180,6.9145694023435045,6.914569402343504
3OAR40,6.914569402343497,6.914569402343484
3OAR4M5,0.0,0.0
3OAR4M6,6.914569402343455,6.9145694023434565
3OAR5M6,6.914569402343455,6.914569402343455
3OAR60,6.914569402343499,6.914569402343484
3OAR6M7,0.0,0.0
3OAR6M8,6.9145694023434565,6.914569402343467
3OAR7M8,6.9145694023434565,6.9145694023434565
3OAR80,6.9145694023435,6.914569402343487
3OAR8M10,6.914569402343458,6.914569402343469
3OAR8M9,0.0,0.0
3OAR9M10,6.914569402343458,6.914569402343459
3OAS100,6.914569402343503,6.914569402343487
3OAS10M11,0.0,0.0
3OAS10M12,6.914569402343461,6.914569402343471
3OAS11M12,6.914569402343461,6.914569402343464
3OAS120,6.914569402343503,6.914569402343472
3OAS12M13,0.0,0.0
3OAS12M14,6.914569402343464,6.914569402343471
3OAS13M14,6.914569402343464,6.914569402343469
3OAS140,6.914569402343501,6.91456940234349
3OAS160,6.914569402343503,6.914569402343486
3OAS180,6.914569402343505,6.914569402343503
3OAS2M3,0.0,0.0
3OAS3M4,6.914569402343455,6.914569402343458
3OAS4M3O6,6.914569402343455,6.914569402343462
3OAS4M5,0.0,0.0
3OAS4M6,6.9145694023434565,6.9145694023434645
3OAS5M6,6.9145694023434565,6.914569402343461
3OAS60,6.914569402343498,6.914569402343464
3OAS6M7,0.0,0.0
3OAS6M8,6.914569402343458,6.914569402343466
3OAS7M8,6.914569402343458,6.914569402343461
3OAS80,6.914569402343501,6.914569402343477
3OAS8M10,6.914569402343459,6.914569402343469
3OAS8M9,0.0,0.0
3OAS9M10,6.914569402343459,6.914569402343466
4HPL,-0.6602827652189234,-0.6602827652189223
4HTHDR,27.06979707087511,27.069797070883368
4HTHDS,27.069797070875104,27.069797070880565
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.8327549388086202e-11
5ASAt2r,-1000.0,1000.0
5DOAN,0.0,8.577617884872657e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,2.4046556228455627e-12
5MTHCYST,-6.325620686583075e-12,0.0
6P3HXI,-1000.0000000000003,1000.0000000000009
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0,1000.0
AB6PGH,0.0,668.2097697192453
AB6PGH2,0.0,668.2097697192789
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0000000000022,-1.7063093433667123e-14
ABZ_ALA_Bt2r,-1000.0000000000011,1000.0000000000097
AC5ASAe,0.0,1000.0
ACACT1r,6.934453479722186,6.934453479723244
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.6602827652189222,0.6602827652189229
ACCOAC,0.0,138.2913880468695
ACCOACL,0.0,138.29138804686934
ACCOAL,0.0,1000.0
ACEDIPIT,-5.97470411917012e-12,0.0
ACGAMT,0.4505976430829485,0.45059764308294875
ACGApts,0.0,2.954845508338188e-12
ACGK,16.08356572582587,16.08356572582587
ACGS,0.0,2.8415879963201742e-12
ACHBPL,0.0,1000.0
ACKr,-999.9999999999999,-999.9999999999959
ACLDC,0.0,1.9908738326165096e-12
ACLS_a,0.0,4.083688877947928e-12
ACLS_b,-1000.0,0.0
ACLYSHYc,0.0,0.0
ACNAMabc,0.0,2.079259390871696e-12
ACNML,0.0,4.63053897513103e-12
ACOAAGPAT140,0.0,3.5710592854082265e-13
ACOAAGPAT160,0.0,2.1751905779055346e-13
ACOAAGPAT180,0.0,3.457284701171735
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.4572847011717336,3.4572847011717354
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.457284701171733,3.4572847011717363
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,6.914569402343482,6.914569402343503
ACODAr,5.4277124726799486e-15,5.3985407414450176e-12
ACONTa,0.0,267.72213656767656
ACONTb,0.0,267.72213656767525
ACOTA,-16.083565725835154,-16.08356572582587
ACPS1,0.6602827652189223,0.6602827652189236
ACS,0.0,4.5769224155557405e-12
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999999,1000.0
ACYP,0.0,998.0191517043527
ACYP_2,0.0,9.311306122452587e-12
ACtr,-1000.0,-999.9999999999877
ADCL,1.980848295656767,1.9808482956577063
ADCS,1.9808482956567672,1.980848295657272
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.4956793153337
ADK11,-1000.0,1000.0
ADK2,-999.3397172347817,-8.987079053435815
ADK3,-1000.0,993.8325429956278
ADK5,-1000.0,927.8962687941282
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.2690709623866
ADK9,-1000.0,1000.0
ADMDC,0.0,3.984672888230589e-12
ADNCNT3tc,-1000.0,998.6794344695585
ADNCYC,0.0,0.0
ADNUC,0.0,1.4625474664755392e-11
ADOCBIK,0.6602827652189224,0.660282765218923
ADOCBLS,0.6602827652189224,0.6602827652189228
ADOCBLabc,9.647361818663674,1000.0
ADPRDP,0.0,0.0
ADPT,0.0,8.635419072161911e-13
ADSL1r,0.0,3.720968819301712e-13
ADSL2r,0.0,7.284507379576866e-13
ADSS,0.0,-1.0797384419046391e-12
AGDC,0.0,1.5403670565366659e-12
AGMT,0.0,-8.388821354309303e-13
AGPAT120,0.0,-2.686911082460722e-14
AGPAT140,0.0,-1.691300658753005e-13
AGPAT141,0.0,0.0
AGPAT160,0.0,-9.875259887585658e-14
AGPAT161,0.0,0.0
AGPAT180,0.0,3.457284701171734
AGPAT181,0.0,0.0
AGPR,-16.08356572582905,-16.083565725825864
AHCYSNS_r,1.3205655304378239,1.3205655304373256
AICART,0.0,1.168030553578994e-12
AIHDUDPMG,0.6007968574439314,0.6007968574439315
AIHDUPDG,0.6007968574439313,0.6007968574439323
AIHPDCOATA,6.914569402343465,6.914569402343476
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,9.21885793360516e-12
AKGS,0.0,-4.456857877979846e-13
AKGt2r,-1000.0,1000.0
AKP1,0.0,-1.2250649362150424e-12
ALAALA,0.15019921436098288,0.1501992143609828
ALAASP1c,0.0,1.4543431027838018e-11
ALAASPabc,0.0,-1.0063073287274179e-12
ALACI,-1000.0000000000001,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,24.346460194483743
ALAGLNabc,0.0,24.34646019448796
ALAGLU1c,0.0,-8.424799094792201e-13
ALAGLUabc,0.0,3.2933694394715497e-12
ALAGLY1c,0.0,3.73489340836913e-12
ALAGLYabc,0.0,-1.6981436172275173e-12
ALAHIS1c,0.0,-1.8396555853298094e-12
ALAHISabc,0.0,1.1920966242546998e-12
ALALEU1c,0.0,1.2914380096092597e-12
ALALEUabc,0.0,8.131990950600054e-14
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.15019921436098285,0.15019921436098285
ALAR,-1000.0,1000.0
ALATA_D,-999.8498007856389,1000.0
ALATHR1c,15.538021821159912,15.538021821178997
ALATHRabc,15.538021821159978,15.538021821171627
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-803.1664097029686,803.1664097030023
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,6.624048594160726e-12
ALDD8x,0.0,803.1664097030338
ALKP,0.0,1.0267723896778075e-12
ALKP_R788e,0.0,267.72213656767633
ALPHNH,0.0,1.5960471894732822e-12
AMANAPEr,0.0,4.145159774926548e-12
AMANK,0.0,3.8664266843545934e-12
AMAOTr,0.0,2.3576630718778177e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,1.0808975666700656e-11
AMID5,0.0,0.0
AMMQLT8,0.0,999.3397172347827
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.6602827652185863
AMPTASECG,0.0,2.5061361052988417e-12
AMPTASEGC,0.0,6.740351354041781e-12
ANPRT,4.532006193353703,4.5320061933537055
ANS,0.0,4.12183069809991e-12
ANS2,4.532006193346088,4.532006193353705
AOXSr,0.0,8.24366139619981e-13
APAT,0.0,4.695972660075715e-12
APRAUR,0.0,-3.566725224205838e-14
ARBTpts,0.0,668.2097697192506
ARBabc,0.0,8.631186488408368e-12
ARGDA,0.0,6.9299730353999055e-12
ARGDC,0.0,3.3625888594336716e-12
ARGN,0.0,1000.0
ARGSL,30.16130123694137,297.8834378046028
ARGSS,30.161301236941203,297.8834378046039
ARSENBabc,0.0,4.925551716384503e-12
ARSENBt2,-4.45789434103701e-12,0.0
ASAD,-27.069797070877684,-27.0697970708751
ASNS1,0.0,5.174033330820512e-12
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,5.406645604388069e-12
ASPCT,0.0,2.0581810566481328e-12
ASPKi,27.069797070875115,27.069797070878224
ASPTA,-1000.0,930.433455445478
ASPt2r,-930.4334554454933,1000.0
ATPPRT,0.0,2.1570456488888763e-13
ATPS4,999.9999999999939,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.6602827652189225,0.6602827652189233
BTDD_RR,0.0,0.0
BTNCLi,0.0,138.29138804686943
BTNabc,0.0,1.2404499955795934e-11
BTS4,0.0,2.6713582745647017e-12
BZAMAH,0.0,1000.0
BZAMt2r,0.0,1000.0000000000001
BZD_AR_NADPi,-1000.0,1000.0
BZDt2r,-999.9999999999999,999.9999999999999
BZte,0.0,1000.0
CAt4i,0.6602827652189223,0.6602827652189229
CBIAT,0.6602827652189223,0.6602827652189225
CBL1abc,0.0,2.4704978947602022e-12
CBLAT,-1000.0,-9.647361818645859
CBLTDe,0.0,1.3691264016179735e-11
CBMKr,30.16130123694068,297.88343780460707
CBPS,0.0,1.0445028693786631e-11
CBl1te,9.64736181866125,1000.000000000006
CCOuq,0.0,1000.0
CD2abc1,0.0,1.2969187452045337e-11
CDPGLYCGPT,0.45059764308294853,0.4505976430829493
CDPMEK,0.0,0.0
CGLYabc,0.6602827652171505,0.6602827652082606
CHCOAL,0.0,3.621167354318969e-12
CHLabc,0.0,1.7795264817129036e-11
CHLt2r,999.999999999997,1000.0000000000001
CHOLD,999.9999999999812,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,1.0532122603977704e-12
CHORS,7.173137254229394,7.173137254232583
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.7141219609319506,0.7141219609319515
CLPNSAI15,0.0,0.0
CLPNSAI17,0.7141219609319506,0.714121960931951
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.7141219609319506,0.714121960931951
CO2t,-1000.0,-732.2778634323536
COBALTt5,-0.6602827652189223,-0.6602827652189222
CPPPGO,0.0,2.1375632001874467e-12
CPPPGO2,0.0,1.3148963617145043e-12
CRNabc,0.0,6.232847764417446e-12
CTBTabc,0.0,8.403510168830547e-12
CTPS1,0.0,2.1725288057019165
CTPS2,0.0,5.420849069452177e-12
CYOmq,0.0,1000.0
CYSDS,0.0,995.2635811667681
CYSS,0.0,2.1592352517134075e-11
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,1000.0
CYSTS,0.0,1000.0
CYSt2r,4.736418833233483,1000.0
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,1.1245594653889658e-11
CYTDK1,0.0,2.172528805701604
CYTDK2,0.0,2.1725288057036676
CYTDK3,0.0,2.1725288057061984
CYTDK4,0.0,2.1725288057066523
CYTDt2r,-4.726974469967181e-12,2.172528805704579
CYTK1,72.1037312058721,75.5968255420212
CYTK2,0.7309290376218545,0.7309290376287604
Cuabc,0.6602827652189223,0.6602827652178559
Cut1,0.0,3.815773757999757e-12
DACTt3,0.0,1000.0000000000001
DADNK,0.0,1.9038248726301293e-11
DADNt2r,-1000.0,998.6794344695878
DAGK120,0.0,0.0
DAGK140,-7.839477042374984e-13,0.0
DAGK141,0.0,0.0
DAGK160,-8.442688853226564e-13,0.0
DAGK161,0.0,0.0
DAGK180,0.0,8.433229548079159e-12
DAGK181,0.0,0.0
DALAt2r,-1000.000000000001,1000.0
DAPDAi,0.0,7.129623101163508e-12
DAPDC,26.91959785651412,26.919597856524515
DAPE,27.069797070875104,27.069797070885347
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.8564878437278027,2.856487843727811
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.8564878437278027,2.8564878437278054
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.8564878437278027,2.8564878437278054
DB4PS,0.0,8.061624709217492e-12
DBTS,0.0,9.066929641440653e-13
DCMPDA,-803.8973387406132,-0.7309290376228335
DCYTD,0.0,6.07945690032018e-12
DCYTt2r,-803.166409703024,1.2446198975883048e-12
DDPA,7.1731372542293945,7.173137254229633
DFDCYTDD,0.0,1.1559925393620171e-12
DFDCYTDabc,0.0,1.3338620519266292e-12
DFDURIte,0.0,1.3338620519266288e-12
DGK1,-1.746185403332303e-11,0.7309290376288972
DGSNt2,6.238103276769677,6.23810327678462
DHAD1,0.0,1000.0
DHAD2,0.0,1000.0000000000003
