,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,999.9999999999992
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.61038351625864,24.610383516252572
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.286349483740654,6.286349483738625
2MEBCOADH,-6.286349483738272,-6.286349483740642
2OBUTt2r,-1.2005861764399846,1000.0
2S6HCC,-999.9999999999999,1.822272628159821e-12
3CARLPDH,4.77737808182946e-12,0.0
3HAD100,6.286349483740658,6.28634948374378
3HAD10M12,6.286349483740655,6.2863494837416445
3HAD11M12,6.286349483740655,6.286349483742781
3HAD120,6.286349483740658,6.286349483742515
3HAD12M14,6.286349483740655,6.2863494837416445
3HAD13M14,6.286349483740655,6.286349483742781
3HAD140,6.286349483740656,6.286349483741799
3HAD14M16,6.286349483740655,6.286349483740658
3HAD15M16,6.286349483740655,6.286349483740655
3HAD160,6.286349483740656,6.286349483740658
3HAD180,6.286349483740656,6.286349483740646
3HAD40,6.286349483740624,6.2863494837406355
3HAD4M6,6.286349483740655,6.286349483740645
3HAD5M6,6.286349483740655,6.286349483740656
3HAD60,6.286349483740658,6.286349483740656
3HAD6M8,6.286349483740655,6.286349483740656
3HAD7M8,6.286349483740655,6.286349483740653
3HAD80,6.286349483740658,6.286349483740655
3HAD8M10,6.286349483740655,6.286349483740652
3HAD9M10,6.286349483740655,6.286349483740653
3MEBCOADH,-6.286349483738569,-6.286349483740663
3MOBDC2,0.0,0.0
3MOBS,-395.0192525866739,0.0
3MOPDC2,12.572698967481308,12.572698967481514
3OAR100,6.286349483740657,6.286349483740644
3OAR10M11,0.0,0.0
3OAR10M12,6.286349483740653,6.286349483740658
3OAR11M12,6.286349483740653,6.28634948374065
3OAR120,6.286349483740657,6.286349483740655
3OAR12M13,0.0,0.0
3OAR12M14,6.286349483740653,6.286349483740658
3OAR13M14,6.286349483740653,6.28634948374065
3OAR140,6.286349483740655,6.286349483740655
3OAR14M15,0.0,0.0
3OAR14M16,6.286349483740653,6.286349483740658
3OAR15M16,6.286349483740653,6.286349483740645
3OAR160,6.286349483740655,6.286349483740648
3OAR180,6.286349483740655,6.286349483740658
3OAR40,6.286349483740623,6.286349483740623
3OAR4M5,0.0,0.0
3OAR4M6,6.286349483740653,6.286349483740658
3OAR5M6,6.286349483740653,6.28634948374065
3OAR60,6.286349483740623,6.2863494837406675
3OAR6M7,0.0,0.0
3OAR6M8,6.286349483740653,6.286349483740653
3OAR7M8,6.286349483740653,6.28634948374065
3OAR80,6.286349483740657,6.286349483740655
3OAR8M10,6.286349483740653,6.286349483740658
3OAR8M9,0.0,0.0
3OAR9M10,6.286349483740653,6.28634948374065
3OAS100,6.286349483740656,6.286349483740655
3OAS10M11,0.0,0.0
3OAS10M12,6.286349483740655,6.286349483740647
3OAS11M12,6.286349483740655,6.28634948374064
3OAS120,6.286349483740656,6.286349483740641
3OAS12M13,0.0,0.0
