,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.340492245990948,24.34049224598352
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.217409849118849,6.2174098491141025
2MEBCOADH,-6.217409849099703,-6.2174098491188525
2OBUTt2r,-1.1874198749480231,1000.0
2S6HCC,-999.9999999999999,-4.464364777191228e-12
3CARLPDH,4.938893988763512e-12,0.0
3HAD100,6.217409849118854,6.217409849113231
3HAD10M12,6.21740984911885,6.217409849114212
3HAD11M12,6.217409849118849,6.217409849113914
3HAD120,6.2174098491188525,6.217409849112182
3HAD12M14,6.21740984911885,6.217409849113865
3HAD13M14,6.21740984911885,6.217409849113295
3HAD140,6.217409849118852,6.217409849113903
3HAD14M16,6.21740984911885,6.217409849118831
3HAD15M16,6.21740984911885,6.217409849118838
3HAD160,6.217409849118852,6.217409849118839
3HAD180,6.217409849118852,6.2174098491188365
3HAD40,6.217409849118854,6.217409849118838
3HAD4M6,6.21740984911885,6.217409849118832
3HAD5M6,6.217409849118849,6.217409849118819
3HAD60,6.217409849118854,6.217409849118839
3HAD6M8,6.21740984911885,6.217409849118838
3HAD7M8,6.217409849118849,6.217409849118811
3HAD80,6.217409849118854,6.217409849118838
3HAD8M10,6.21740984911885,6.217409849118839
3HAD9M10,6.217409849118849,6.217409849118811
3MEBCOADH,-6.217409849116458,-6.217409849118822
3MOBDC2,0.0,0.0
3MOBS,4.5603144432216955e-11,0.0
3MOPDC2,12.434819698237666,12.434819698237629
3OAR100,6.2174098491188525,6.217409849118835
3OAR10M11,0.0,0.0
3OAR10M12,6.217409849118849,6.217409849118833
3OAR11M12,6.217409849118815,6.21740984911881
3OAR120,6.2174098491188525,6.2174098491188365
3OAR12M13,0.0,0.0
3OAR12M14,6.217409849118849,6.217409849118832
3OAR13M14,6.217409849118815,6.21740984911881
3OAR140,6.217409849118851,6.2174098491188365
3OAR14M15,0.0,0.0
3OAR14M16,6.217409849118849,6.217409849118831
3OAR15M16,6.217409849118849,6.217409849118836
3OAR160,6.217409849118851,6.2174098491188365
3OAR180,6.217409849118851,6.2174098491188365
3OAR40,6.2174098491188525,6.2174098491188365
3OAR4M5,0.0,0.0
3OAR4M6,6.217409849118849,6.217409849118833
3OAR5M6,6.217409849118816,6.217409849118812
3OAR60,6.2174098491188525,6.217409849118836
3OAR6M7,0.0,0.0
3OAR6M8,6.217409849118849,6.217409849118832
3OAR7M8,6.217409849118815,6.217409849118812
3OAR80,6.2174098491188525,6.217409849118836
3OAR8M10,6.217409849118849,6.217409849118832
3OAR8M9,0.0,0.0
3OAR9M10,6.217409849118815,6.217409849118812
3OAS100,6.217409849118854,6.217409849118836
3OAS10M11,0.0,0.0
3OAS10M12,6.217409849118849,6.217409849118833
3OAS11M12,6.217409849118816,6.217409849118812
3OAS120,6.2174098491188525,6.217409849118837
3OAS12M13,0.0,0.0
3OAS12M14,6.217409849118849,6.217409849118833
3OAS13M14,6.217409849118849,6.217409849118836
3OAS140,6.217409849118851,6.217409849118836
3OAS160,6.217409849118851,6.217409849118831
3OAS180,6.217409849118851,6.217409849118836
3OAS2M3,0.0,0.0
3OAS3M4,6.217409849118816,6.217409849118798
3OAS4M3O6,6.217409849118849,6.217409849118836
3OAS4M5,0.0,0.0
3OAS4M6,6.217409849118849,6.21740984911884
3OAS5M6,6.217409849118815,6.217409849118817
3OAS60,6.217409849118854,6.217409849118842
3OAS6M7,0.0,0.0
3OAS6M8,6.217409849118849,6.217409849118837
3OAS7M8,6.217409849118816,6.21740984911883
3OAS80,6.217409849118854,6.217409849118837
3OAS8M10,6.217409849118849,6.21740984911884
3OAS8M9,0.0,0.0
3OAS9M10,6.217409849118816,6.217409849118814
4HPL,-0.5937099374957805,-0.5937099374957806
4HTHDR,24.340492245990966,24.34049224598211
4HTHDS,24.34049224599096,24.340492245979974
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.134084609197504e-11
5DOAN,0.0,-1.428783222781235e-11
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,-1.2415227125884142e-11
5MTHCYST,1.0726522600154562e-11,0.0
6P3HXI,-999.9999999999983,999.4062900624465
6PGALSZ,-1000.0,999.9999999999881
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-999.9999999999999,999.4062900624419
AB6PGH,0.0,-2.2149219266325275e-11
AB6PGH2,0.0,-2.1408669746431303e-11
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,6.235289119879039,6.23528911987341
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,460.8421205929494
ACALDt,-999.9999999999994,1000.0
ACBIPGT,0.5937099374957776,0.5937099374957763
ACCOAC,0.0,124.34819698237666
ACCOACL,0.0,124.34819698237666
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.40516625997624245,0.4051662599762413
ACGApts,0.0,-1.2128613069384199e-11
ACGK,14.46194464673521,14.461944646713286
ACGS,0.0,-2.4072761964145076e-11
ACHBPL,0.0,1000.0
ACKr,-999.9999999999999,-1000.0000000000301
ACLDC,0.0,-2.270452925310896e-11
ACLS_a,0.0,-2.163107158576542e-11
ACLS_b,-1000.0,2.5951264355212615e-13
ACNAMabc,0.0,-1.7186212599400687e-11
ACNML,0.0,-1.8894342723702558e-11
ACOAAGPAT140,0.0,-2.5371218708260885e-12
ACOAAGPAT160,0.0,-1.7892620453414569e-12
ACOAAGPAT180,0.0,3.1087049245594156
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1087049245594254,3.1087049245594174
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1087049245594254,3.1087049245594156
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,6.217409849118854,6.2174098491188285
ACODAr,0.0,-2.080925201224731e-11
ACONTa,0.0,-5.4931929495380736e-11
ACONTb,0.0,-4.696082255490982e-11
ACOTA,-14.461944646718605,-14.461944646735208
ACPS1,0.5937099374957778,0.5937099374957762
ACS,0.0,-1.9190164802110708e-11
ACTD,0.0,1000.0
ACTNDH,-777.312008196734,1000.0
ACTNdiff,-777.3120081967592,1000.0
ACYP,0.0,-1.4535429761274765e-11
ACYP_2,0.0,-2.5285133397098208e-11
ACtr,-1000.0,-1000.0000000000289
ADCL,1.781129812487333,1.7811298124859567
ADCS,1.781129812487333,1.7811298124845487
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6634291695151
ADK11,-1000.0,1000.0
ADK2,-471.20223763704337,-471.20223763723106
ADK3,-1000.0,994.4543751473514
ADK5,-1000.0,933.2126234214747
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.326697022747
ADK9,-1000.0,999.3266970227642
ADMDC,0.0,-1.0460790971267422e-11
ADNCNT3tc,-951.1141628139966,540.6271395530862
ADNCYC,0.0,-1.8232144010600612e-11
ADNUC,0.0,-2.4029069163320924e-11
ADOCBIK,0.5937099374957777,0.5937099374957765
ADOCBLS,0.5937099374957777,0.593709937495775
ADOCBLabc,471.7959475747339,471.79594757454703
ADPRDP,0.0,0.0
ADPT,0.0,-9.154272434476602e-12
ADSL1r,0.0,-1.2566607410371463e-11
ADSL2r,0.0,-1.7259542814180132e-11
ADSS,0.0,-1.6690093467063508e-11
AGDC,0.0,-1.97251917876345e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,-1.900499668957435e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.322153812265593e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,3.1087049245594205
AGPAT181,0.0,0.0
AGPR,-14.461944646703339,-14.461944646735187
AHCYSNS_r,1.1874198749923999,1.1874198749758338
AICART,0.0,4.9519149151290955
AIHDUDPMG,0.5402216799683235,0.5402216799683218
AIHDUPDG,0.5402216799683235,0.5402216799683214
AIHPDCOATA,6.21740984911885,6.21740984911883
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,-2.629026035475885e-11
AKGS,0.0,-3.333827519822827e-11
AKGt2r,-241.83036035327984,1000.0
AKP1,0.0,-2.420966276468274e-11
ALAALA,0.1350554199920808,0.1350554199920803
ALAASP1c,0.0,-2.7312143266074616e-11
ALAASPabc,0.0,-2.2030472801511403e-11
ALACI,-999.9999999999999,1000.0000000000001
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,-6.191673504767054e-11
ALAGLNabc,0.0,-5.5323108611467755e-11
ALAGLU1c,0.0,-2.7603196596227647e-11
ALAGLUabc,0.0,-2.9411432935907634e-11
ALAGLY1c,0.0,-2.906541607783813e-11
ALAGLYabc,0.0,-2.6627323697286637e-11
ALAHIS1c,0.0,-2.662732369728663e-11
ALAHISabc,0.0,-2.5241836935801804e-11
ALALEU1c,0.0,-2.52418369358018e-11
ALALEUabc,0.0,-2.7513608595416317e-11
ALAPAT4te,-1000.0,999.9999999999998
ALAPGPL,0.13505541999208087,0.1350554199920807
ALAR,-1000.0,993.8289147356599
ALATA_D,-789.3357473439642,1000.0
ALATHR1c,13.971405055838035,13.971405055805477
ALATHRabc,13.97140505583775,13.971405055805107
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,1.3698358512301682e-10,-3.988692931549751e-11
ALCD2x,-1000.0,241.83036035339444
ALDD2x,0.0,-1.652425281071705e-11
ALDD8x,0.0,-1.444369948847937e-10
ALKP,0.0,-2.260075279672134e-11
ALKP_R788e,292.1247104846761,292.124710484591
ALPHNH,0.0,-3.2014236560210913e-12
AMANAPEr,7.750309014792694e-27,-4.97718458154128e-12
AMANK,0.0,-1.1145148370725232e-11
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.4062900624987
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.5937099374964419
AMPTASECG,0.0,-2.0344759779831122e-11
AMPTASEGC,0.0,-2.268020388847566e-11
ANPRT,4.075067918658122,4.075067918658114
ANS,0.0,-7.408651107038802e-11
ANS2,4.075067918694456,4.0750679186581165
AOXSr,0.0,0.0
APRAUR,0.0,-3.1751361887310165e-11
ARBTpts,0.0,-2.1171969573940104e-11
ARBabc,0.0,-2.3604038609352304e-11
ARGDA,0.0,-1.8629848774965703e-11
ARGN,0.0,999.9999999999869
ARGSL,290.18905322333734,295.1409681384093
ARGSS,290.18905322333,295.1409681384027
ARSENBabc,0.0,-2.8715128324547985e-11
ARSENBt2,2.6265107216644286e-11,0.0
ASAD,-24.340492245976883,-24.340492245990966
ASNS1,0.0,-4.359812411675684e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,-1.8908694404525487e-11
ASPCT,0.0,-1.930156402857608e-11
ASPKi,24.34049224599096,24.34049224598562
ASPTA,-1000.0,674.3787262501902
ASPabc,0.0,-1.7363402064611502e-11
ASPt2r,-674.3787262501947,1000.0
ATPPRT,2.1810506995209293e-14,4.951914915134677
ATPS4,1000.000000000041,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,2.7430420376045056e-11,1000.0
BETALDHy,0.0,1000.0
BGLA1,0.0,0.0
BPNT,0.5937099374957777,0.5937099374957759
BTDD_RR,0.0,0.0
BTNCLi,0.0,124.34819698237656
BTNabc,0.0,-2.0437658226314374e-11
BTS4,0.0,0.0
BZAMAH,0.0,1000.0000000000001
BZAMt2r,0.0,1000.0000000000001
BZte,0.0,1000.0
CAt4i,0.5937099374957778,0.5937099374957765
CBIAT,0.5937099374957777,0.5937099374957767
CBL1abc,0.0,-1.5421142116219022e-11
CBLAT,-471.79594757466583,-471.7959475747273
CBLTDe,0.0,-2.2686670764655786e-11
CBMKr,290.18905322332773,295.14096813840865
CBPS,0.0,-8.477124736986102e-12
CBl1te,471.7959475747274,471.7959475746099
CCOuq,0.0,1000.0
CD2abc1,0.0,-4.498872479264879e-11
CDPGLYCGPT,0.4051662599762426,0.40516625997624073
CDPMEK,0.0,0.0
CGLYabc,0.593709937506613,0.5937099374559827
CHCOAL,0.0,-3.3015335878483533e-12
CHLabc,0.0,-3.424931176591465e-11
CHLt2r,1000.0000000000366,1000.0
CHOLD,1000.000000000037,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,-5.4630620517137025e-12
CHORS,6.449907668641293,6.449907668630655
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6421208111477755,0.6421208111477728
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6421208111477755,0.6421208111477748
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6421208111477755,0.6421208111477748
CO2t,-707.8752895153441,-707.8752895154015
COBALTt5,-0.5937099374957758,-0.5937099374957777
CPPPGO,0.0,-3.658136449054573e-12
CPPPGO2,0.0,-4.633464957311e-12
CRNabc,0.0,0.0
CTBTabc,0.0,0.0
CTPS1,0.0,-1.7626930870598047e-10
CTPS2,0.0,-6.149861510487018e-11
CYOmq,0.0,1000.0
CYSDS,0.0,995.7411292894558
CYSS,0.0,-2.390050222496298e-11
CYSS3r,0.0,-1.8192919604076326e-11
CYSTGL,0.0,1000.0
CYSTL,0.0,975.4157335060495
CYSTS,0.0,976.6031533809279
CYSt2r,4.258870710535376,1000.0
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,-2.6134770730788854e-11
CYTDK1,0.0,1.953484187928989
CYTDK2,0.0,1.9534841879288345
CYTDK3,0.0,1.9534841879288645
CYTDK4,0.0,1.953484187943837
CYTDt2,0.0,1.9534841879281915
CYTDt4,0.0,1.9534841879281915
CYTK1,66.78737657850365,67.97479645335112
CYTK2,0.6733029772362087,0.673302977216594
Cuabc,0.5937099374957776,0.5937099374880668
Cut1,0.0,-1.0296731832709028e-11
DACTt3,0.0,1000.0
DADNK,0.0,-2.0126980769213098e-11
DADNt2r,-1000.0,486.78938745200213
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,-2.3943715319217124e-11
DAGK160,0.0,0.0
DAGK161,0.0,-2.2600752796721353e-11
DAGK180,0.0,-1.4374425150405152e-11
DAGK181,0.0,0.0
DALAt2r,-999.9999999999999,999.9999999999999
DAPDAi,0.0,0.0
DAPDC,24.205436825998877,24.205436825990407
DAPE,24.340492245990955,24.340492245987182
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.5684832445911017,2.5684832445910994
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.5684832445911017,2.568483244591095
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.568483244591101,2.568483244591096
DB4PS,0.0,-5.418633671301396e-11
DCMPDA,-0.6733029771074905,-0.6733029772503609
DCYTD,0.0,-2.4232398276571578e-11
DCYTt2r,1.2297579878855558e-10,-2.6215796869217434e-11
DDPA,6.449907668641109,6.44990766863522
DFDCYTDD,0.0,-1.4129896286966521e-11
DFDCYTDabc,0.0,-7.529581844254862e-12
DFDURIte,0.0,-7.529581844254862e-12
DGK1,0.6733029772318578,0.6733029772164847
DGSNt2,0.6733029772322345,0.6733029772164838
DHAD1,0.0,1000.0000000000003
DHAD2,0.0,1000.0000000000006
DHAPT,0.0,-2.4724746101599166e-11
DHFOR2,0.0,0.0
DHFR,1.7811298124873332,3.117700642952487
DHFS,1.7811298124873332,1.7811298124873296
DHLCOALT,2.4968301205258993e-12,0.0
