,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.56588789655216,24.56588789655615
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.274983752045097,6.274983752047267
2MEBCOADH,-6.274983752048438,-6.274983752045086
2OBUTt2r,-1.7976232715845637,998.2023767284462
2S6HCC,-999.4007922428111,0.5992077571894313
3CARLPDH,-7.272224089439083e-12,0.0
3HAD100,6.2749837520185885,6.274983752048912
3HAD10M12,6.274983752045096,6.274983752047292
3HAD11M12,6.274983752045033,6.274983752045526
3HAD120,6.274983752045099,6.274983752048483
3HAD12M14,6.274983752045096,6.2749837520475715
3HAD13M14,6.274983752045066,6.274983752047222
3HAD140,6.274983752045097,6.274983752047064
3HAD14M16,6.274983752045096,6.274983752045107
3HAD15M16,6.274983752045068,6.274983752045116
3HAD160,6.274983752045097,6.2749837520451015
3HAD180,6.274983752045097,6.274983752045101
3HAD40,6.274983752045099,6.274983752045094
3HAD4M6,6.274983752045096,6.274983752045096
3HAD5M6,6.274983752045063,6.274983752045096
3HAD60,6.274983752045099,6.274983752045094
3HAD6M8,6.274983752045096,6.274983752045097
3HAD7M8,6.274983752045063,6.274983752045096
3HAD80,6.274983752045099,6.274983752045097
3HAD8M10,6.274983752045096,6.274983752045099
3HAD9M10,6.274983752045063,6.274983752045097
3MEBCOADH,-6.274983752045075,-6.2749837520450855
3MOBDC2,0.0,0.0
3MOBS,-383.904885186309,0.0
3MOPDC2,12.549967504090167,12.54996750409019
3OAR100,6.274983752045099,6.274983752045099
3OAR10M11,0.0,0.0
3OAR10M12,6.274983752045096,6.2749837520451
3OAR11M12,6.274983752045073,6.274983752045099
3OAR120,6.274983752045099,6.2749837520451
3OAR12M13,0.0,0.0
3OAR12M14,6.274983752045096,6.274983752045101
3OAR13M14,6.274983752045073,6.2749837520451
3OAR140,6.274983752045097,6.2749837520451
3OAR14M15,0.0,0.0
3OAR14M16,6.274983752045096,6.274983752045102
3OAR15M16,6.274983752045074,6.2749837520451015
3OAR160,6.274983752045097,6.2749837520451
3OAR180,6.274983752045097,6.274983752045102
3OAR40,6.274983752045099,6.274983752045093
3OAR4M5,0.0,0.0
3OAR4M6,6.274983752045096,6.274983752045095
3OAR5M6,6.274983752045071,6.274983752045094
3OAR60,6.274983752045099,6.274983752045095
3OAR6M7,0.0,0.0
3OAR6M8,6.274983752045096,6.274983752045097
3OAR7M8,6.274983752045071,6.274983752045095
3OAR80,6.274983752045099,6.274983752045097
3OAR8M10,6.274983752045096,6.274983752045099
3OAR8M9,0.0,0.0
3OAR9M10,6.274983752045071,6.274983752045097
3OAS100,6.274983752045101,6.274983752045099
3OAS10M11,0.0,0.0
3OAS10M12,6.274983752045096,6.274983752045101
3OAS11M12,6.274983752045074,6.274983752045101
3OAS120,6.274983752045101,6.274983752045101
3OAS12M13,0.0,0.0
3OAS12M14,6.274983752045096,6.2749837520451015
3OAS13M14,6.274983752045074,6.274983752045113
3OAS140,6.274983752045098,6.274983752045101
3OAS160,6.274983752045098,6.274983752045101
3OAS180,6.274983752045098,6.274983752045101
3OAS2M3,0.0,0.0
3OAS3M4,6.274983752045072,6.274983752045106
3OAS4M3O6,6.274983752045096,6.274983752045096
3OAS4M5,0.0,0.0
3OAS4M6,6.274983752045096,6.274983752045098
3OAS5M6,6.274983752045072,6.274983752045111
3OAS60,6.274983752045101,6.274983752045096
3OAS6M7,0.0,0.0
3OAS6M8,6.274983752045096,6.274983752045099
3OAS7M8,6.274983752045072,6.274983752045106
3OAS80,6.274983752045101,6.274983752045096
3OAS8M10,6.274983752045096,6.274983752045099
3OAS8M9,0.0,0.0
3OAS9M10,6.274983752045074,6.274983752045113
4HPL,-0.5992077571889707,-0.5992077571888775
4HTHDR,24.565887896552155,24.56588789655451
4HTHDS,24.565887896552162,24.56588789655576
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,1.4383514438308879e-11
5DOAN,0.0,5.991045493669078e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,6.185007924120381e-12
5MTHCYST,-5.871473560366857e-12,0.0
6P3HXI,-1000.0,899.6808567074651
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0000000000001,899.6808567074612
AB6PGH,0.0,298.60229120969444
AB6PGH2,0.0,298.6022912096679
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999995,-3.6452176078538344e-13
AC5ASAe,0.0,1000.0
ACACT1r,11.086690644342028,11.08669064434635
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,771.5634698351367
ACALDt,-1000.0,1000.0
ACBIPGT,0.5992077571887442,0.5992077571887455
ACCOAC,0.0,125.49967504090235
ACCOACL,0.0,125.49967504090233
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.4089181443600856,0.40891814436008683
ACGApts,0.0,7.0825558263174145e-12
ACGK,14.59586385383617,14.595863853865417
ACGS,0.0,2.6654095405483217e-11
ACHBPL,2.9866755074536544e-13,1000.0
ACKr,-999.9999999999999,-996.3008994328014
ACLDC,0.0,2.4928831853362726e-11
ACLS_a,0.0,2.4400693986575212e-11
ACLS_b,-1000.0,0.0
ACNAMabc,0.0,1.0241212907479655e-11
ACNML,0.0,2.4671334381489386e-11
ACOAAGPAT140,0.0,1.8975523607116104e-12
ACOAAGPAT160,0.0,1.4892934703110114e-12
ACOAAGPAT180,0.0,3.137491876022554
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1374918760225485,3.1374918760225534
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1374918760225485,3.137491876022552
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,6.2749837520451,6.274983752045105
ACODAr,0.0,9.567148973664617e-12
ACONTa,0.0,383.9048851863154
ACONTb,0.0,383.90488518631656
ACOTA,-14.595863853850181,-14.595863853836168
ACPS1,0.5992077571887444,0.5992077571887456
ACS,0.0,3.6991005671756323
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999999,1000.0
ACYP,0.0,1.6762855113529992e-11
ACYP_2,0.0,2.0797099961164053e-11
ACtr,-1000.0,-999.9999999999875
ADCL,1.7976232715662332,1.7976232715690574
ADCS,1.7976232715662332,1.7976232715684937
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6348263637428
ADK11,-1000.0,1000.0
ADK2,-999.4007922428108,-204.9336830321891
ADK3,-1000.0,994.4030220478002
ADK5,-1000.0,934.5657385946145
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3366806278099
ADK9,-1000.0,1000.0
ADMDC,0.0,5.972813660214219e-12
ADNCNT3tc,-1000.0,769.4110716403075
ADNCYC,0.0,0.0
ADNUC,0.0,2.085633448071832e-11
ADOCBIK,0.5992077571887444,0.5992077571887455
ADOCBLS,0.5992077571887444,0.599207757188745
ADOCBLabc,205.53289078936047,1000.0
ADPRDP,0.0,0.0
ADPT,0.0,1.799366827104769e-11
ADSL1r,0.0,2.0055502748976102e-11
ADSL2r,0.0,8.013987409278108e-12
ADSS,0.0,1.714389761712395e-11
AGDC,0.0,8.01398740927809e-12
AGMT,0.0,7.720238599755343e-12
AGPAT120,0.0,2.832004280913601e-12
AGPAT140,0.0,1.6242318395265944e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,1.2245322260606222e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,3.137491876022555
AGPAT181,0.0,0.0
AGPR,-14.59586385385521,-14.595863853836185
AHCYSNS_r,1.7976232715572533,1.7976232715759315
AICART,0.0,2.1053380012740866e-11
AIHDUDPMG,0.5452241924801147,0.5452241924801154
AIHDUPDG,0.5452241924801146,0.5452241924801156
AIHPDCOATA,6.274983752045097,6.2749837520451095
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,1.5727344368807612e-11
AKGS,0.0,1.773743726630636e-11
AKGt2r,-331.86517609172097,1000.0
AKP1,0.0,2.351445285421011e-11
ALAALA,0.13630604812002858,0.13630604812002883
ALAASP1c,0.0,1.8079241355270973e-11
ALAASPabc,0.0,1.8664967140622573e-11
ALACI,-1000.0,999.9999999999999
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,22.09445494734061
ALAGLNabc,0.0,22.09445494733805
ALAGLU1c,0.0,1.4064207990890003e-11
ALAGLUabc,0.0,4.541471262162208e-12
ALAGLY1c,0.0,4.541471262162207e-12
ALAGLYabc,0.0,2.010075241188774e-11
ALAHIS1c,0.0,2.0100752411887737e-11
ALAHISabc,0.0,1.4402951717142987e-11
ALALEU1c,0.0,1.4273195395366912e-11
ALALEUabc,0.0,1.647905286555998e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.1363060481200286,0.13630604812002878
ALAR,-1000.0,1000.0
ALATA_D,-999.863693951881,1000.0
ALATHR1c,14.100781812043156,14.10078181206523
ALATHRabc,14.100781812042957,14.100781812062683
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-806.0113205656454,298.60229120967654
ALCD2x,-1000.0,331.86517609172574
ALDD2x,0.0,1.5347703777345778e-11
ALDD8x,0.0,806.0113205656367
ALKP,0.0,1.1967681967049396e-11
ALKP_R788e,0.0,383.90488518631844
ALPHNH,0.0,8.831698622107777e-12
AMANAPEr,0.0,1.2659313862816468e-11
AMANK,0.0,1.1943032507056155e-11
AMAOTr,0.0,5.941556177262685e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,1.0066008381406312e-12
AMMQT72,0.0,0.0
AMMQT8,0.0,3.5791506504608503e-13
AMPTASECG,0.0,3.6991005672006714
AMPTASEGC,0.0,3.6991005672001047
ANPRT,4.1128034983384545,4.112803498338466
ANS,0.0,7.971538695551743e-12
ANS2,4.1128034983099715,4.112803498338606
AOXSr,0.0,1.594307739110346e-12
APRAUR,0.0,1.4499845406549574e-11
ARBTpts,0.0,298.60229120967654
ARBabc,0.0,2.687510911238712e-11
ARGDA,0.0,2.6476262120593556e-11
ARGDC,0.0,1.3963125586387333e-11
ARGN,0.0,1000.0
ARGSL,33.36351087299468,417.2683960593326
ARGSS,33.363510873006405,417.26839605933634
ARSENBabc,0.0,1.4199788731919363e-11
ARSENBt2,-2.6249276098301687e-11,0.0
ASAD,-24.565887896561385,-24.565887896552166
ASNS1,0.0,1.593063893909125e-11
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,1.8963850047823665e-11
ASPCT,0.0,8.70008411718513e-12
ASPKi,24.565887896552255,24.565887896559488
ASPTA,-1000.0,930.8761623191739
ASPt2r,-930.8761623191539,1000.0
ATPPRT,0.0,8.861275474623692e-12
ATPS4,999.9999999999882,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,-9.342455167876534e-12,1000.0
BGLA1,0.0,0.0
BPNT,0.5992077571887444,0.5992077571887454
BTDD_RR,0.0,0.0
BTNCLi,0.0,125.4996750409021
BTNabc,0.0,1.937201131529299e-11
BTS4,0.0,3.265225154407641e-12
BZAMAH,8.54348827175509e-13,1000.0
BZAMt2r,0.0,1000.0000000000001
BZte,0.0,1000.0
CAt4i,0.5992077571887444,0.5992077571887454
CBIAT,0.5992077571887443,0.5992077571887454
CBL1abc,0.0,1.8170419085448794e-11
CBLAT,-1000.0,-205.53289078938457
CBLTDe,0.0,1.518570036836285e-11
CBMKr,33.36351087302337,417.2683960593422
CBPS,0.0,8.931256419324766e-12
CBl1te,205.53289078939443,1000.0000000000196
CCOuq,0.0,1000.0
CD2abc1,0.0,1.4069414488302977e-11
CDPGLYCGPT,0.4089181443600859,0.40891814436008667
CDPMEK,0.0,0.0
CGLYabc,0.5992077571791526,4.298308324383073
CHCOAL,0.0,3.958570615693084e-12
CHLabc,0.0,1.845434869924492e-11
CHLt2r,999.9999999999843,1000.0000000000001
CHOLD,999.99999999998,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,5.474937766774858e-12
CHORS,7.108842284282402,7.108842284286383
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6480669208856087,0.6480669208856098
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6480669208856087,0.6480669208856097
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6480669208856087,0.6480669208856097
CO2t,-1000.0,-616.0951148136995
COBALTt5,-0.5992077571887454,-0.5992077571887443
CPPPGO,0.0,4.781073486294574e-12
CPPPGO2,0.0,3.1687997854272416e-12
CRNabc,0.0,1.5699226318696166e-11
CTBTabc,0.0,1.8759977731700325e-11
CTPS1,0.0,1.9715736676377935
CTPS2,0.0,2.1837129018694378e-11
CYOmq,0.0,1000.0
CYSDS,0.0,1.765627203354819e-11
CYSS,0.0,3.699100567191053
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,998.2023767284506
CYSTS,1.7976232715463745,1000.0
CYSabc,0.0,3.699100567199544
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,2.4913213781004106e-11
CYTDK1,0.0,1.9715736676398865
CYTDK2,0.0,1.9715736676355902
CYTDK3,0.0,1.9715736676372637
CYTDK4,0.0,1.9715736676381796
CYTDt2,0.0,1.9715736676366458
CYTDt4,0.0,1.971573667640008
CYTK1,65.43426140538845,68.60425058741386
CYTK2,0.6633193721907221,0.6633193722033933
Cuabc,0.5992077571887443,0.5992077571959602
Cut1,0.0,9.977454977378767e-12
DACTt3,0.0,1000.0000000000001
DADNK,0.0,7.331841776642824e-12
DADNt2r,-1000.0,802.0236913164391
DAGK120,0.0,0.0
DAGK140,-1.3609542770230483e-12,0.0
DAGK141,0.0,0.0
DAGK160,-1.3878677056066713e-12,0.0
DAGK161,0.0,0.0
DAGK180,0.0,1.8318916625606448e-11
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,0.0
DAPDC,24.429581848432132,24.429581848436452
DAPE,24.56588789655216,24.565887896557886
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.5922676835424343,2.5922676835424387
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.5922676835424343,2.5922676835424374
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.5922676835424334,2.592267683542438
DB4PS,0.0,8.232046496060002e-12
DBTS,0.0,7.210380344002491e-12
DCMPDA,-999.9999999999998,-0.6633193721740596
DCYTD,0.0,2.6952258924752782e-11
DCYTt2r,-999.3366806278187,3.0091014437035965e-11
DDPA,7.108842284282405,7.108842284289614
DFDCYTDD,0.0,1.583013036696086e-11
DFDCYTDabc,0.0,1.2299421957569048e-11
DFDURIte,0.0,1.2299421957569048e-11
DGK1,-1.3374805180704367e-11,0.6633193722033988
DGSNt2,5.661089567189399,5.661089567216887
DHAD1,0.0,1000.0000000000002
DHAD2,0.0,999.9999999999968
DHAPT,0.0,1.2692692703696444e-11
DHFOR2,0.0,2.4094908552667427e-12
DHFR,1.7976232715662328,3.162796907839287
DHFS,1.7976232715662332,1.7976232715681675
DHLCOALT,0.0,0.0
DHNAOT,0.5992077571828657,0.5992077571893321
