,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000011
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.605952281333476,24.605952281341217
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.285217591937109,6.28521759194297
2MEBCOADH,-6.285217591943206,-6.285217591937108
2OBUTt2r,-1.2003700043262575,1000.0
2S6HCC,-1000.0,7.0762991728682505e-12
3CARLPDH,-9.895212992478954e-12,0.0
3HAD100,6.285217591937108,6.285217591945118
3HAD10M12,6.28521759193711,6.285217591941622
3HAD11M12,6.28521759193711,6.285217591941238
3HAD120,6.285217591937108,6.285217591944554
3HAD12M14,6.28521759193711,6.285217591941622
3HAD13M14,6.28521759193711,6.285217591941238
3HAD140,6.285217591937108,6.285217591941688
3HAD14M16,6.28521759193711,6.285217591937131
3HAD15M16,6.28521759193711,6.285217591937131
3HAD160,6.285217591937113,6.285217591937133
3HAD180,6.285217591937113,6.285217591937126
3HAD40,6.285217591937108,6.285217591937105
3HAD4M6,6.28521759193711,6.285217591937128
3HAD5M6,6.28521759193711,6.285217591937128
3HAD60,6.285217591937108,6.285217591937152
3HAD6M8,6.28521759193711,6.285217591937125
3HAD7M8,6.28521759193711,6.285217591937125
3HAD80,6.285217591937108,6.285217591937117
3HAD8M10,6.28521759193711,6.285217591937131
3HAD9M10,6.28521759193711,6.285217591937125
3MEBCOADH,-6.285217591941866,-6.2852175919371085
3MOBDC2,0.0,0.0
3MOBS,-394.64803469635365,0.0
3MOPDC2,12.57043518387422,12.570435183874258
3OAR100,6.285217591937101,6.285217591937117
3OAR10M11,0.0,0.0
3OAR10M12,6.285217591937109,6.285217591937128
3OAR11M12,6.285217591937109,6.2852175919371245
3OAR120,6.2852175919371005,6.285217591937128
3OAR12M13,0.0,0.0
3OAR12M14,6.285217591937109,6.2852175919371245
3OAR13M14,6.285217591937109,6.2852175919371245
3OAR140,6.2852175919371005,6.285217591937128
3OAR14M15,0.0,0.0
3OAR14M16,6.285217591937109,6.2852175919371245
3OAR15M16,6.285217591937109,6.2852175919371245
3OAR160,6.285217591937112,6.285217591937125
3OAR180,6.285217591937112,6.285217591937128
3OAR40,6.285217591937101,6.285217591937122
3OAR4M5,0.0,0.0
3OAR4M6,6.285217591937109,6.2852175919371245
3OAR5M6,6.285217591937109,6.2852175919371245
3OAR60,6.285217591937101,6.285217591937128
3OAR6M7,0.0,0.0
3OAR6M8,6.285217591937109,6.2852175919371245
3OAR7M8,6.285217591937109,6.2852175919371245
3OAR80,6.285217591937101,6.285217591937128
3OAR8M10,6.285217591937109,6.2852175919371245
3OAR8M9,0.0,0.0
3OAR9M10,6.285217591937109,6.2852175919371245
3OAS100,6.285217591937102,6.285217591937129
3OAS10M11,0.0,0.0
3OAS10M12,6.28521759193711,6.285217591937122
3OAS11M12,6.28521759193711,6.2852175919371245
3OAS120,6.285217591937102,6.285217591937129
3OAS12M13,0.0,0.0
3OAS12M14,6.28521759193711,6.285217591937122
3OAS13M14,6.28521759193711,6.2852175919371245
3OAS140,6.2852175919371005,6.285217591937122
3OAS160,6.285217591937112,6.285217591937126
3OAS180,6.285217591937112,6.285217591937129
3OAS2M3,0.0,0.0
3OAS3M4,6.28521759193711,6.2852175919371245
3OAS4M3O6,6.28521759193711,6.2852175919371245
3OAS4M5,0.0,0.0
3OAS4M6,6.28521759193711,6.285217591937126
3OAS5M6,6.28521759193711,6.285217591937126
3OAS60,6.285217591937102,6.285217591937119
3OAS6M7,0.0,0.0
3OAS6M8,6.28521759193711,6.285217591937126
3OAS7M8,6.28521759193711,6.285217591937127
3OAS80,6.285217591937102,6.285217591937114
3OAS8M10,6.28521759193711,6.285217591937127
3OAS8M9,0.0,0.0
3OAS9M10,6.28521759193711,6.2852175919371245
4HPL,-0.6001850021492803,-0.600185002149279
4HTHDR,24.605952281333483,24.605952281344617
4HTHDS,24.60595228133348,24.60595228134387
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,3.537932172270146e-11
5DOAN,0.0,1.644604662576071e-11
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,1.511653525100968e-11
5MTHCYST,-1.3232480983712563e-11,0.0
6P3HXI,-999.9999999999999,931.7767734326726
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-999.9999999999999,931.7767734327286
AB6PGH,0.0,304.4262650996247
AB6PGH2,0.0,304.4262650996313
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,6.30329185595463,6.303291855962914
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-999.9999999999999,1000.0
ACBIPGT,0.6001850021492787,0.6001850021492807
ACCOAC,0.0,125.70435183874231
ACCOACL,0.0,125.70435183874245
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.4095850469344482,0.40958504693444925
ACGApts,0.0,1.3064325909920746e-11
ACGK,14.619668175834164,14.61966817584948
ACGS,0.0,1.180502213221265e-11
ACHBPL,1.7126498461199409e-15,1000.0
ACKr,-999.9999999999999,-999.9999999999641
ACLDC,0.0,3.049153286799045e-11
ACLS_a,0.0,2.98894458152146e-11
ACLS_b,-1000.0,-3.8085163015624723e-13
ACNAMabc,0.0,2.2581761296580096e-11
ACNML,0.0,3.2747940204190946e-11
ACOAAGPAT140,0.0,2.537509293408759e-12
ACOAAGPAT160,0.0,2.5991684024125506e-12
ACOAAGPAT180,0.0,3.1426087959685667
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1426087959685556,3.142608795968564
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1426087959685556,3.1426087959685636
ACOAD1,0.0,0.0
ACOAD20,0.0,1.670755995194436e-13
ACOADH2,0.0,0.0
ACOATA,6.2852175919371,6.285217591937119
ACODAr,0.0,2.3042636128004686e-11
ACONTa,0.0,394.6480346963656
ACONTb,0.0,394.648034696344
ACOTA,-14.619668175866227,-14.619668175834077
ACPS1,0.600185002149279,0.6001850021492798
ACS,0.0,1.6333252052119458e-11
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-1000.0,1000.0
ACYP,0.0,2.6342471302702216e-11
ACYP_2,0.0,2.4682756767645006e-11
ACtr,-1000.0,-999.9999999999706
ADCL,1.8005550064478364,1.8005550064509368
ADCS,1.8005550064478364,1.8005550064511435
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6427293583396
ADK11,-1000.0,1000.0
ADK2,-999.3998149978506,-223.17659594135029
ADK3,-1000.0,994.3938939642059
ADK5,-1000.0,934.4590221820978
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3254466961628
ADK9,-1000.0,1000.0
ADMDC,0.0,9.687144691472239e-12
ADNCNT3tc,-1000.0,783.7819957051137
ADNCYC,0.0,2.6064801136766715e-11
ADNUC,0.0,2.077223664862287e-11
ADOCBIK,0.600185002149279,0.6001850021492802
ADOCBLS,0.6001850021492788,0.6001850021492805
ADOCBLabc,223.77678094347502,1000.0000000000316
ADPRDP,0.0,0.0
ADPT,0.0,3.2504471206297934e-11
ADSL1r,0.0,2.4844459465002118e-11
ADSL2r,1.449669931001797e-14,1.2599270237252684e-11
ADSS,0.0,2.647014377311116e-11
AGDC,0.0,3.3281805131636814e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,1.896581993869009e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,1.6491684012268048e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,3.142608795968562
AGPAT181,0.0,0.0
AGPR,-14.619668175868561,-14.619668175834162
AHCYSNS_r,1.2003700042982823,1.2003700043111463
AICART,0.0,2.523594289813236e-11
AIHDUDPMG,0.5461133959125977,0.5461133959125991
AIHDUPDG,0.5461133959125976,0.5461133959125988
AIHPDCOATA,6.285217591937109,6.285217591937126
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,1.7893753840538485e-11
AKGS,0.0,2.3681342917035192e-11
AKGt2r,-1000.0,1000.0
AKP1,0.0,2.9662289513484715e-11
ALAALA,0.13652834897814936,0.13652834897814978
ALAASP1c,0.0,2.4551894804459754e-11
ALAASPabc,0.0,2.5437109833498114e-11
ALACI,-999.9999999999999,1000.0000000000001
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,22.13048868439269
ALAGLNabc,0.0,22.13048868438795
ALAGLU1c,0.0,2.7093119986841946e-11
ALAGLUabc,0.0,2.9316481044191284e-11
ALAGLY1c,0.0,2.9316481044191284e-11
ALAGLYabc,0.0,3.178320278628831e-11
ALAHIS1c,0.0,3.1783523459184234e-11
ALAHISabc,0.0,3.178320278628831e-11
ALALEU1c,0.0,3.1783540693376284e-11
ALALEUabc,0.0,3.307941437569711e-11
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.13652834897814936,0.13652834897814983
ALAR,-1000.0,1000.0
ALATA_D,-999.8634716510214,1000.0
ALATHR1c,14.1237787071882,14.123778707248764
ALATHRabc,14.12377870719004,14.12377870725066
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-304.42626509957796,304.4262650996265
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,2.8783308715937725e-11
ALDD8x,0.0,2.860341068168855e-11
ALKP,0.0,2.5141974671504157e-11
ALKP_R788e,0.0,394.6480346963619
ALPHNH,0.0,9.433778923493875e-12
AMANAPEr,0.0,2.5862483750892786e-11
