,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,999.9999999999985
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.29029092357866,24.290290923581324
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.204586682140523,6.204586682141743
2MEBCOADH,-6.204586682140684,-6.204586682140525
2OBUTt2r,-1.1849708674947113,1000.0
2S6HCC,-999.9999999999999,1.0981266333129993e-12
3CARLPDH,-1.897931759404346e-12,0.0
3HAD100,6.204586682140211,6.204586682144445
3HAD10M12,6.204586682140523,6.204586682141741
3HAD11M12,6.204586682140519,6.2045866821413345
3HAD120,6.2045866821405244,6.20458668214369
3HAD12M14,6.204586682140523,6.204586682141436
3HAD13M14,6.204586682140489,6.204586682141837
3HAD140,6.2045866821405244,6.204586682142097
3HAD14M16,6.204586682140523,6.204586682140527
3HAD15M16,6.204586682140489,6.20458668214051
3HAD160,6.2045866821405244,6.204586682140523
3HAD180,6.2045866821405244,6.204586682140522
3HAD40,6.2045866821405244,6.20458668214052
3HAD4M6,6.204586682140523,6.204586682140523
3HAD5M6,6.204586682140489,6.204586682140522
3HAD60,6.2045866821405244,6.204586682140525
3HAD6M8,6.204586682140523,6.204586682140523
3HAD7M8,6.204586682140489,6.204586682140516
3HAD80,6.2045866821405244,6.204586682140523
3HAD8M10,6.204586682140523,6.2045866821405244
3HAD9M10,6.204586682140489,6.204586682140516
3MEBCOADH,-6.204586682140491,-6.204586682140513
3MOBDC2,0.0,0.0
3MOBS,-367.55502792012487,0.0
3MOPDC2,12.409173364281012,12.40917336428102
3OAR100,6.204586682140524,6.204586682140522
3OAR10M11,0.0,0.0
3OAR10M12,6.204586682140522,6.2045866821405244
3OAR11M12,6.2045866821404845,6.2045866821405085
3OAR120,6.204586682140524,6.2045866821405244
3OAR12M13,0.0,0.0
3OAR12M14,6.204586682140522,6.204586682140524
3OAR13M14,6.2045866821404845,6.2045866821405085
3OAR140,6.204586682140524,6.2045866821405244
3OAR14M15,0.0,0.0
3OAR14M16,6.204586682140522,6.204586682140522
3OAR15M16,6.2045866821404845,6.2045866821404925
3OAR160,6.204586682140524,6.204586682140522
3OAR180,6.204586682140524,6.204586682140522
3OAR40,6.204586682140524,6.204586682140522
3OAR4M5,0.0,0.0
3OAR4M6,6.204586682140522,6.204586682140521
3OAR5M6,6.204586682140485,6.2045866821405085
3OAR60,6.204586682140524,6.2045866821405244
3OAR6M7,0.0,0.0
3OAR6M8,6.204586682140522,6.2045866821405244
3OAR7M8,6.204586682140485,6.2045866821405085
3OAR80,6.204586682140524,6.2045866821405244
3OAR8M10,6.204586682140522,6.2045866821405244
3OAR8M9,0.0,0.0
3OAR9M10,6.204586682140485,6.2045866821405085
3OAS100,6.204586682140524,6.204586682140525
3OAS10M11,0.0,0.0
3OAS10M12,6.204586682140522,6.204586682140522
3OAS11M12,6.204586682140485,6.204586682140524
3OAS120,6.204586682140524,6.204586682140524
3OAS12M13,0.0,0.0
3OAS12M14,6.204586682140522,6.204586682140521
3OAS13M14,6.204586682140485,6.204586682140493
3OAS140,6.204586682140524,6.204586682140524
3OAS160,6.204586682140524,6.204586682140522
3OAS180,6.204586682140524,6.204586682140524
3OAS2M3,0.0,0.0
3OAS3M4,6.204586682140487,6.204586682140493
3OAS4M3O6,6.204586682140522,6.20458668214052
3OAS4M5,0.0,0.0
3OAS4M6,6.204586682140522,6.204586682140524
3OAS5M6,6.204586682140486,6.20458668214051
3OAS60,6.204586682140524,6.204586682140524
3OAS6M7,0.0,0.0
3OAS6M8,6.204586682140522,6.204586682140522
3OAS7M8,6.204586682140486,6.20458668214051
3OAS80,6.204586682140524,6.204586682140524
3OAS8M10,6.204586682140522,6.204586682140522
3OAS8M9,0.0,0.0
3OAS9M10,6.204586682140485,6.2045866821405244
4HPL,-0.5924854337475332,-0.5924854337474396
4HTHDR,24.290290923578656,24.29029092358267
4HTHDS,24.29029092357866,24.29029092358034
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,7.906311446069937e-12
5DOAN,0.0,3.1205357304653405e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,2.043154052771178e-12
5MTHCYST,1.2975632177606308e-13,0.0
6P3HXI,-999.9999999999999,999.9999999999982
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-999.9999999999999,1000.0
AB6PGH,0.0,781.9186294980807
AB6PGH2,0.0,781.9186294980766
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0000000000002
ABUTR,-1000.0,0.0
AC5ASAe,0.0,1000.0
ACACT1r,6.222429077597407,6.222429077598695
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.5924854337474393,0.5924854337474399
ACCOAC,0.0,124.09173364281031
ACCOACL,0.0,124.09173364281035
ACCOAL,0.0,1000.0
ACEDIPIT,0.0,0.0
ACGAMT,0.40433062025942457,0.40433062025942457
ACGApts,0.0,-1.4819822710329662e-12
ACGK,14.432117446094127,14.432117446098994
ACGS,0.0,-3.988565845569334e-13
ACHBPL,7.788295022003745e-12,1000.0
ACKr,-999.9999999999999,-999.9999999999909
ACLDC,0.0,4.695116313189392e-12
ACLS_a,0.0,1.0676243875985042e-11
ACLS_b,-1000.0,0.0
ACNAMabc,0.0,6.203691953092594e-12
ACNML,0.0,1.4184609200198987e-12
ACOAAGPAT140,0.0,1.0674361994426826e-13
ACOAAGPAT160,0.0,-5.031396859158822e-14
ACOAAGPAT180,0.0,3.102293341070263
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.102293341070262,3.1022933410702613
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.102293341070262,3.10229334107026
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,6.204586682140524,6.204586682140521
ACODAr,0.0,-4.098581951418956e-13
ACONTa,0.0,367.55502792012317
ACONTb,0.0,367.5550279201182
ACOTA,-14.43211744609787,-14.43211744609429
ACPS1,0.5924854337474396,0.5924854337474392
ACS,0.0,-5.901582732646756e-12
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-999.9999999999999,1000.0
ACYP,0.0,998.2225436987688
ACYP_2,0.0,1.1169391983308915e-11
ACtr,-1000.0,-999.9999999999899
ADCL,1.7774563012423188,1.7774563012440103
ADCS,1.7774563012423188,1.7774563012445614
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6582011178996
ADK11,-1000.0,1000.0
ADK2,-999.4075145662525,-8.056233320313568
ADK3,-1000.0,994.4658127837965
ADK5,-1000.0,1000.0
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,3.51119807587343e-12
ADNCNT3tc,-1000.0,998.8150291325067
ADNCYC,0.0,0.0
ADNUC,0.0,-1.935493649547043e-12
ADOCBIK,0.5924854337474396,0.5924854337474393
ADOCBLS,0.5924854337474396,0.5924854337474394
ADOCBLabc,8.64871875407282,1000.0
ADPRDP,0.0,0.0
ADPT,0.0,1.3812427139340896e-11
ADSL1r,0.0,1.5340135426750588e-11
ADSL2r,0.0,2.400161782903934e-12
ADSS,0.0,1.2290988401077794e-11
AGDC,0.0,1.3833223121099492e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,8.271805979571629e-13
AGPAT141,0.0,0.0
AGPAT160,0.0,5.493277900134317e-13
AGPAT161,0.0,0.0
AGPAT180,0.0,3.102293341070264
AGPAT181,0.0,0.0
AGPR,-14.432117446096706,-14.432117446094288
AHCYSNS_r,1.1849708674947779,1.1849708675040325
AHMMPS,0.0,5.992795721227471e-12
AICART,0.0,8.502703832576959e-12
AIHDUDPMG,0.5391074936792326,0.5391074936792336
AIHDUPDG,0.5391074936792326,0.5391074936792324
AIHPDCOATA,6.204586682140523,6.204586682140522
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,-2.633204876590024e-12,0.0
AIRC4,0.0,-6.112353544527055e-12
AKGS,0.0,1.714983502289351e-11
AKGt2r,-1000.0000000000013,1000.0
AKP1,0.0,1.6230848497673122e-11
ALAALA,0.13477687341980812,0.13477687341980835
ALAASP1c,0.0,-5.111192188095904e-12
ALAASPabc,0.0,1.55231507285342e-11
ALACI,-999.9999999999999,999.9999999999999
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,21.84658420361293
ALAGLNabc,0.0,21.846584203611858
ALAGLU1c,0.0,4.702639040412346e-12
ALAGLUabc,0.0,3.379472149935033e-12
ALAGLY1c,0.0,3.471612551560346e-12
ALAGLYabc,0.0,8.264692025974204e-13
ALAHIS1c,0.0,6.289420804546359e-13
ALAHISabc,0.0,-3.629276889471683e-13
