,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.631358093157505,24.63135809315699
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,6.291707121526866,6.291707121527116
2MEBCOADH,-6.29170712152624,-6.2917071215268665
2OBUTt2r,-1.201609394430966,998.7983906055704
2S6HCC,-999.9999999999999,-8.24101140762669e-13
3CARLPDH,1.3925535490415311e-12,0.0
3HAD100,6.291707121526851,6.291707121526153
3HAD10M12,6.291707121526865,6.291707121526141
3HAD11M12,6.291707121526865,6.291707121526396
3HAD120,6.291707121526852,6.291707121526378
3HAD12M14,6.291707121526865,6.291707121526795
3HAD13M14,6.291707121526865,6.291707121526614
3HAD140,6.291707121526867,6.291707121526579
3HAD14M16,6.291707121526865,6.291707121526864
3HAD15M16,6.291707121526865,6.291707121526869
3HAD160,6.291707121526867,6.291707121526869
3HAD180,6.291707121526867,6.291707121526867
3HAD40,6.291707121526847,6.291707121526872
3HAD4M6,6.291707121526865,6.29170712152686
3HAD5M6,6.291707121526865,6.291707121526859
3HAD60,6.291707121526849,6.291707121526864
3HAD6M8,6.291707121526865,6.291707121526857
3HAD7M8,6.291707121526865,6.29170712152686
3HAD80,6.29170712152685,6.291707121526869
3HAD8M10,6.291707121526865,6.291707121526858
3HAD9M10,6.291707121526865,6.29170712152686
3MEBCOADH,-6.291707121526358,-6.291707121526863
3MOBDC2,0.0,0.0
3MOBS,-391.9015043496539,0.0
3MOPDC2,12.583414243053731,12.583414243053733
3OAR100,6.29170712152685,6.291707121526852
3OAR10M11,0.0,0.0
3OAR10M12,6.291707121526865,6.291707121526861
3OAR11M12,6.291707121526865,6.291707121526862
3OAR120,6.2917071215268505,6.291707121526866
3OAR12M13,0.0,0.0
3OAR12M14,6.291707121526865,6.291707121526859
3OAR13M14,6.291707121526865,6.291707121526862
3OAR140,6.291707121526867,6.291707121526865
3OAR14M15,0.0,0.0
3OAR14M16,6.291707121526865,6.291707121526864
3OAR15M16,6.291707121526865,6.291707121526864
3OAR160,6.291707121526867,6.291707121526862
3OAR180,6.291707121526867,6.291707121526869
3OAR40,6.29170712152685,6.291707121526839
3OAR4M5,0.0,0.0
3OAR4M6,6.291707121526865,6.291707121526857
3OAR5M6,6.291707121526865,6.291707121526862
3OAR60,6.29170712152685,6.291707121526863
3OAR6M7,0.0,0.0
3OAR6M8,6.291707121526865,6.291707121526856
3OAR7M8,6.291707121526865,6.291707121526862
3OAR80,6.29170712152685,6.291707121526865
3OAR8M10,6.291707121526865,6.291707121526857
3OAR8M9,0.0,0.0
3OAR9M10,6.291707121526865,6.291707121526862
3OAS100,6.29170712152685,6.291707121526865
3OAS10M11,0.0,0.0
3OAS10M12,6.291707121526865,6.291707121526861
3OAS11M12,6.291707121526865,6.291707121526862
3OAS120,6.291707121526851,6.2917071215268665
3OAS12M13,0.0,0.0
3OAS12M14,6.291707121526865,6.291707121526862
3OAS13M14,6.291707121526865,6.291707121526864
3OAS140,6.291707121526868,6.291707121526862
3OAS160,6.291707121526868,6.291707121526859
3OAS180,6.291707121526868,6.291707121526864
3OAS2M3,0.0,0.0
3OAS3M4,6.291707121526865,6.291707121526857
3OAS4M3O6,6.291707121526865,6.291707121526857
3OAS4M5,0.0,0.0
3OAS4M6,6.291707121526865,6.291707121526857
3OAS5M6,6.291707121526865,6.291707121526861
3OAS60,6.29170712152685,6.291707121526851
3OAS6M7,0.0,0.0
3OAS6M8,6.291707121526865,6.2917071215268585
3OAS7M8,6.291707121526865,6.291707121526861
3OAS80,6.29170712152685,6.291707121526851
3OAS8M10,6.291707121526865,6.291707121526859
3OAS8M9,0.0,0.0
3OAS9M10,6.291707121526865,6.291707121526862
4HPL,-0.6008046972153297,-0.6008046972153289
4HTHDR,24.631358093157512,24.631358093156873
4HTHDS,24.631358093157502,24.6313580931562
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-4.134460526879195e-12
5DOAN,0.0,-1.98201612362085e-12
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,-2.118486788354057e-12
5MTHCYST,-2.20585747019307e-12,0.0
6P3HXI,-999.9999999999999,929.068669564458
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
AB6P3HXLL,-1000.0000000000001,929.0686695644947
AB6PGH,0.0,302.3751840992074
AB6PGH2,0.0,302.37518409921745
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-999.9999999999998,-6.92066290454428e-14
AC5ASAe,0.0,1000.0
ACACT1r,6.309800047343231,6.309800047326923
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-1000.0,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.6008046972153289,0.6008046972153294
ACCOAC,0.0,125.83414243053743
ACCOACL,0.0,125.83414243053727
ACEDIPIT,0.0,0.0
ACGAMT,0.41000794626016307,0.41000794626016274
ACGApts,0.0,-4.2966966859984375e-12
ACGK,0.0,-4.830835479087311e-12
ACGS,0.0,-7.484693298555964e-12
ACHBPL,-6.99878133335825e-14,1000.0
ACKr,-999.9999999999999,-995.6902363155853
ACLDC,0.0,-1.1428228862713115e-12
ACLS_a,0.0,1.68147869182638e-12
ACLS_b,-1000.0,-1.2121972165921673e-13
ACNAMabc,0.0,-7.641819578347946e-12
ACNML,0.0,-3.5825943828930003e-12
ACOAAGPAT140,0.0,-2.719453076396937e-13
ACOAAGPAT160,0.0,-2.1058991710276434e-13
ACOAAGPAT180,0.0,3.145853560763433
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1458535607634337,3.1458535607634324
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1458535607634337,3.1458535607634297
ACOAD1,0.0,0.0
ACOAD2,0.0,0.0
ACOAD20,0.0,0.0
ACOAD3rev,0.0,0.0
ACOAD4rev,0.0,0.0
ACOAD5rev,0.0,0.0
ACOAD6rev,0.0,0.0
ACOAD7i,0.0,0.0
ACOATA,6.291707121526838,6.291707121526849
ACODAr,0.0,-8.135468781879145e-12
ACONTa,0.0,391.9015043497068
ACONTb,0.0,391.90150434969195
ACOTA,8.344601809289703e-12,0.0
ACPS1,0.6008046972153291,0.6008046972153289
ACS,0.0,4.309763684413534
ACTD,0.0,1000.0
ACTNDH,-1000.0,1000.0
ACTNdiff,-1000.0,1000.0
ACYP,0.0,1.6394432436082997e-12
ACYP_2,0.0,2.8436957748272134e-12
ACtr,-1000.0,-999.9999999999989
ADCL,1.802414091645987,1.8024140916458653
ADCS,1.802414091645987,1.8024140916460212
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6311880590034
ADK11,-1000.0,1000.0
ADK2,-594.2353319125029,-194.9657666595862
ADK3,-1000.0,994.3881056218819
ADK5,-1000.0,934.3913506800671
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3349128248184
ADK9,-1000.0,1000.0
ADMDC,0.0,-1.4959117846486063e-12
ADNCNT3tc,-1000.0,812.0101496879469
ADNCYC,0.0,0.0
ADNUC,0.0,3.889971812884597e-12
ADOCBIK,0.600804697215329,0.6008046972153293
ADOCBLS,0.6008046972153291,0.6008046972153288
ADOCBLabc,195.56657135679427,594.8361366097146
ADPRDP,0.0,0.0
ADPT,0.0,1.5522946775496608e-12
ADSL1r,0.0,-5.753627837821005e-13
ADSL2r,-2.2153083007848758e-14,-1.1690044550028284e-12
ADSS,0.0,-1.6576370106892056e-12
AGDC,0.0,-8.288185053446014e-13
AGMT,0.0,-6.055089097847327e-13
AGPAT120,0.0,-4.880776753568689e-13
AGPAT140,0.0,-2.2600394864316702e-13
AGPAT141,0.0,0.0
AGPAT160,0.0,-6.320166328054824e-14
AGPAT161,0.0,0.0
AGPAT180,0.0,3.145853560763434
AGPAT181,0.0,0.0
AGPR,2.296971044388564e-12,0.0
AHCYSNS_r,1.2016093944315458,1.2016093944329707
AICART,0.0,-1.400369920055471e-13
AIHDUDPMG,0.5466772616802177,0.5466772616802176
AIHDUPDG,0.5466772616802176,0.5466772616802172
AIHPDCOATA,6.291707121526867,6.291707121526863
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,0.0,-1.0392614811182927e-12
AKGS,0.0,-5.485363542129054e-13
AKGt2r,-1000.0,1000.0
AKP1,0.0,2.1810506995209318e-13
ALAALA,0.13666931542005437,0.13666931542005437
ALAASP1c,0.0,-1.6628183697892679e-12
ALAASPabc,0.0,-5.82308083380283e-13
ALACI,-1000.0000000000002,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,-2.5531497908773356e-14,22.153338563313685
ALAGLNabc,0.0,22.153338563306285
ALAGLU1c,0.0,-5.060273914016874e-12
ALAGLUabc,0.0,-3.962335106864208e-12
ALAGLY1c,0.0,-4.088123522955135e-12
ALAGLYabc,0.0,-1.816588504864883e-12
ALAHIS1c,0.0,-1.883329552894182e-12
ALAHISabc,0.0,-3.375127783340526e-12
ALALEU1c,0.0,-3.283908113520511e-12
ALALEUabc,0.0,-1.0508218657218952e-12
ALAPAT4te,-1000.0,1000.0
ALAPGPL,0.13666931542005437,0.1366693154200543
ALAR,-1000.0,1000.0
ALATA_D,-999.8633306845799,1000.0
ALATHR1c,14.138361604062993,14.138361604049672
ALATHRabc,14.138361604062379,14.13836160404765
ALAt2,0.0,1000.0
ALAt4,0.0,1000.0
ALCD19,-302.3751840991807,302.3751840992282
ALCD2x,-1000.0,1000.0
ALDD2x,0.0,2.2230657281949355e-12
ALDD8x,0.0,3.2496910666809326e-12
ALKP,0.0,2.67853235461258e-12
ALKP_R788e,0.0,391.90150434971054
ALPHNH,0.0,0.0
AMANAPEr,0.0,2.9734408802540517e-12
AMANK,0.0,4.156460284454503e-12
AMAOTr,0.0,2.103512723054251e-12
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMMQLT8,0.0,999.399195302785
AMMQT72,0.0,0.0
AMMQT8r,-1000.0,-0.6008046972151533
AMPTASECG,0.0,4.3097636844318306
AMPTASEGC,0.0,4.309763684413189
ANPRT,4.123764472139574,4.123764472139572
ANS,0.0,-6.911088849436655e-12
ANS2,4.123764472145062,4.123764472139629
AOXSr,0.0,-1.3822177698873294e-12
APRAUR,0.0,-6.912657122973294e-13
ARBTpts,0.0,302.3751840991983
ARBabc,0.0,-9.106019232798452e-12
ARGDA,0.0,-2.9940325598433852e-12
ARGDC,0.0,-4.531113140497866e-12
ARGN,0.0,1000.0
ARGSL,27.444380516684028,419.34588486638154
ARGSS,27.444380516723104,419.3458848663925
ARGabc,14.634763081925152,1000.0
ARSENBabc,0.0,2.9201465463112622e-12
ARSENBt2,-1.5880787531479563e-12,0.0
ASAD,-24.63135809315854,-24.631358093157385
ASNS1,0.0,4.630678733383251e-12
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASP1DC,0.0,1.6484011439012212e-12
ASPCT,0.0,3.4857598258777232e-12
ASPKi,24.63135809315749,24.63135809315749
ASPTA,-1000.0,936.6999883397829
ASPt2r,-936.69998833978,1000.0
ATPPRT,0.0,-1.829275489772951e-12
ATPS4,1000.0000000000085,1000.0
BAMPPALDOX,0.0,0.0
BETALDHx,0.0,1000.0
BETALDHy,-1.0447186074108855e-11,1000.0
BGLA1,0.0,0.0
BPNT,0.600804697215329,0.6008046972153288
BTDD_RR,0.0,0.0
BTNCLi,0.0,125.83414243053737
BTNabc,0.0,-5.456122775871032e-12
BTS4,0.0,1.6682955656922397e-13
BZAMAH,1.5296490940872495e-13,1000.0
BZAMt2r,0.0,1000.0000000000001
BZte,0.0,1000.0
CAP_NR,-1000.0,1000.0000000000001
CAt4i,0.6008046972153291,0.6008046972153287
CBIAT,0.600804697215329,0.6008046972153288
CBL1abc,0.0,-7.170904219716222e-12
CBLAT,-594.8361366097201,-195.56657135679046
CBLTDe,0.0,5.118723581772538e-12
CBMKr,27.44438051670004,419.34588486639143
CBPS,0.0,1.4997936589894155e-12
CBl1te,195.5665713568234,594.8361366097113
CCOuq,0.0,1000.0
CD2abc1,0.0,-8.805425867495307e-12
CDPGLYCGPT,0.4100079462601632,0.41000794626016296
CDPMEK,0.0,0.0
CGLYabc,0.6008046972245276,4.910568381626056
CHCOAL,0.0,-9.971568158316696e-13
CHLabc,0.0,-6.261296880100957e-12
CHLt2r,1000.0000000000118,1000.0000000000001
CHOLD,1000.0000000000072,1000.0
CHOLabc,0.0,0.0
CHORM,0.0,-1.558892221677438e-12
CHORS,6.5269832610008915,6.52698326099934
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6497940747708041,0.6497940747708036
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6497940747708041,0.6497940747708036
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6497940747708041,0.6497940747708036
CO2t,-1000.0,-608.0984956503147
COBALTt5,-0.6008046972153283,-0.6008046972153289
CPPPGO,0.0,-2.0734363041818108e-12
CPPPGO2,0.0,-1.7496604813136542e-12
CRNabc,0.0,-1.0688834940388872e-11
CTBTabc,0.0,-7.936648492784403e-12
CTPS1,0.0,1.9768280804097391
CTPS2,0.0,6.961721175228179e-13
CYOmq,0.0,1000.0
CYSDS,0.0,-2.0126146574548313e-12
CYSS,0.0,4.309763684420206
CYSS3r,0.0,0.0
CYSTGL,0.0,1000.0
CYSTL,0.0,975.1219545870503
CYSTS,1.2016093944412993,976.3235639814791
CYSabc,0.0,4.3097636844159775
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,-9.063267968794708e-12
CYTDK1,0.0,1.9768280804039564
CYTDK2,0.0,1.9768280804023628
CYTDK3,0.0,1.976828080404965
CYTDK4,0.0,1.976828080405525
CYTDt2,0.0,1.9768280804036975
CYTDt4,0.0,1.976828080405889
CYTK1,65.60864931992255,68.78708679477104
CYTK2,0.665087175175331,0.6650871751785424
CZP_NR,-1000.0,1000.0
Cuabc,0.600804697215329,0.6008046972172246
Cut1,0.0,5.070303896689043e-12
DACTt3,0.0,1000.0000000000001
DADNK,0.0,-2.15289140788684e-12
DADNt2r,-1000.0,812.0101496879423
DAGK120,0.0,0.0
DAGK140,1.9633842173513074e-13,0.0
DAGK141,0.0,0.0
DAGK160,3.074201837214304e-13,0.0
DAGK161,0.0,0.0
DAGK180,0.0,-4.3837592152192135e-12
DAGK181,0.0,0.0
DALAt2r,-1000.0,1000.0
DAPDAi,0.0,0.0
DAPDC,24.494688777737448,24.49468877773615
DAPE,24.631358093157505,24.63135809315155
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.5991762990832163,2.599176299083211
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.5991762990832163,2.599176299083214
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.5991762990832163,2.599176299083215
DB4PS,0.0,-8.59339337199688e-12
DBTS,0.0,-1.0978476948137473e-12
DCMPDA,-1000.0,-0.6650871751846918
DCYTD,0.0,-5.5855010271691674e-12
DCYTt2r,-999.3349128248229,-3.947431461137348e-12
DDPA,6.526983261000893,6.526983260999793
DFDCYTDD,0.0,-2.038197372033043e-12
DFDCYTDabc,0.0,-2.205857470193072e-12
DFDURIte,0.0,-2.2058574701930715e-12
DGK1,-5.666409494688301e-12,0.665087175178529
DGSNt2,5.676176856072098,5.676176856077538
DHAD1,0.0,1000.0
DHAD2,0.0,999.9999999999997
DHAPT,0.0,4.316595478328041e-13
DHFOR2,0.0,-5.193630605613321e-13
