,minimum,maximum
12DGR180ti,3.1461819510531015,3.1461819510531055
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,24.633929318608793,24.633929318633523
2AHBUTI,-1000.0000000000015,1000.0
2CLDHOFAL,0.0,0.0
2DHPL,-2.9990426406199536e-11,1.475757313923662e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.292363902106184,6.292363902108303
2MEBCOADH,-6.292363902109086,-6.292363902106219
2OGAT,0.0,0.0
2RCDHOFAL,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3HACOAOR,0.0,0.0
3HAD10M12,6.292363902106181,6.29236390210623
3HAD11M12,6.292363902106203,6.2923639021062225
3HAD12M14,6.292363902106203,6.292363902106218
3HAD13M14,6.292363902106203,6.292363902106215
3HAD14M16,6.292363902106202,6.292363902106217
3HAD15M16,6.292363902106202,6.2923639021062145
3HAD4M6,6.292363902106197,6.292363902106216
3HAD5M6,6.292363902106203,6.292363902106223
3HAD6M8,6.292363902106197,6.292363902106227
3HAD7M8,6.292363902106203,6.292363902106223
3HAD8M10,6.292363902106197,6.292363902106225
3HAD9M10,6.292363902106203,6.292363902106223
3MEBCOADH,-6.292363902106209,-6.2923639021062066
3MOBDC2,0.0,0.0
3MOBS,-1.4208160562074148e-11,0.0
3MOPDC2,12.584727804212404,12.584727804212411
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.292363902106204,6.292363902106225
3OAR11M12,6.292363902106203,6.292363902106223
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.292363902106204,6.292363902106227
3OAR13M14,6.292363902106203,6.2923639021062225
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.292363902106202,6.292363902106221
3OAR15M16,6.292363902106202,6.292363902106218
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.292363902106204,6.292363902106229
3OAR5M6,6.292363902106203,6.292363902106226
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.292363902106204,6.2923639021062305
3OAR7M8,6.292363902106203,6.292363902106225
3OAR80,0.0,0.0
3OAR8M10,6.292363902106204,6.292363902106229
3OAR8M9,0.0,0.0
3OAR9M10,6.292363902106203,6.292363902106223
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.292363902106204,6.292363902106225
3OAS11M12,6.292363902106203,6.292363902106215
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.292363902106202,6.292363902106217
3OAS13M14,6.292363902106202,6.292363902106219
3OAS140,-3.666168396445655e-12,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.292363902106203,6.292363902106223
3OAS4M3O6,6.292363902106215,6.2923639021062145
3OAS4M5,0.0,0.0
3OAS4M6,6.2923639021061994,6.292363902106225
3OAS5M6,6.292363902106203,6.292363902106221
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.2923639021061994,6.292363902106229
3OAS7M8,6.292363902106203,6.292363902106221
3OAS80,0.0,0.0
3OAS8M10,6.292363902106199,6.292363902106225
3OAS8M9,0.0,0.0
3OAS9M10,6.292363902106203,6.292363902106219
4HTHDR,24.63392931863348,24.633929318633538
4HTHDS,24.633929318633477,24.633929318633527
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,3.135594055078439e-11
