,minimum,maximum
12DGR180ti,1.5337579190578763,1.533757919057875
23DHMPO,-1000.0,1000.0
26DAPLLATi,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.0675158381157526,3.067515838115745
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3HAD10M12,3.067515838115753,3.0675158381157477
3HAD11M12,3.067515838115753,3.0675158381157477
3HAD12M14,3.067515838115753,3.067515838115749
3HAD13M14,3.067515838115753,3.0675158381157477
3HAD14M16,3.067515838115753,3.0675158381157495
3HAD15M16,3.067515838115753,3.067515838115749
3HAD4M6,3.067515838115753,3.0675158381157486
3HAD5M6,3.067515838115741,3.0675158381157446
3HAD6M8,3.067515838115753,3.0675158381157477
3HAD7M8,3.067515838115741,3.067515838115749
3HAD8M10,3.067515838115753,3.0675158381157472
3HAD9M10,3.067515838115753,3.067515838115745
3HPCOAHL,0.0,0.0
3MOBS,2.8208684262695444e-10,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.067515838115753,3.0675158381157446
3OAR11M12,3.067515838115753,3.067515838115745
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.067515838115753,3.067515838115745
3OAR13M14,3.067515838115753,3.067515838115745
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.067515838115753,3.067515838115746
3OAR15M16,3.067515838115753,3.067515838115746
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.067515838115753,3.0675158381157432
3OAR5M6,3.067515838115738,3.0675158381157432
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.067515838115753,3.067515838115747
3OAR7M8,3.0675158381157384,3.0675158381157517
3OAR80,0.0,0.0
3OAR8M10,3.067515838115753,3.0675158381157472
3OAR8M9,0.0,0.0
3OAR9M10,3.0675158381157384,3.0675158381157526
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.0675158381157526,3.0675158381157477
3OAS11M12,3.0675158381157526,3.067515838115748
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.0675158381157526,3.06751583811575
3OAS13M14,3.0675158381157526,3.0675158381157486
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.0675158381157375,3.0675158381157432
3OAS4M3O6,3.0675158381157526,3.067515838115744
3OAS4M5,0.0,0.0
3OAS4M6,3.0675158381157526,3.0675158381157477
3OAS5M6,3.0675158381157384,3.0675158381157424
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.0675158381157526,3.067515838115752
3OAS7M8,3.0675158381157384,3.0675158381157495
3OAS80,0.0,0.0
3OAS8M10,3.0675158381157526,3.0675158381157477
3OAS8M9,0.0,0.0
3OAS9M10,3.0675158381157526,3.067515838115749
4HTHDR,0.0,0.0
