,minimum,maximum
12DGR180ti,1.7462721462701376,1.7462721462701212
22IDPOR,0.0,0.0
23DHMPO,-1000.0,1000.0
26DAPLLATi,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DHPL,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.492544292540283,3.4925442925363437
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3HAD10M12,3.492544292540283,3.492544292536848
3HAD11M12,3.4925442925402783,3.492544292536451
3HAD12M14,3.4925442925402836,3.492544292537117
3HAD13M14,3.4925442925402783,3.492544292536951
3HAD14M16,3.492544292540283,3.4925442925402668
3HAD15M16,3.4925442925402788,3.4925442925403205
3HAD4M6,3.492544292540283,3.4925442925402943
3HAD5M6,3.4925442925402788,3.49254429254025
3HAD6M8,3.4925442925402836,3.492544292540273
3HAD7M8,3.4925442925402788,3.4925442925403027
3HAD8M10,3.4925442925402836,3.492544292540267
3HAD9M10,3.4925442925402783,3.4925442925403027
3HPCOAHL,0.0,0.0
3MOBS,9.204085140342581e-11,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.492544292540283,3.4925442925402685
3OAR11M12,3.4925442925402836,3.4925442925403027
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.492544292540283,3.4925442925402677
3OAR13M14,3.4925442925402836,3.4925442925403027
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.492544292540283,3.492544292540268
3OAR15M16,3.4925442925402836,3.4925442925403027
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.492544292540283,3.4925442925402677
3OAR5M6,3.492544292540284,3.4925442925403027
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.492544292540283,3.492544292540267
3OAR7M8,3.4925442925402836,3.4925442925403027
3OAR80,0.0,0.0
3OAR8M10,3.492544292540283,3.492544292540267
3OAR8M9,0.0,0.0
3OAR9M10,3.492544292540283,3.4925442925403027
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.492544292540283,3.492544292540282
3OAS11M12,3.492544292540283,3.4925442925402743
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.492544292540283,3.492544292540283
3OAS13M14,3.492544292540283,3.4925442925402956
3OAS140,2.7673790577924074e-12,0.0
