,minimum,maximum
23DHMPO,-1000.0,1000.0
26DAPLLATi,0.0,0.0
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.251878367387938,4.251878367370497
2OMMBOX,0.0,-4.420490903153022e-10
2OMPHH,0.0,-4.422507613906742e-10
2S6HCC,0.0,-5.55154958306472e-10
3HAD100,4.251878367387937,4.251878363853129
3HAD10M12,4.251878367387936,4.251878363454981
3HAD11M12,4.251878367387937,4.251878363975465
3HAD120,4.251878367387936,4.251878363854996
3HAD12M14,4.251878367387937,4.251878363455592
3HAD13M14,4.251878367387937,4.2518783639750675
3HAD140,4.251878367387936,4.251878363852508
3HAD14M16,4.251878367387936,4.251878367370491
3HAD15M16,4.251878367387936,4.251878367370492
3HAD160,4.251878367387936,4.251878367370491
3HAD180,4.251878367387936,4.251878367370493
3HAD40,4.2518783673879375,4.251878367370492
3HAD4M6,4.251878367387937,4.251878367370497
3HAD5M6,4.251878367387937,4.251878367370501
3HAD60,4.2518783673879375,4.251878367370492
3HAD6M8,4.2518783673879375,4.251878367370492
3HAD7M8,4.251878367387937,4.251878367370491
3HAD80,4.251878367387937,4.251878367370492
3HAD8M10,4.251878367387937,4.251878367370494
3HAD9M10,4.2518783673879375,4.251878367370496
3MOBS,8.210343553642305e-07,0.0
3OAR100,4.251878367387942,4.251878367370492
3OAR10M11,0.0,0.0
3OAR10M12,4.251878367387944,4.251878367370494
3OAR11M12,4.251878367387937,4.251878367370495
3OAR120,4.251878367387935,4.251878367370492
3OAR12M13,0.0,0.0
3OAR12M14,4.251878367387936,4.251878367370494
3OAR13M14,4.251878367387936,4.2518783673704945
3OAR140,4.251878367387935,4.251878367370492
3OAR14M15,0.0,0.0
3OAR14M16,4.251878367387936,4.251878367370494
3OAR15M16,4.251878367387936,4.251878367370494
3OAR160,4.251878367387935,4.251878367370492
3OAR180,4.251878367387935,4.251878367370492
3OAR40,4.2518783673879375,4.251878367370493
3OAR4M5,0.0,0.0
3OAR4M6,4.251878367387944,4.2518783673704945
3OAR5M6,4.251878367387937,4.251878367370506
3OAR60,4.2518783673879375,4.251878367370496
3OAR6M7,0.0,0.0
3OAR6M8,4.251878367387944,4.251878367370495
3OAR7M8,4.251878367387937,4.2518783673704945
3OAR80,4.251878367387937,4.2518783673704945
3OAR8M10,4.251878367387944,4.2518783673704945
3OAR8M9,0.0,0.0
3OAR9M10,4.2518783673879375,4.251878367370495
3OAS100,4.251878367387936,4.251878367370494
3OAS10M11,0.0,0.0
3OAS10M12,4.251878367387936,4.25187836737049
3OAS11M12,4.251878367387936,4.25187836737049
3OAS120,4.251878367387935,4.251878367370489
3OAS12M13,0.0,0.0
3OAS12M14,4.251878367387936,4.25187836737049
3OAS13M14,4.251878367387936,4.25187836737049
3OAS140,4.251878367387935,4.251878367370489
3OAS160,4.251878367387935,4.251878367370489
3OAS180,4.251878367387935,4.251878367370489
3OAS2M3,0.0,0.0
