,minimum,maximum
12DGR180ti,2.422460958960096,2.422460958961247
23DHMPO,-1000.0000000000001,1000.0
26DAPLLATi,-2.8162278209576913e-11,0.0
2AHBUTI,-999.9999999999999,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.844921917922481,4.844921917922501
2OMMBOX,-6.146034737826313e-12,3.470553523599452e-13
2OMPHH,-9.566840969581814e-12,1.2471141133190056e-14
2S6HCC,0.0,2.2787481900919186e-14
3HAD10M12,4.84492191792248,4.8449219179224805
3HAD11M12,4.8449219179224805,4.844921917922508
3HAD12M14,4.8449219179224805,4.844921917922499
3HAD13M14,4.8449219179224805,4.844921917922502
3HAD14M16,4.8449219179224805,4.844921917922498
3HAD15M16,4.8449219179224805,4.8449219179225
3HAD4M6,4.84492191792248,4.8449219179225
3HAD5M6,4.84492191792248,4.844921917922501
3HAD6M8,4.8449219179224805,4.844921917922501
3HAD7M8,4.84492191792248,4.844921917922501
3HAD8M10,4.8449219179224805,4.8449219179225
3HAD9M10,4.8449219179224805,4.844921917922502
3MOBS,-7.197858431538246e-12,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.8449219179224805,4.844921917922499
3OAR11M12,4.8449219179224805,4.844921917922502
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.844921917922481,4.844921917922499
3OAR13M14,4.844921917922481,4.844921917922502
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.844921917922481,4.844921917922499
3OAR15M16,4.844921917922481,4.844921917922501
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.8449219179224805,4.844921917922501
3OAR5M6,4.844921917922482,4.844921917922501
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.8449219179224805,4.844921917922509
3OAR7M8,4.8449219179224805,4.844921917922507
3OAR80,0.0,0.0
3OAR8M10,4.8449219179224805,4.844921917922508
3OAR8M9,0.0,0.0
3OAR9M10,4.8449219179224805,4.844921917922507
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.8449219179224805,4.844921917922503
3OAS11M12,4.8449219179224805,4.844921917922503
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.844921917922481,4.844921917922495
3OAS13M14,4.844921917922481,4.844921917922495
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.844921917922482,4.844921917922508
3OAS4M3O6,4.8449219179224805,4.844921917922509
3OAS4M5,0.0,0.0
3OAS4M6,4.8449219179224805,4.844921917922516
3OAS5M6,4.8449219179224805,4.844921917922513
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.8449219179224805,4.844921917922509
3OAS7M8,4.8449219179224805,4.844921917922509
3OAS80,0.0,0.0
3OAS8M10,4.8449219179224805,4.844921917922489
3OAS8M9,0.0,0.0
3OAS9M10,4.8449219179224805,4.844921917922491
4ABZt2,1.3879469226862446,1.3879469226917172
4HTHDR,-4.8069675391577933e-29,6.142160892312187e-12
4HTHDS,-4.806967539157793e-29,1.1675336960864657e-11
4HTHRS,0.0,0.0
5AIZCDC,0.0,1.1694741953043396e-11
5DOAN,0.0,2.6839810445809995e-12
5MTHCYST,-2.4959246696509857e-12,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0000000000038
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,1000.0000000000002
AB6PGH2,0.0,1000.0
ABTOXy,0.0,0.0
ACALD,69.71568862550578,71.10363554821551
ACALDt,999.9999999999916,1000.0
ACBIPGT,0.46264897422989454,0.4626489742298948
ACCOACL,58.13906301506977,58.13906301506666
ACEDIPIT,-8.2139978111266e-12,0.0
ACGAMT,0.31572615301205803,0.31572615301205864
ACGAMt2,0.0,0.0
ACGApts,0.0,-3.246484849159562e-11
ACHBPL,-1.322050456795248e-13,7.860051135591468e-12
ACKr,-1000.0,-999.9999999999552
ACLDC,0.0,5.714288495912847e-12
ACLS_a,0.0,1.9467636171440546e-11
ACLS_b,-1.9467636171440546e-11,0.0
ACNAMabc,0.0,9.298771206206938e-12
ACNML,0.0,1.9985162737806726e-11
ACOAAGPATAI17,2.4224609589612407,2.422460958961243
ACOAAGPATI17,2.4224609589612407,2.422460958961256
ACOATA,0.0,4.0255868996164385e-12
ACPS1,0.46264897422989454,0.462648974229895
ACS,0.0,3.421748864673815e-11
ACTNDH,0.0,4.623559491524432e-12
ACtr,-1000.0,-999.9999999999891
ADCL,-2.8542370975779305e-12,1.3775244800813992e-11
ADCS,-4.13757021651696e-12,1.2238406944391083e-11
ADCYRS,0.0,3.003022694708854e-12
ADEt2,5.721634061527269,5.721634061539857
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.0587592880414
ADK11,-1000.0,1000.0
ADK2,0.46264897422989454,0.4626489742298948
ADK3,-1000.0,995.67856711248
ADK5,-1000.0,948.9613054292857
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,-5.1996391999093896e-12
ADNCYC,0.0,0.0
ADOCBIK,0.4626489742298931,0.4626489742298937
ADOCBLS,0.46264897422989454,0.46264897422989465
ADPRDP,0.0,0.0
ADPT,5.258985087303433,5.25898508731144
ADSL1r,-5.330257203208088e-14,-2.8799857086244647e-11
ADSL2r,0.0,-4.7117689454158475e-12
ADSS,0.0,-9.35226356965587e-12
AGDC,0.0,-3.84000186925342e-11
AGMD,0.0,-1.9535247604694157e-11
AGPAT180,0.0,-1.0133092788663612e-12
AHC,-0.4626489742497416,-0.4626489742378186
AHCYSNS_r,-2.4361172708415748e-14,-1.2987817653691024e-11
AHEXASE3,0.0,0.0
AHSERL2,0.0,0.0
AICART,0.0,-6.842287776937435e-12
AIHDUDPMG,0.42096820401607665,0.4209682040160769
AIHDUPDG,0.4209682040160775,0.42096820401607804
AIHPDCOATA,4.844921917922481,4.844921917922487
AIPDCOATA,0.0,0.0
AIRC4,0.0,-3.470553523599395e-12
ALAALA,0.10524205100401937,0.10524205100401915
ALAASP1c,0.0,222.13165930430057
ALAASPabc,0.0,222.13165930407683
ALACI,-999.9999999999999,1000.0
ALAD_L,0.0,1000.0
ALAGLN1c,0.0,138.8956364865391
ALAGLNabc,0.0,138.89563648655368
ALAGLU1c,0.0,138.8956364865655
ALAGLUabc,0.0,138.89563648656133
ALAGLY1c,0.0,-6.869463106002806e-12
ALAGLYabc,0.0,3.6657895363624344e-12
ALAHIS1c,0.0,222.1316593041005
ALAHISabc,0.0,222.13165930409912
ALALEU1c,0.0,125.29868223558412
ALALEUabc,0.0,125.2986822355844
ALAPGPL,0.10524205100401936,0.10524205100401937
ALAR,12.523804069478302,12.523804069478352
ALATA_L,-1000.0,229.67883346995848
ALATHR1c,0.0,222.13165930408192
ALATHRabc,0.0,222.1316593040652
ALAt2r,-1000.0,251.2850073111945
ALCD19,63.71611627226519,998.4988804337771
ALCD2x,-930.2843113744568,-927.3302326734935
AMALT1,0.0,-2.5186264922041803e-12
AMALT2,0.0,-7.716181382827373e-12
AMALT3,0.0,-9.208461744600579e-12
AMALT4,0.0,-9.10836976911579e-12
