,minimum,maximum
23DHMPO,-1000.0,999.605363358324
26DAPLLATi,-1.3271166119671136e-11,0.0
2AHBUTI,-999.6053633583236,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.132687677637829,4.132687677640352
2OMMBOX,0.0,1.0718655516730396e-12
2OMPHH,0.0,1.030977255729618e-12
2S6HCC,0.0,1.9203036831186908e-12
3HAD100,4.132687677637827,4.13268767763906
3HAD10M12,4.1326876776378265,4.13268767764071
3HAD11M12,4.132687677637827,4.132687677639535
3HAD120,4.1326876776378265,4.132687677640361
3HAD12M14,4.132687677637827,4.13268767764147
3HAD13M14,4.132687677637827,4.132687677640036
3HAD140,4.1326876776378265,4.132687677639994
3HAD14M16,4.1326876776378265,4.132687677637848
3HAD15M16,4.1326876776378265,4.132687677637838
3HAD160,4.1326876776378265,4.132687677637836
3HAD180,4.1326876776378265,4.132687677637837
3HAD40,4.132687677637827,4.1326876776378425
3HAD4M6,4.1326876776378265,4.132687677637847
3HAD5M6,4.1326876776378265,4.132687677637841
3HAD60,4.132687677637827,4.132687677637834
3HAD6M8,4.132687677637827,4.1326876776378425
3HAD7M8,4.1326876776378265,4.132687677637844
3HAD80,4.132687677637827,4.132687677637845
3HAD8M10,4.132687677637827,4.132687677637845
3HAD9M10,4.132687677637827,4.132687677637847
3MOBS,-2.297753913563399e-11,0.0
3OAR100,4.1326876776378265,4.132687677637844
3OAR10M11,0.0,0.0
3OAR10M12,4.1326876776378265,4.132687677637845
3OAR11M12,4.132687677637827,4.132687677637846
3OAR120,4.132687677637826,4.132687677637844
3OAR12M13,0.0,0.0
3OAR12M14,4.132687677637827,4.132687677637845
3OAR13M14,4.132687677637827,4.132687677637844
3OAR140,4.132687677637826,4.132687677637844
3OAR14M15,0.0,0.0
3OAR14M16,4.1326876776378265,4.132687677637844
3OAR15M16,4.1326876776378265,4.132687677637844
3OAR160,4.132687677637826,4.132687677637844
3OAR180,4.132687677637826,4.132687677637844
3OAR40,4.132687677637827,4.132687677637846
3OAR4M5,0.0,0.0
3OAR4M6,4.132687677637829,4.132687677637857
3OAR5M6,4.1326876776378265,4.132687677637847
3OAR60,4.132687677637827,4.132687677637846
3OAR6M7,0.0,0.0
3OAR6M8,4.132687677637827,4.132687677637845
3OAR7M8,4.1326876776378265,4.132687677637847
3OAR80,4.132687677637827,4.132687677637845
3OAR8M10,4.132687677637827,4.132687677637845
3OAR8M9,0.0,0.0
3OAR9M10,4.132687677637827,4.132687677637847
3OAS100,4.1326876776378265,4.132687677637844
3OAS10M11,0.0,0.0
3OAS10M12,4.1326876776378265,4.132687677637844
3OAS11M12,4.1326876776378265,4.132687677637846
3OAS120,4.132687677637826,4.132687677637844
3OAS12M13,0.0,0.0
3OAS12M14,4.1326876776378265,4.132687677637844
3OAS13M14,4.1326876776378265,4.132687677637844
3OAS140,4.132687677637826,4.132687677637843
3OAS160,4.132687677637826,4.132687677637843
3OAS180,4.132687677637826,4.132687677637843
3OAS2M3,0.0,0.0
3OAS3M4,4.1326876776378265,4.132687677637839
3OAS4M3O6,4.132687677637829,4.1326876776378505
3OAS4M5,0.0,0.0
3OAS4M6,4.1326876776378265,4.132687677637847
3OAS5M6,4.1326876776378265,4.132687677637847
3OAS60,4.1326876776378265,4.132687677637847
3OAS6M7,0.0,0.0
3OAS6M8,4.1326876776378265,4.132687677637839
3OAS7M8,4.1326876776378265,4.13268767763784
3OAS80,4.1326876776378265,4.13268767763784
3OAS8M10,4.1326876776378265,4.132687677637839
3OAS8M9,0.0,0.0
3OAS9M10,4.1326876776378265,4.132687677637843
4ABZt2,-3.773110335742195e-12,3.330286931480278e-12
4HTHDR,0.0,-2.8261865043934726e-12
4HTHDS,0.0,7.603133160644826e-12
4HTHRS,0.0,0.0
5AIZCDC,0.0,7.54235244394428e-12
5DOAN,0.0,2.250011856390107e-12
5MTHCYST,-5.689334711298652e-13,0.0
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0,1000.000000000425
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,262.46975070371053
AB6PGH2,0.0,262.46975070367677
ABTOXy,0.0,0.0
ACALD,96.66122947658305,96.66122947704491
ACALDt,999.9999999999685,1000.0
ACBIPGT,0.3946366416760604,0.39463664167606066
ACCOACL,82.65375355275654,82.6537535527568
ACEDIPIT,-1.140198779295689e-11,0.0
ACGAMT,0.26931240671478746,0.26931240671478834
ACGAMt2,0.0,0.0
ACGApts,0.0,1.3084248286999708e-11
ACHBPL,0.39463664167606044,0.39463664168026014
ACKr,-1000.0,-999.9999999999912
ACLDC,0.0,7.180274913649099e-12
ACLS_a,0.39463664167606033,0.39463664169098717
ACLS_b,-8.035386117440145e-13,1.5838414205810882e-14
ACNAMabc,0.0,8.992790667425235e-12
ACNML,0.0,3.718972417775177e-12
ACOAAGPAT140,0.0,1.1469762656206977e-13
ACOAAGPAT160,0.0,3.294834056070033e-12
ACOAAGPAT180,0.0,2.066343838818915
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.066343838818913,2.066343838818922
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,-9.330006035652368e-13,0.0
ACOAAGPATI17,2.066343838818913,2.0663438388189244
ACOATA,4.132687677637747,4.132687677637843
ACPS1,0.39463664167606044,0.3946366416760621
ACS,0.0,9.985693224670286e-12
ACTNDH,0.0,4.910040933598281e-12
ACtr,-1000.0,-999.9999999999865
ADCL,0.0,4.1451570529247095e-12
ADCS,0.0,5.111008270641958e-14
ADCYRS,0.0,0.0
ADEt2,4.876491535203742,4.876491535219255
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.2011536827564
ADK11,-1000.0,1000.0
ADK2,0.39463664167606033,0.39463664167606144
ADK3,-1000.0,997.4977550712363
ADK5,-1000.0,955.1284166556519
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.4629955443334
ADK9,-1000.0,1000.0
ADMDC,0.0,7.1150813391094665e-12
ADNCYC,0.0,0.0
ADOCBIK,0.3946366416760604,0.39463664167606327
ADOCBLS,0.39463664167606044,0.394636641676062
ADPRDP,0.0,0.0
ADPT,5.271128176873888,5.271128176900174
ADSL1r,0.0,3.899351058597897e-11
ADSL2r,0.0,2.717571741726751e-11
ADSS,0.0,2.717571741726751e-11
AGDC,0.0,3.832289284364591e-11
AGMD,0.0,3.534755044196136e-11
AGPAT120,0.0,6.123190813367881e-12
AGPAT140,0.0,3.768210761237134e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,3.5739795329323077e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,2.06634383881894
AGPAT181,0.0,0.0
AHCYSNS_r,0.3946366416760604,0.3946366416802589
AHEXASE3,0.0,0.0
AHSERL2,0.0,6.336514527561289e-11
AHSERL3,-2.8230532728119723e-11,0.0
AICART,0.0,1.5811988147075927e-11
AIHDUDPMG,0.3590832089530499,0.3590832089530534
AIHDUPDG,0.3590832089530499,0.35908320895305135
AIHPDCOATA,4.132687677637826,4.1326876776378425
AIPDCOATA,0.0,0.0
AIRC4,0.0,2.2212078587559305e-11
ALAALA,0.0897708022382625,0.08977080223826332
ALAASP1c,0.0,3.058712461237623e-11
ALAASPabc,0.0,8.253540021590433e-11
ALACI,-1000.0,1000.0
ALAD_L,0.0,982.359343986345
ALAGLN1c,0.0,8.635979989015512e-11
ALAGLNabc,0.0,8.470179308048808e-11
ALAGLU1c,0.0,1.1525850704765162e-10
ALAGLUabc,0.0,1.0547463054899574e-10
ALAGLY1c,0.0,7.583746249739567e-11
ALAGLYabc,0.0,8.622450786324747e-11
ALAHIS1c,0.0,1.2025368542088627e-10
ALAHISabc,0.0,8.983390586682527e-11
ALALEU1c,0.0,8.983390586682523e-11
ALALEUabc,0.0,1.0046157776624879e-10
ALAPGPL,0.08977080223826249,0.08977080223826361
ALAR,10.682725466353235,10.682725466353032
ALATA_L,-1000.0,-17.64065601373329
ALATHR1c,0.0,9.604199880137723e-11
ALATHRabc,0.0,9.382114297109708e-11
ALCD19,799.258568804418,799.2585688148905
ALCD2x,-902.0029197505282,-902.0029197479578
AMALT1,0.0,2.539418576626314e-11
AMALT2,0.0,2.067381837383185e-09
AMALT3,0.0,2.048766779669265e-09
AMALT4,0.0,2.079183527593605e-09
AMANAPEr,0.0,4.373386822178235e-11
AMANK,0.0,4.3570790273079974e-11
AMMQT7rev,0.7892732833516238,0.7892732833569156
