,minimum,maximum
23DHMPO,-1000.0,999.5941325743154
26DAPLLATi,0.0,0.0
2AHBUTI,-999.5941325743156,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,4.250297949420094,4.250297949185373
2OMMBOX,0.0,-1.6162888623510068e-10
2OMPHH,0.0,-1.6079563127754437e-10
2S6HCC,0.0,-3.551503932374368e-10
3HAD100,4.250297949420096,4.250297949154902
3HAD10M12,4.250297949420095,4.250297949187539
3HAD11M12,4.250297949420397,4.250297949187086
3HAD120,4.250297949420096,4.250297949155485
3HAD12M14,4.250297949420095,4.250297949190219
3HAD13M14,4.250297949420397,4.250297949188055
3HAD140,4.250297949420096,4.250297949193785
3HAD14M16,4.250297949420094,4.250297949418907
3HAD15M16,4.250297949420396,4.250297949418915
3HAD160,4.250297949420095,4.2502979494189
3HAD180,4.250297949420094,4.250297949418891
3HAD40,4.250297949420096,4.250297949418892
3HAD4M6,4.250297949420095,4.250297949418894
3HAD5M6,4.250297949420396,4.250297949418909
3HAD60,4.250297949420096,4.250297949418886
3HAD6M8,4.250297949420096,4.250297949418889
3HAD7M8,4.250297949420396,4.250297949418904
3HAD80,4.250297949420096,4.250297949418886
3HAD8M10,4.250297949420096,4.250297949418887
3HAD9M10,4.250297949420397,4.250297949418907
3MOBS,6.985146495263185e-09,0.0
3OAR100,4.250297949420096,4.2502979494188855
3OAR10M11,0.0,0.0
3OAR10M12,4.250297949420095,4.250297949418887
3OAR11M12,4.250297949420062,4.250297949418907
3OAR120,4.250297949420096,4.2502979494188855
3OAR12M13,0.0,0.0
3OAR12M14,4.250297949420095,4.250297949418887
3OAR13M14,4.250297949420062,4.250297949418905
3OAR140,4.250297949420096,4.2502979494188855
3OAR14M15,0.0,0.0
3OAR14M16,4.250297949420094,4.250297949418887
3OAR15M16,4.250297949420062,4.250297949418906
3OAR160,4.250297949420095,4.2502979494188855
3OAR180,4.250297949420094,4.2502979494188855
3OAR40,4.250297949420096,4.2502979494188855
3OAR4M5,0.0,0.0
3OAR4M6,4.250297949420095,4.250297949418887
3OAR5M6,4.250297949420063,4.250297949418906
3OAR60,4.250297949420096,4.2502979494188855
3OAR6M7,0.0,0.0
3OAR6M8,4.250297949420096,4.250297949418887
3OAR7M8,4.250297949420063,4.250297949418906
3OAR80,4.250297949420096,4.2502979494188855
3OAR8M10,4.250297949420096,4.250297949418887
3OAR8M9,0.0,0.0
3OAR9M10,4.250297949420063,4.250297949418907
3OAS100,4.250297949420095,4.2502979494188855
3OAS10M11,0.0,0.0
3OAS10M12,4.250297949420095,4.250297949418886
3OAS11M12,4.250297949420062,4.250297949418906
3OAS120,4.250297949420095,4.2502979494188855
3OAS12M13,2.3128587506678528e-10,0.0
3OAS12M14,4.250297949420094,4.250297949418886
3OAS13M14,4.250297949420825,4.250297949418906
3OAS140,4.250297949420095,4.2502979494188855
3OAS160,4.250297949420095,4.2502979494188855
3OAS180,4.250297949420094,4.2502979494188855
3OAS2M3,0.0,0.0
3OAS3M4,4.250297949420408,4.250297949418906
3OAS4M3O6,4.250297949420095,4.250297949418886
3OAS4M5,0.0,0.0
3OAS4M6,4.250297949420095,4.250297949418886
3OAS5M6,4.250297949420408,4.250297949418906
3OAS60,4.250297949420095,4.2502979494188855
3OAS6M7,0.0,0.0
3OAS6M8,4.250297949420095,4.250297949418886
3OAS7M8,4.250297949420408,4.250297949418906
3OAS80,4.250297949420095,4.2502979494188855
3OAS8M10,4.250297949420095,4.250297949418886
3OAS8M9,0.0,0.0
3OAS9M10,4.250297949420406,4.250297949418906
4ABZt2,0.0,-2.9638206482421017e-10
4HTHDR,0.0,-1.3235606799118956e-09
4HTHDS,0.0,-1.3189758126757137e-09
4HTHRS,0.0,0.0
5AIZCDC,0.0,-2.009867905029658e-09
5DOAN,0.0,-2.900793138262192e-10
5MTHCYST,3.9843736275342783e-10,0.0
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0,999.9999999327966
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,999.9999999999999
AB6PGH2,0.0,1000.0000000000005
ABTOXy,0.0,0.0
ACALD,99.41206727623691,99.4120671910614
ACALDt,1000.0000000072736,1000.0
ACBIPGT,0.4058674256847111,0.4058674256845974
ACCOACL,85.00595898840216,85.005958988378
ACEDIPIT,2.0069285861264447e-09,0.0
ACGAMT,0.2769766455391854,0.2769766455391073
ACGAMt2,0.0,0.0
ACGApts,0.0,-1.1564606307381028e-09
ACHBPL,0.4058674256847109,0.405867424153418
ACKr,-1000.0,-1000.0000000020152
ACLDC,0.0,-9.99658708669604e-10
ACLS_a,0.4058674256847112,0.40586742412360727
ACLS_b,1.5531678677703052e-09,4.218169262582536e-16
ACNAMabc,0.0,-8.142888973090428e-10
ACNML,0.0,-8.052132460804808e-10
ACOAAGPAT140,0.0,-1.11793855997324e-10
ACOAAGPAT160,0.0,-9.846367514783357e-11
ACOAAGPAT180,0.0,2.125148974709451
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.1251489747100467,2.1251489747094525
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.1251489747100467,2.12514897470945
ACOATA,4.250297949420094,4.2502979494189
ACPS1,0.4058674256847112,0.4058674256845963
ACS,0.0,-1.0143014086791381e-09
ACTNDH,0.0,-9.991641545591182e-10
ACtr,-1000.0,-1000.0000000011582
ADCL,0.0,-6.3965123438359e-10
ADCS,0.0,-6.412525316833806e-10
ADCYRS,0.0,0.0
ADEt2,5.022119294237089,5.022119291968761
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.1715697695572
ADK11,-1000.0,1000.0
ADK2,0.4058674256847112,0.40586742568459744
ADK3,-1000.0,997.426544825243
ADK5,-1000.0,953.8514367492161
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.4545630874941
ADK9,-1000.0,1000.0
ADMDC,0.0,-2.964980138123186e-10
ADNCYC,0.0,0.0
ADOCBIK,0.405867425684711,0.4058674256845974
ADOCBLS,0.4058674256847112,0.4058674256845971
ADPRDP,0.0,0.0
ADPT,5.42798671994419,5.427986717255483
ADSL1r,-1.4583289344688382e-13,-2.262782554611323e-09
ADSL2r,0.0,-2.2782993709111892e-09
ADSS,0.0,-2.2782993709111892e-09
AGDC,0.0,-2.7193580797943734e-09
AGMD,0.0,-1.0068280279421527e-09
AGPAT120,0.0,-1.480207237932371e-10
AGPAT140,0.0,-1.2497651766845865e-10
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.0766232592298119e-10
AGPAT161,0.0,0.0
AGPAT180,0.0,2.1251489747094516
AGPAT181,0.0,0.0
AHCYSNS_r,0.405867425684711,0.40586742528516995
AHEXASE3,0.0,0.0
AHSERL2,0.0,-1.9828243689784702e-09
AHSERL3,2.012731222205898e-09,0.0
AICART,0.0,-2.263238837096816e-09
AIHDUDPMG,0.3693021940522471,0.3693021940521445
AIHDUPDG,0.3693021940522472,0.36930219405214343
AIHPDCOATA,4.250297949420093,4.2502979494189
AIPDCOATA,0.0,0.0
AIRC4,0.0,-2.2768332470117092e-09
ALAALA,0.09232554851306182,0.09232554851303615
ALAASP1c,0.0,-4.320145135355548e-09
ALAASPabc,0.0,-4.243642013364823e-09
ALACI,-1000.0,1000.0
ALAD_L,0.0,321.9909947170499
ALAGLN1c,0.0,-4.283520542245287e-09
ALAGLNabc,0.0,-4.312697977417305e-09
ALAGLU1c,0.0,-4.312697977417295e-09
ALAGLUabc,0.0,-4.32086853984896e-09
ALAGLY1c,0.0,-2.6748233818112644e-09
ALAGLYabc,0.0,-2.653447654146768e-09
ALAHIS1c,0.0,-4.286338518237086e-09
ALAHISabc,0.0,-4.27666301089597e-09
ALALEU1c,0.0,-4.276663010895967e-09
ALALEUabc,0.0,-4.279763330291786e-09
ALAPGPL,0.09232554851306181,0.09232554851303613
ALAR,10.986740273054354,10.98674027305125
ALATA_L,-1000.0,-678.0090052830928
ALATHR1c,0.0,-4.306946536557297e-09
ALATHRabc,0.0,-4.2771068415079555e-09
ALAt2r,-981.8573166064848,-659.8663218940428
ALCD19,47.5762841454161,47.57628381062992
ALCD2x,-899.214065582792,-899.2140656524375
AMALT1,0.0,-5.059682265923511e-10
AMALT2,0.0,-5.6808647649446696e-08
AMALT3,0.0,-5.6853281136402414e-08
AMALT4,0.0,-5.6553251642705394e-08
AMANAPEr,0.0,-1.3793476010415739e-09
AMANK,0.0,-1.379926885072884e-09
AMMQT7rev,0.811734851411079,0.8117348512388916
AMMQT8r,0.40586742568471107,0.40586742568459594
AMPTASECG,0.0,-2.7597040646799983e-09
AMPTASEGC,0.0,-2.790872759852072e-09
AMY2e,0.0,124.99999999291192
ANPRT,2.785766619659939,2.785766619659154
ANS,0.0,2.7857666196591584
ANS2,0.0,2.7857666196591575
APAT,0.0,0.0
APRAUR,0.0,0.0
ARAI,0.0,-1.9579601684307497e-09
ARBTpts,475.02705888533774,999.9999999999999
ARBabc,0.0,-1.967427757020453e-09
ARGDA,0.0,-2.0121758242119503e-09
ARGDC,0.0,-1.0231036574462193e-09
