,minimum,maximum
23DHMPO,-1000.0,999.5932953546285
26DAPLLATi,0.0,0.0
2AHBUTI,-999.5932953546285,1000.0
2DHPL,3.925217269310579e-12,-6.531490688393816e-11
2HMCOXT,0.0,0.0
2MBCOATA,4.259065425923323,4.259065425922372
2OMMBOX,0.0,-1.8842795440305745e-13
2OMPHH,0.0,-3.326387182890987e-13
2S6HCC,0.0,-1.2211795118513219e-14
3HAD100,4.259065425923323,4.259065425922433
3HAD10M12,4.259065425923324,4.259065425924169
3HAD11M12,4.259065425923338,4.259065425923764
3HAD120,4.259065425923323,4.259065425921194
3HAD12M14,4.259065425923324,4.259065425924169
3HAD13M14,4.259065425923338,4.2590654259237635
3HAD140,4.259065425923323,4.259065425921194
3HAD14M16,4.259065425923324,4.2590654259233265
3HAD15M16,4.259065425923324,4.259065425923243
3HAD160,4.259065425923323,4.259065425923242
3HAD180,4.259065425923323,4.25906542592332
3HAD40,4.259065425923323,4.2590654259233185
3HAD4M6,4.259065425923325,4.2590654259233185
3HAD5M6,4.259065425923338,4.259065425923324
3HAD60,4.259065425923323,4.259065425923322
3HAD6M8,4.259065425923325,4.259065425923326
3HAD7M8,4.259065425923338,4.259065425923327
3HAD80,4.259065425923323,4.259065425923331
3HAD8M10,4.259065425923325,4.259065425923325
3HAD9M10,4.259065425923339,4.2590654259233345
3MOBS,5.475226583097425e-10,0.0
3OAR100,4.259065425923322,4.259065425923331
3OAR10M11,0.0,0.0
3OAR10M12,4.259065425923323,4.259065425923324
3OAR11M12,4.259065425923332,4.259065425923334
3OAR120,4.259065425923322,4.259065425923331
3OAR12M13,0.0,0.0
3OAR12M14,4.259065425923323,4.259065425923324
3OAR13M14,4.259065425923332,4.259065425923334
3OAR140,4.259065425923322,4.259065425923331
3OAR14M15,0.0,0.0
3OAR14M16,4.259065425923323,4.259065425923323
3OAR15M16,4.259065425923332,4.259065425923334
3OAR160,4.259065425923322,4.25906542592333
3OAR180,4.259065425923322,4.259065425923322
3OAR40,4.259065425923322,4.259065425923324
3OAR4M5,0.0,0.0
3OAR4M6,4.259065425923324,4.259065425923325
3OAR5M6,4.259065425923332,4.2590654259233345
3OAR60,4.259065425923322,4.259065425923331
3OAR6M7,0.0,0.0
3OAR6M8,4.259065425923325,4.259065425923325
3OAR7M8,4.259065425923332,4.2590654259233345
3OAR80,4.259065425923322,4.259065425923331
3OAR8M10,4.259065425923324,4.259065425923325
3OAR8M9,0.0,0.0
3OAR9M10,4.259065425923333,4.2590654259233345
3OAS100,4.259065425923323,4.25906542592333
3OAS10M11,0.0,0.0
3OAS10M12,4.259065425923323,4.259065425923324
3OAS11M12,4.259065425923332,4.259065425923332
3OAS120,4.259065425923323,4.25906542592333
3OAS12M13,8.997912415704154e-13,0.0
3OAS12M14,4.259065425923323,4.259065425923323
3OAS13M14,4.259065425923322,4.259065425923334
3OAS140,4.259065425923323,4.25906542592333
3OAS160,4.259065425923323,4.259065425923322
3OAS180,4.259065425923323,4.259065425923322
3OAS2M3,0.0,0.0
3OAS3M4,4.259065425923338,4.259065425923344
3OAS4M3O6,4.259065425923324,4.259065425923339
3OAS4M5,0.0,0.0
3OAS4M6,4.259065425923324,4.259065425923319
3OAS5M6,4.259065425923338,4.259065425923323
3OAS60,4.259065425923323,4.259065425923335
3OAS6M7,0.0,0.0
3OAS6M8,4.259065425923324,4.259065425923335
3OAS7M8,4.259065425923338,4.259065425923342
3OAS80,4.259065425923323,4.259065425923326
3OAS8M10,4.259065425923323,4.259065425923335
3OAS8M9,0.0,0.0
3OAS9M10,4.259065425923338,4.259065425923338
4ABZt2,0.0,0.0
4HTHDR,0.0,1.124239474499221e-11
4HTHDS,0.0,-7.332402675822603e-12
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.0965901674725344e-11
5DOAN,0.0,-2.214280456511825e-12
5MTHCYST,7.027113981541936e-13,0.0
6PGALSZ,-999.9999999999999,1000.0
6PGALSZ2i,-1000.0,999.9999999999733
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,999.9999999999997
AB6PGH2,0.0,1000.0
ABTOXy,0.0,0.0
ACALD,89.44037394439948,89.44037394419932
ACALDt,1000.0000000000766,1000.0
ACBIPGT,0.4067046453715339,0.4067046453715336
ACCOACL,85.18130851846651,85.18130851846651
ACEDIPIT,1.472236060342933e-11,0.0
ACGAMT,0.27754799048031814,0.277547990480318
ACGAMt2,0.0,0.0
ACGApts,0.0,-2.0560961593856685e-12
ACHBPL,0.40670464537153445,0.40670464537075296
ACKr,-1000.0,-1000.0000000000049
ACLDC,0.0,0.0
ACLS_a,0.4067046453715339,0.40670464536881346
ACLS_b,6.115586534840634e-12,-1.569929142249469e-13
ACNAMabc,10.176759650974676,10.176759650899971
ACNML,10.176759650963131,10.176759650942634
ACOAAGPAT140,0.0,9.181791636112066e-13
ACOAAGPAT160,0.0,1.3223294804995771e-12
ACOAAGPAT180,0.0,2.129532712961661
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.1295327129616615,2.1295327129616286
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,2.5729218422400286e-12,0.0
ACOAAGPATI17,2.1295327129616615,2.1295327129616686
ACOATA,4.259065425923322,4.259065425923235
ACPS1,0.4067046453715339,0.40670464537153456
ACS,0.0,-3.935561609572571e-12
ACTNDH,0.0,-3.4618787734270606e-12
ACtr,-1000.0,-1000.0000000000214
ADCL,0.0,-7.411520009079314e-13
ADCS,0.0,-4.064408231659546e-12
ADCYRS,0.0,0.0
ADEt2,5.031095821688523,5.031095821682361
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.171243944045
ADK11,-1000.0,1000.0
ADK2,0.4067046453715339,0.40670464537153417
ADK3,-1000.0,997.4212363249814
ADK5,-1000.0,953.7562419094696
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.4520549149511
ADK9,-1000.0,1000.0
ADMDC,0.0,2.712699119966308e-13
ADNCYC,0.0,0.0
ADOCBIK,0.40670464537153383,0.4067046453715333
ADOCBLS,0.4067046453715339,0.40670464537153034
ADPRDP,0.0,0.0
ADPT,5.437800467047869,5.437800467050036
ADSL1r,0.0,-2.3748862960116235e-11
ADSL2r,0.0,9.634779719867075e-12
ADSS,0.0,9.634779719867077e-12
AGDC,0.0,-5.276598489511325e-12
AGMD,0.0,-6.55928656900163e-12
AGPAT120,0.0,-7.574332447036017e-13
AGPAT140,0.0,-1.9780633917255295e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.2184021134996514e-13
AGPAT161,0.0,0.0
AGPAT180,0.0,2.1295327129616624
AGPAT181,0.0,0.0
AHCYSNS_r,0.40670464537153395,0.40670464537287365
AHEXASE3,0.0,0.0
AHSERL2,0.0,-6.35520631082843e-12
AHSERL3,-8.329175338715594e-13,-1.806796892967109e-13
AICART,0.0,1.3664970676162663e-11
AIHDUDPMG,0.37006398730709084,0.37006398730709084
AIHDUPDG,0.37006398730709084,0.3700639873070926
AIHPDCOATA,4.259065425923323,4.2590654259233425
AIPDCOATA,0.0,0.0
AIRC4,0.0,1.7606789140440623e-11
ALAALA,0.09251599682677274,0.09251599682677275
ALAASP1c,0.0,3.3407753753656696e-11
ALAASPabc,0.0,-7.005056854646852e-11
ALACI,-1000.0,1000.0
ALAD_L,0.0,330.9022098481354
ALAGLN1c,0.0,1.511418337193737e-11
ALAGLNabc,0.0,5.26683857987351e-12
ALAGLU1c,0.0,5.213574894056792e-12
ALAGLUabc,0.0,2.9647884880119075e-11
ALAGLY1c,0.0,1.835345254483554e-11
ALAGLYabc,0.0,2.1980182688425844e-12
ALAHIS1c,0.0,3.5506448958226316e-12
ALAHISabc,0.0,9.764273463512277e-12
ALALEU1c,0.0,9.764273463512274e-12
ALALEUabc,0.0,-1.4302297994503303e-11
ALAPGPL,0.09251599682677271,0.09251599682677263
ALAR,11.009403622385953,11.009403622385976
ALATA_L,-1000.0,-669.0977901516244
ALATHR1c,0.0,-5.076718080456253e-12
ALATHRabc,0.0,3.923462609884015e-11
ALAt2r,-981.8198920461587,-650.9176821979795
ALCD19,47.67442390736794,47.67442391046688
ALCD2x,-909.1829249146207,-909.1829249144176
AMALT1,0.0,2.5276358144548886e-12
AMALT2,0.0,2.483145199878943e-10
AMALT3,0.0,2.562916415822336e-10
AMALT4,0.0,1.9167625123036281e-10
AMANAPEr,0.0,4.673143350161166e-12
AMANK,0.0,7.1413834809798175e-12
AMMQT7rev,0.8134092907433471,0.8134092907437201
AMMQT8,0.4067046453715338,0.40670464537153533
AMPTASECG,0.0,3.187918757995118e-11
AMPTASEGC,0.0,1.0191295133433484e-11
AMY2e,0.0,125.00000000002338
ANPRT,2.7915130740666663,2.791513074066664
ANS,0.0,2.791513074066665
ANS2,0.0,2.791513074066665
APAT,0.0,0.0
APRAUR,0.0,0.0
ARAI,0.0,-4.5223963776209974e-12
ARBTpts,396.15704597202904,999.9999999999999
ARBabc,0.0,-6.178027596800121e-12
ARGDA,0.0,-1.236385276223954e-11
ARGDC,0.0,-6.8152085367999976e-12
ARGSL,4.094774433344345e-11,-4.42575920943704e-11
ARGSS,3.9180443729985047e-11,-3.0331093317573596e-11
ARGabc,0.0,-2.123936149602043e-10
