,minimum,maximum
23DHMPO,-1000.0,1000.0000000000002
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,0.0,1000.0
26DAPLLATi,0.0,1000.0
2AHBUTI,-1000.0000000000001,999.9999999999998
2DHPL,0.0,0.0
2DMMQ8abc,0.35581830267983167,0.35581830268623
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,3.7261768413827006,3.7261768413890186
2S6HCC,0.0,7.6051605540509e-12
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,0.0
3HAD10M12,3.726176841382699,3.7261768413885035
3HAD11M12,3.7261768413827077,3.7261768413881637
3HAD12M14,3.726176841382698,3.7261768413868968
3HAD13M14,3.726176841382707,3.7261768413881633
3HAD14M16,3.726176841382698,3.7261768413827125
3HAD15M16,3.726176841382707,3.7261768413827183
3HAD4M6,3.726176841382701,3.7261768413827165
3HAD5M6,3.7261768413827094,3.7261768413827165
3HAD6M8,3.7261768413827,3.726176841382709
3HAD7M8,3.726176841382709,3.726176841382724
3HAD8M10,3.7261768413826992,3.726176841382708
3HAD9M10,3.7261768413827085,3.726176841382723
3MOBS,-986.2095031170803,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.726176841382697,3.7261768413827077
3OAR11M12,3.7261768413827077,3.7261768413827223
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.726176841382696,3.7261768413827063
3OAR13M14,3.7261768413827068,3.726176841382722
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.726176841382696,3.7261768413827063
3OAR15M16,3.7261768413827068,3.7261768413827236
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.7261768413826992,3.726176841382708
3OAR5M6,3.726176841382709,3.726176841382724
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.726176841382699,3.7261768413827085
3OAR7M8,3.7261768413827085,3.726176841382724
3OAR80,0.0,0.0
3OAR8M10,3.7261768413826974,3.726176841382708
3OAR8M9,0.0,0.0
3OAR9M10,3.726176841382708,3.7261768413827228
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.726176841382696,3.726176841382707
3OAS11M12,3.726176841382707,3.726176841382722
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.726176841382696,3.726176841382708
3OAS13M14,3.726176841382707,3.726176841382717
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.7261768413827094,3.7261768413827197
3OAS4M3O6,3.7261768413826992,3.7261768413827108
3OAS4M5,0.0,0.0
3OAS4M6,3.726176841382699,3.726176841382708
3OAS5M6,3.726176841382709,3.7261768413827165
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.7261768413826974,3.726176841382707
3OAS7M8,3.726176841382708,3.726176841382719
3OAS80,0.0,0.0
3OAS8M10,3.726176841382697,3.7261768413827077
3OAS8M9,0.0,0.0
3OAS9M10,3.7261768413827077,3.7261768413827117
4ABZt2,-1.0908444892756596e-11,0.0
4HTHDR,0.08094051871922629,0.08094051871944298
4HTHDS,0.08094051871922629,0.08094051871944298
4HTHRS,0.0,0.0
5AIZCDC,0.0,8.637021484994797e-12
5HLTDL,0.0,3.6578827379004e-11
5HTRPt2,0.0,3.768512459559659e-11
5HXKYNDCL,0.0,0.0
5MTHCYST,-9.846876821594263e-12,0.0
6PHBG,0.0,999.9999999999999
6PHBG2,0.0,1000.0
AB6PGH,0.0,999.9999999999999
AB6PGH2,0.0,1000.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACALD,-912.846829271879,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.3558183026825985,0.35581830268260056
ACCOACL,0.0,1000.0
ACCOALYS2,0.0,0.0
ACEDIPIT,-3.1438004420884735e-11,0.0
ACGAMK,0.0,3.702034511802291e-11
ACGAMPM,-3.207958081945046e-11,3.815806525972046e-11
ACGAMT,0.242821556157679,0.24282155615768047
ACGAMt2,0.0,1.0927140818137254e-11
ACGApts,0.0,1.9891322207866804e-11
ACGK,0.0,1.5456469626735087e-11
ACGS,0.0,1.456867439869284e-11
ACHBPL,0.0,2.953784907539662e-11
ACKr,-1000.0000000000001,-999.9999999999766
ACLDC,0.0,2.485525019438851e-11
ACLS_a,0.0,3.374533790969876e-11
ACLS_b,-1.9891322207866768e-11,8.041452797643657e-29
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,1.863088420691359
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.8630884206913534,1.8630884206913574
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,-2.3753382557024406e-12,0.0
ACOAAGPATI17,1.8630884206913534,1.8630884206913574
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,3.7261768413827077,3.72617684138272
ACOCT,0.0,0.0
ACODAr,0.0,5.120002492337894e-12
ACONTa,0.0,999.9999999999999
ACONTb,0.0,999.9999999999998
ACOTA,-5.266263841581114e-12,0.0
ACPS1,0.3558183026825985,0.3558183026826007
ACTD,0.0,877.6850925900649
ACTNDH,-316.5276388850796,1000.0
ACTNdiff,-316.527638885113,1000.0
ACtr,-1000.0,-999.9999999999692
ADA,0.0,1.742477038687029e-11
ADAD,-2.727083887390526e-11,3.553037238170207e-11
ADCL,0.0,9.202110832671027e-12
ADCS,0.0,9.036237785083875e-12
ADEt2,4.398385138027099,4.398385138044181
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.2781634820827
ADK11,-1000.0,1000.0
ADK2,0.3558183026825985,0.3558183026826005
