,minimum,maximum
23DHMPO,-1.1148652594306095e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,0.0,3.4041687310858385e-12
2MBCOATA,5.550375829026761,5.550375829026736
3DGUR,0.0,1000.0
3HAD10M12,5.55037582902676,5.550375829026715
3HAD11M12,5.550375829026776,5.550375829026769
3HAD12M14,5.550375829026761,5.550375829026776
3HAD13M14,5.550375829026777,5.550375829026771
3HAD14M16,5.55037582902676,5.550375829026777
3HAD15M16,5.550375829026778,5.55037582902677
3HAD4M6,5.55037582902676,5.550375829026772
3HAD5M6,5.550375829026773,5.550375829026767
3HAD6M8,5.550375829026761,5.550375829026774
3HAD7M8,5.550375829026773,5.550375829026767
3HAD8M10,5.550375829026761,5.550375829026775
3HAD9M10,5.550375829026775,5.550375829026767
3HBCOAE,3.8249913550326446e-11,1000.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.550375829026761,5.550375829026776
3OAR11M12,5.550375829026776,5.550375829026769
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.550375829026761,5.550375829026776
3OAR13M14,5.550375829026777,5.55037582902677
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,5.550375829026761,5.550375829026777
3OAR15M16,5.550375829026778,5.550375829026771
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.550375829026761,5.550375829026774
3OAR5M6,5.550375829026775,5.550375829026768
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.550375829026761,5.550375829026774
3OAR7M8,5.550375829026775,5.550375829026768
3OAR80,0.0,0.0
3OAR8M10,5.550375829026761,5.550375829026775
3OAR8M9,0.0,0.0
3OAR9M10,5.550375829026775,5.550375829026768
3OAS10M12,5.550375829026761,5.550375829026776
3OAS11M12,5.550375829026776,5.550375829026769
3OAS12M14,5.550375829026761,5.550375829026776
3OAS13M14,5.550375829026778,5.55037582902677
3OAS3M4,5.550375829026775,5.550375829026767
3OAS4M3O6,5.550375829026761,5.550375829026774
3OAS4M6,5.550375829026761,5.550375829026774
3OAS5M6,5.550375829026775,5.550375829026767
3OAS6M8,5.550375829026761,5.550375829026774
3OAS7M8,5.550375829026775,5.550375829026767
3OAS8M10,5.550375829026761,5.550375829026776
3OAS9M10,5.550375829026775,5.550375829026768
4HBZt2,0.20176017508663938,0.2017601750866526
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
AACGLYDH,0.0,0.0
AACPS6,13.875939572566912,13.875939572564095
ABUTD,0.0,1000.0
