,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,0.0,7.796260981185993e-12
2DMMQ8abcpp,0.0,6.582491016216984e-13
2DMMQ8tex,0.0,1.5931820611367995e-12
2HYDOGCOAD,0.0,2.5348222541951802e-11
2HYDOGCOAT,0.0,2.9729637651292566e-11
2HYDOGDH,0.0,2.9729637651292566e-11
2MBCOATA,6.881456665940047,6.881456665941854
3BTCOAI,0.0,0.0
3HAD100,0.0,1.524384291959635e-12
3HAD10M12,6.88145666594005,6.88145666594007
3HAD11M12,6.881456665940067,6.881456665940044
3HAD120,0.0,1.7164206984594331e-12
3HAD12M14,6.881456665940051,6.881456665940068
3HAD13M14,6.881456665940067,6.881456665940068
3HAD140,0.0,979.7835398908875
3HAD14M16,6.88145666594005,6.88145666594007
3HAD15M16,6.881456665940067,6.881456665940651
3HAD160,0.0,4.688473098651434e-13
3HAD180,0.0,6.406898362785511e-12
3HAD40,0.0,1.2471117770447302e-12
3HAD4M6,6.88145666594005,6.88145666594007
3HAD5M6,6.881456665940067,6.881456665940192
3HAD60,0.0,2.1098128943931473e-13
3HAD6M8,6.881456665940051,6.881456665940071
3HAD7M8,6.881456665940067,6.881456665940192
3HAD80,0.0,2.1098128943931466e-13
3HAD8M10,6.881456665940051,6.881456665940071
3HAD9M10,6.881456665940067,6.881456665940192
3HBCD,0.0,0.0
3OAR100,0.0,2.1098128943931463e-13
3OAR10M11,0.0,0.0
3OAR10M12,6.88145666594005,6.88145666594007
3OAR11M12,6.881456665940066,6.881456665940191
3OAR120,0.0,2.1098128943931466e-13
3OAR12M13,0.0,0.0
3OAR12M14,6.88145666594005,6.88145666594007
3OAR13M14,6.881456665940066,6.881456665940191
3OAR140,16.173168087291767,995.9567079781773
3OAR14M15,0.0,0.0
3OAR14M16,6.88145666594005,6.88145666594007
3OAR15M16,6.881456665940066,6.881456665940191
3OAR160,0.0,5.626167718381719e-13
3OAR180,0.0,6.406898362785509e-12
3OAR40,0.0,1.24711177704473e-12
3OAR4M5,0.0,0.0
3OAR4M6,6.88145666594005,6.88145666594007
3OAR5M6,6.881456665940066,6.881456665940191
3OAR60,0.0,2.109812894393147e-13
3OAR6M7,0.0,0.0
3OAR6M8,6.88145666594005,6.88145666594007
3OAR7M8,6.881456665940066,6.881456665940191
3OAR80,0.0,2.1098128943931466e-13
3OAR8M10,6.88145666594005,6.88145666594007
3OAR8M9,0.0,0.0
3OAR9M10,6.881456665940066,6.881456665940191
3OAS100,0.0,2.109812894393146e-13
3OAS10M11,0.0,0.0
3OAS10M12,6.881456665940049,6.881456665940069
3OAS11M12,6.881456665940066,6.881456665940202
3OAS120,0.0,7.38434513037602e-13
3OAS12M13,0.0,0.0
3OAS12M14,6.881456665940049,6.881456665940069
3OAS13M14,6.881456665940059,6.881456665940202
3OAS140,16.173168087291767,995.956707978178
3OAS160,0.0,5.9049267905872866e-12
3OAS180,0.0,6.6145692754184465e-12
