,minimum,maximum
12DGR180ti,1.6455968307589648,1.6455968307589672
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.07149175509067869,0.07149175509692435
2MBCOATA,3.291193661517932,3.2911936615190167
3HAD10M12,3.291193661517932,3.2911936615199013
3HAD11M12,3.2911936615179256,3.2911936615198925
3HAD12M14,3.291193661517932,3.2911936615192587
3HAD13M14,3.2911936615179256,3.2911936615198925
3HAD14M16,3.291193661517932,3.2911936615179354
3HAD15M16,3.291193661517932,3.291193661517936
3HAD4M6,3.291193661517932,3.2911936615179354
3HAD5M6,3.2911936615179256,3.2911936615179385
3HAD6M8,3.291193661517932,3.2911936615179367
3HAD7M8,3.2911936615179256,3.2911936615179385
3HAD8M10,3.291193661517932,3.2911936615179367
3HAD9M10,3.2911936615179256,3.2911936615179385
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.2911936615179314,3.2911936615179362
3OAR11M12,3.291193661517925,3.291193661517938
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.2911936615179314,3.2911936615179362
3OAR13M14,3.291193661517925,3.291193661517938
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.2911936615179314,3.2911936615179362
3OAR15M16,3.291193661517925,3.2911936615179305
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.2911936615179314,3.2911936615179354
3OAR5M6,3.2911936615179256,3.291193661517938
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.2911936615179314,3.2911936615179362
3OAR7M8,3.291193661517925,3.291193661517938
3OAR80,0.0,0.0
3OAR8M10,3.2911936615179314,3.2911936615179362
3OAR8M9,0.0,0.0
3OAR9M10,3.291193661517925,3.291193661517938
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.2911936615179314,3.291193661517935
3OAS11M12,3.291193661517925,3.291193661517931
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.2911936615179314,3.2911936615179367
3OAS13M14,3.2911936615179243,3.2911936615179296
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.291193661517927,3.291193661517931
3OAS4M3O6,3.2911936615179314,3.291193661517935
3OAS4M5,0.0,0.0
3OAS4M6,3.2911936615179314,3.291193661517937
3OAS5M6,3.291193661517925,3.2911936615179327
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.2911936615179314,3.2911936615179354
3OAS7M8,3.291193661517925,3.2911936615179345
3OAS80,0.0,0.0
3OAS8M10,3.2911936615179314,3.2911936615179362
3OAS8M9,0.0,0.0
3OAS9M10,3.291193661517925,3.291193661517937
4NTPPH2,0.0,0.0
5AIZCDC,0.0,2.3178504821493248e-11
5DOAN,0.0,4.358594265810955e-12
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,2.5346029718373976e-11
AB6PGH2,0.0,2.116623313156556e-11
ABUTD,0.0,1000.0
ABUTR,-999.9999999999999,-1.0004693707974628e-12
ACALD,47.3584169981467,273.9815267636778
ACALDt,773.376890234547,1000.0
ACBIPGT,0.31428109622582445,0.31428109622582484
ACCOACL,39.494323938215146,39.494323938215224
ACGAMT,0.21447526527203611,0.21447526527203634
ACGApts,0.0,4.299110151442761e-12
ACKr,-1000.0,-999.9999999999873
ACNAMS,0.0,4.254172232333055e-12
ACOAAGPAT140,0.0,-2.194321617745458e-13
ACOAAGPAT160,0.0,1.1548637369066127e-12
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,3.275488254560955e-13
ACOAAGPATAI17,1.6455968307589657,1.6455968307589663
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.6455968307589657,1.6455968307589688
ACOATA,0.0,0.0
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACOTA,0.0,0.0
ACPS1,0.3142810962258245,0.31428109622582484
ACtr,-999.9999999999998,-999.9999999999953
ADD,66.23246906217673,66.23246906221335
ADK1,166.22307887662348,166.2230788771424
ADK2,0.31428109622582456,0.3142810962348453
ADNCYC,0.0,0.0
ADNUC,0.0,1.7306953938436132e-11
ADOCBIK,0.3142810962258245,0.31428109622582506
ADOCBLS,0.3142810962258245,0.31428109622582506
ADPRDP,0.0,0.0
ADPT,0.0,9.294557278069133e-12
ADSL1r,71.43061355598279,71.43061355602372
ADSL2r,73.47931289333606,73.47931289334709
ADSS,71.43061355598539,71.43061355602289
AGDC,0.0,5.024540988837525e-12
AGPAT120,0.0,1.0962686081015337e-12
AGPAT140,0.0,2.411544931936678e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,7.853073410964988e-13
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHC,-288.49405140155613,0.0
AHCYSNS_r,0.0,288.4940514015383
AHCYSts,1.2571243849033147,1.2571243849032931
AICART,73.47931289333367,73.47931289334538
AIHDUDPMG,0.28596702036271476,0.28596702036271526
AIHDUPDG,0.2859670203627148,0.28596702036271515
AIHPDCOATA,3.2911936615179314,3.291193661517936
AIPDCOATA,0.0,0.0
AIPDUDPG,0.0,0.0
AIPDUDPMG,0.0,0.0
AIRC4,73.47931289333334,73.47931289335166
AKP1,0.0,0.0
ALAALA,0.07149175509067869,0.07149175509085402
ALAASP1c,0.0,9.463768938404999e-12
ALAASPabc,0.0,7.522850358273314e-12
ALAGLN1c,815.9602180917077,815.9602180918962
ALAGLNabc,815.9602180916831,815.9602180918881
ALAGLU1c,0.0,4.122098255733598e-11
ALAGLUabc,0.0,5.7455525756109e-11
ALAGLY1c,0.0,3.952714302631584e-12
ALAGLYabc,0.0,4.930667606469461e-12
ALAHIS1c,0.0,7.198103866315254e-11
ALAHISabc,0.0,5.367143893548789e-11
ALALEU1c,0.0,5.367143893548797e-11
ALALEUabc,0.0,6.110304402982037e-11
ALAPGPL,0.0714917550906787,0.0714917550906788
ALAR,8.507518855790765,8.507518855790776
ALATHR1c,0.0,3.4121996067172956e-12
ALATHRabc,0.0,4.5998219445635004e-12
ALAt4r,-802.8543793154882,-802.8543793152875
ALCD19,-1.019722357797189,1.8692270211822047e-11
ALCD2x,-822.4106224897407,-822.4106224892814
ALCD4,0.0,0.0
ALDD2x,-4.486027984114186e-12,-8.598220302885524e-12
ALKP,0.0,0.0
AMMQT7rev,0.6285621924516174,0.6285621924531893
AMMQT8,0.3142810962258245,0.31428109622691497
AMPTASECG,0.0,3.197281813364355
AMPTASEGC,0.0,3.1972818133646066
APAT,0.0,0.0
