,minimum,maximum
2DMMQ8abc,0.043609316968878375,0.043609316968878396
2MBCOATA,0.3773216275108185,0.37732162751081866
3HAD10M12,0.37732162751081844,0.37732162751081866
3HAD11M12,0.3773216275108184,0.3773216275108186
3HAD12M14,0.3773216275108183,0.3773216275108186
3HAD13M14,0.3773216275108183,0.3773216275108186
3HAD14M16,0.3773216275108184,0.37732162751081866
3HAD15M16,0.3773216275108184,0.37732162751081866
3HAD4M6,0.37732162751081855,0.37732162751081866
3HAD5M6,0.3773216275108177,0.3773216275108193
3HAD6M8,0.3773216275108185,0.37732162751081877
3HAD7M8,0.37732162751081855,0.3773216275108191
3HAD8M10,0.3773216275108184,0.37732162751081877
3HAD9M10,0.3773216275108185,0.377321627510819
3OAR10M12,0.3773216275108184,0.3773216275108188
3OAR11M12,0.37732162751081844,0.37732162751081905
3OAR12M14,0.3773216275108183,0.3773216275108188
3OAR13M14,0.3773216275108183,0.37732162751081894
3OAR14M16,0.3773216275108183,0.3773216275108188
3OAR15M16,0.3773216275108183,0.3773216275108188
3OAR4M6,0.37732162751081855,0.3773216275108188
3OAR5M6,0.37732162751081766,0.37732162751081766
3OAR6M8,0.37732162751081855,0.3773216275108188
3OAR7M8,0.37732162751081855,0.3773216275108191
3OAR8M10,0.37732162751081844,0.3773216275108188
3OAR9M10,0.37732162751081855,0.37732162751081905
3OAS10M12,0.3773216275108184,0.3773216275108188
3OAS11M12,0.3773216275108184,0.37732162751081894
3OAS12M14,0.3773216275108183,0.3773216275108188
3OAS13M14,0.3773216275108183,0.3773216275108188
3OAS3M4,0.3773216275108177,0.3773216275108177
3OAS4M3O6,0.37732162751081855,0.3773216275108188
3OAS4M6,0.37732162751081855,0.3773216275108188
3OAS5M6,0.3773216275108186,0.37732162751081916
3OAS6M8,0.3773216275108185,0.3773216275108188
3OAS7M8,0.37732162751081855,0.3773216275108191
3OAS8M10,0.3773216275108184,0.3773216275108188
3OAS9M10,0.3773216275108185,0.377321627510819
5DOAN,0.0,0.0
5MTHFGLUNFT,0.0,0.0
