,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-7.701570886006414e-11,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25DOPOX,0.0,0.0
26DAP_Mtex,2.3198495977340774,2.3198495978223215
26DAPt2rpp,2.319849597734078,2.3198495978186893
2AHBUTI,0.0,8.427362294749095e-11
2CLDHOFAL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HYOXPLACt2rpp,-4.1322044533118606e-11,0.0
2HYOXPLACtex,-3.8877370001543577e-11,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,7.90108624738634,7.901086247401084
2MEBCOADH,-1000.0,-7.90108624738635
2MECOAOX,-1000.0,992.0989137526138
2OMMBOX,0.0,0.0
2OMPHH,0.0,3.4301218828491926e-12
2RCDHOFAL,0.0,0.0
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,0.0
3ABUTCOAL,0.0,0.0
3CARLPDH,0.0,0.0
3HAD10M12,7.90108624738634,7.901086247386507
3HAD11M12,7.901086247386346,7.901086247388963
3HAD12M14,7.90108624738634,7.901086247386174
3HAD13M14,7.901086247386345,7.901086247388961
3HAD14M16,7.90108624738634,7.901086247386174
3HAD15M16,7.901086247386343,7.901086247386475
3HAD4M6,7.90108624738634,7.901086247386538
3HAD5M6,7.90108624738635,7.9010862473889665
3HAD6M8,7.90108624738634,7.901086247386177
3HAD7M8,7.901086247386349,7.901086247388966
3HAD8M10,7.90108624738634,7.901086247386175
3HAD9M10,7.901086247386347,7.901086247388964
3HBCOAOX,0.0,0.0
3HPCOAHL,0.0,0.0
3MEBCOADH,-969.6711966389491,992.0989137526111
3MOBDC2,0.0,7.0213523704193516e-12
3MOBS,-8.782766201933229e-11,0.0
3MOPDC2,0.0,977.5722828863337
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.901086247386339,7.901086247404114
3OAR11M12,7.901086247386345,7.901086247404069
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.901086247386339,7.901086247404532
3OAR13M14,7.901086247386345,7.901086247404074
3OAR140,18.569556149884185,18.569556149914508
3OAR14M15,0.0,0.0
3OAR14M16,7.901086247386339,7.901086247386491
3OAR15M16,7.901086247386344,7.901086247386504
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.901086247386339,7.901086247386538
3OAR5M6,7.901086247386351,7.901086247387215
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.901086247386339,7.901086247386354
3OAR7M8,7.901086247386349,7.901086247387213
3OAR80,0.0,0.0
3OAR8M10,7.901086247386339,7.901086247386177
3OAR8M9,0.0,0.0
3OAR9M10,7.901086247386346,7.901086247387211
3OAS100,-1.4419026955927566e-11,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.901086247386338,7.901086247386173
3OAS11M12,7.901086247386346,7.90108624738721
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.901086247386338,7.901086247386353
3OAS13M14,7.901086247386343,7.901086247386504
3OAS140,18.569556149884185,18.56955614991594
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.90108624738635,7.901086247402987
3OAS4M3O6,7.901086247386338,7.901086247404531
3OAS4M5,0.0,0.0
3OAS4M6,7.901086247386338,7.901086247403784
3OAS5M6,7.901086247386349,7.901086247404076
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.901086247386338,7.901086247404531
3OAS7M8,7.901086247386347,7.901086247404075
3OAS80,0.0,0.0
3OAS8M10,7.901086247386338,7.901086247404531
3OAS8M9,0.0,0.0
3OAS9M10,7.901086247386345,7.901086247404074
3OXCOAT,0.0,0.0
4GBTAH,-1000.0,4.5481376097095016e-11
4HBZCL,0.0,0.0
4HPHACtex,-988.8065471411725,-193.2856463586989
4HPROI,0.0,0.0
