,50.06,21409637,21409637.1,U,0,unclassified
0,49.94,21357103,1191,R,1,root
1,49.93,21354086,3628,R1,131567,cellular organisms
2,49.87,21328601,84902,D,2,Bacteria
3,36.99,15821025,108,D1,1783270,FCB group
4,36.99,15819248,778,D2,68336,Bacteroidetes/Chlorobi group
5,36.97,15812684,36296,P,976,Bacteroidetes
6,36.61,15658246,2562,C,200643,Bacteroidia
7,36.59,15650235,295880,O,171549,Bacteroidales
8,17.58,7518353,0,F,815,Bacteroidaceae
9,17.58,7518353,395825,G,816,Bacteroides
10,2.93,1251130,1250127,S,28116,Bacteroides ovatus
11,0.0,1003,1003,S1,1379690,Bacteroides ovatus V975
12,2.81,1201032,1099445,S,817,Bacteroides fragilis
13,0.1,44562,44562,S1,862962,Bacteroides fragilis 638R
14,0.08,35405,35405,S1,272559,Bacteroides fragilis NCTC 9343
15,0.05,21620,21620,S1,295405,Bacteroides fragilis YCH46
16,2.49,1065756,720940,S,818,Bacteroides thetaiotaomicron
17,0.81,344816,344816,S1,226186,Bacteroides thetaiotaomicron VPI-5482
18,2.25,961436,961436,S,246787,Bacteroides cellulosilyticus
19,2.17,926332,0,S,357276,Bacteroides dorei
20,2.17,926332,926332,S1,997877,Bacteroides dorei CL03T12C01
21,1.53,653063,653063,S,47678,Bacteroides caccae
22,1.33,567268,275260,S,821,Bacteroides vulgatus
23,0.68,292008,292008,S1,435590,Bacteroides vulgatus ATCC 8482
24,0.55,234861,234861,S,1796613,Bacteroides caecimuris
25,0.2,87518,0,S,290053,Bacteroides helcogenes
26,0.2,87518,87518,S1,693979,Bacteroides helcogenes P 36-108
27,0.17,71228,0,S,376805,Bacteroides salanitronis
28,0.17,71228,71228,S1,667015,Bacteroides salanitronis DSM 18170
29,0.13,57431,57431,S,28113,Bacteroides heparinolyticus
30,0.1,41089,41089,S,28119,Bacteroides zoogleoformans
31,0.01,4384,0,S,151276,Bacteroides coprosuis
32,0.01,4384,4384,S1,679937,Bacteroides coprosuis DSM 18011
33,8.34,3566132,0,F,1853231,Odoribacteraceae
34,8.34,3566132,0,G,283168,Odoribacter
35,8.34,3566132,3563922,S,28118,Odoribacter splanchnicus
36,0.01,2210,2210,S1,709991,Odoribacter splanchnicus DSM 20712
37,6.45,2757252,962,F,2005525,Tannerellaceae
38,6.4,2737502,1469187,G,375288,Parabacteroides
39,1.95,833465,0,S,823,Parabacteroides distasonis
40,1.95,833465,833465,S1,435591,Parabacteroides distasonis ATCC 8503
41,1.02,434850,434850,S,2025876,Parabacteroides sp. CT06
42,0.04,18788,668,G,195950,Tannerella
43,0.03,10750,7601,S,28112,Tannerella forsythia
44,0.0,1230,1230,S1,1307832,Tannerella forsythia 3313
45,0.0,1127,1127,S1,1307833,Tannerella forsythia KS16
46,0.0,792,792,S1,203275,Tannerella forsythia 92A2
47,0.02,7370,7370,S,712710,Tannerella sp. oral taxon HOT-286
48,3.01,1287473,513,F,171550,Rikenellaceae
49,3.0,1283097,60527,G,239759,Alistipes
50,2.35,1005186,0,S,214856,Alistipes finegoldii
51,2.35,1005186,1005186,S1,679935,Alistipes finegoldii DSM 17242
52,0.51,217384,0,S,328814,Alistipes shahii
53,0.51,217384,217384,S1,717959,Alistipes shahii WAL 8301
54,0.01,3863,0,G,1611681,Mucinivorans
55,0.01,3863,3863,S,1433126,Mucinivorans hirudinis
56,0.38,163260,0,F,171552,Prevotellaceae
57,0.38,163260,17443,G,838,Prevotella
58,0.12,50212,48036,S,28131,Prevotella intermedia
59,0.01,2176,2176,S1,1122984,Prevotella intermedia ATCC 25611 = DSM 20706
60,0.05,19441,0,S,52227,Prevotella dentalis
61,0.05,19441,19441,S1,908937,Prevotella dentalis DSM 3688
62,0.03,14681,14681,S,76123,Prevotella enoeca
63,0.03,11543,11543,S,1177574,Prevotella jejuni
64,0.03,11259,0,S,589436,Prevotella fusca
65,0.03,11259,11259,S1,1236517,Prevotella fusca JCM 17724
66,0.02,10017,0,S,28129,Prevotella denticola
67,0.02,10017,10017,S1,767031,Prevotella denticola F0289
68,0.02,7632,0,S,589437,Prevotella scopos
69,0.02,7632,7632,S1,1236518,Prevotella scopos JCM 17725
70,0.02,7614,0,S,839,Prevotella ruminicola
71,0.02,7614,7614,S1,264731,Prevotella ruminicola 23
72,0.02,6920,6920,S,28132,Prevotella melaninogenica
73,0.02,6498,0,S,652716,Prevotella sp. oral taxon 299
74,0.02,6498,6498,S1,575614,Prevotella sp. oral taxon 299 str. F0039
75,0.06,23654,84,F,171551,Porphyromonadaceae
76,0.04,15564,576,G,836,Porphyromonas
77,0.02,8869,8715,S,837,Porphyromonas gingivalis
78,0.0,153,153,S1,1403336,Porphyromonas gingivalis AJW4
79,0.0,1,1,S1,242619,Porphyromonas gingivalis W83
80,0.01,4227,4227,S,393921,Porphyromonas crevioricanis
81,0.0,1892,0,S,28123,Porphyromonas asaccharolytica
82,0.0,1892,1892,S1,879243,Porphyromonas asaccharolytica DSM 20707
83,0.01,6305,0,G,307628,Petrimonas
84,0.01,6305,6305,S,1642646,Petrimonas mucosa
85,0.0,1701,0,G,1784836,Fermentimonas
86,0.0,1701,1701,S,1562970,Fermentimonas caenicola
87,0.04,18757,0,F,2005519,Barnesiellaceae
88,0.04,18757,0,G,397864,Barnesiella
89,0.04,18757,0,S,397865,Barnesiella viscericola
90,0.04,18757,18757,S1,880074,Barnesiella viscericola DSM 18177
91,0.02,8205,0,F,2005473,Muribaculaceae
92,0.02,8205,0,G,1918540,Muribaculum
93,0.02,8205,8205,S,1796646,Muribaculum intestinale
94,0.01,4473,0,F,2005520,Dysgonamonadaceae
95,0.01,4473,0,G,294702,Proteiniphilum
96,0.01,4473,4473,S,1642647,Proteiniphilum saccharofermentans
97,0.01,3505,0,F,2005523,Paludibacteraceae
98,0.01,3505,0,G,346096,Paludibacter
99,0.01,3505,0,S,185300,Paludibacter propionicigenes
100,0.01,3505,3505,S1,694427,Paludibacter propionicigenes WB4
101,0.01,3291,0,O1,333046,unclassified Bacteroidales
102,0.0,1674,0,O2,185291,unclassified Bacteroidales (miscellaneous)
103,0.0,1674,1674,S,1400053,Bacteroidales bacterium CF
