ASV,cpd35610,cpd01242,cpd01293,cpd00035,cpd01055,cpd00224,cpd00132,cpd00041,cpd00158,cpd00526,cpd00137,cpd00084,cpd01107,cpd02733,cpd01741,cpd01171,cpd00082,cpd00751,cpd00106,cpd00108,cpd00027,cpd00023,cpd00033,cpd01113,cpd00119,cpd00359,cpd00322,cpd00107,cpd01122,cpd02475,cpd00039,cpd00130,cpd03198,cpd00060,cpd03847,cpd00122,cpd00218,cpd03846,cpd00064,cpd00214,cpd00066,cpd07053,cpd00129,cpd00020,cpd00382,cpd00396,cpd00105,cpd00550,cpd00036,cpd00076,cpd00161,cpd00069,cpd04945,cpd00597,cpd00156,cpd00024,cpd00536,cpd00392,cpd00121,cpd00851,cpd00029,cpd00211,cpd00141
Name,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,Thyminose,5-Oxoproline,L-Alanine,D-Allose,L-Arabinose,L-Asparagine,L-Aspartate,CELB,Cholate,Citrate,L-Cysteine,Decanoate,Deoxycholate,ddca,Dulcose,D-Fructose,L-Fucose,Fumarate,Galactose,D-Glucose,L-Glutamate,Glycine,Hexanoate,L-Histidine,indol,L-Isoleucine,L-Leucine,Linoleate,Lithocholate,L-Lysine,L-Malate,Melibiose,L-Methionine,Myristic acid,N-Acetyl-D-glucosamine,Niacin,octanoate,Ornithine,Palmitate,L-Phenylalanine,Picolinic acid,L-Proline,Pyruvate,Melitose,L-Rhamnose,D-Ribose,D-Serine,Succinate,Sucrose,L-Threonine,L-Tyrosine,Ursodiol,Valerate,L-Valine,2-Oxoglutarate,Oleate,Phycite,L-Inositol,trans-4-Hydroxy-L-proline,Acetate,Butyrate,Propionate
Helicobacter.1,0.0,2.300067600109088,0.0,0.7569811667679593,0.0,2.620463945008937,1.6990517645297825,1.405822166854781,5.793830893532729,0.0,0.0,0.6593548921918552,0.0,0.0,0.0,0.0,3.4762985361196463,0.0,2.022701950784494,0.0,3.186606991443021,0.0,0.38121200465793265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0227019507845068,3.7659900807962816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0674057849695961,5.96969322391152,0.0,2.9116266055654867,0.0,1.3211625144616137,5.7938308935327365,1.3907416972675521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corynebacterium.1,0.0,2.2036651898130275,0.0,0.7977354429668148,0.0,0.0,1.1774252745982943,1.9643096348505582,0.0,0.0,0.0,0.8623489673074969,0.0,0.0,0.0,0.0,3.277245666901439,0.0,1.9643096348505569,3.3142964523209,3.3142964523209,0.0,0.3700300074350714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9643096348505606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0427342972603588,3.314296452320911,0.0,1.6285767050197641,0.0,1.0402570785147234,0.0,0.0948751707761247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilophila.1,0.0,0.0,0.0,1.3138320314185772,0.0,0.0,1.4604522476759088,2.280614092273743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2559903696580106,0.0,3.742109306286419,2.136839075011212,0.5606925531137987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5121463003119389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9075674537831535,1.1074472386951868,0.0,0.0,0.0,0.0,1.1733594242857641,0.0,0.0,0.0,0.0,0.0,0.0,2.521727377386366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coprococcus.1,0.0,2.6574040974746103,0.0,0.8858013658248673,0.0,3.2479383413578473,1.0272484569705194,1.3669307755387172,6.222462899072163,0.0,2.5977405042447685,0.27894387401264736,0.0,0.0,0.0,0.0,3.7742807748470413,2.0668698535913674,1.7086634694233858,1.3260986506219319,3.7742807748470257,0.0,0.8016729261656421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8116446520499467,4.692349071431412,0.0,0.0,3.998507494819185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476335609708115,7.44655396118466,0.0,3.247938341357864,1.4763356097081197,0.0,4.998371836959552,1.9792633369795656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29526712194161775,0.0,0.0
Erysipelotrichaceae.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436880386990682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8362143656330026,0.0,1.6223571724455208,0.0,2.8791796020605007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8439443137542015,0.0,0.0,0.0,3.5105652219580277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982490528028239,0.0,0.0,2.4102223183915554,0.0,0.4443579387226541,5.7583592041209934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium.1,0.0,2.333595144826413,0.0,1.4000460014363816,0.0,2.8868987156789183,1.6556477679136992,2.452603017529931,7.990795495920632,0.0,3.704435340675036,0.4942676481190275,0.18918636899985036,0.0,0.6373236670153993,3.436509574609114,4.399543231210473,0.0,2.452603017529947,2.3335951448264005,4.3995432312104805,2.251453446666803,0.8100250774296749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.452603017529943,6.576495408147149,0.0,0.9356691779362012,4.879335302818852,0.0,0.0,0.0,0.9721770478263707,0.0,0.0,0.0,1.594989115560439,10.253675636358421,2.6164551623810524,3.7811742517085474,1.5949891155603086,1.812432060411935,7.990795495920702,2.484076904117643,0.0,0.0,0.0,0.0,3.2017877542802813,0.0,0.0,0.0,0.0,0.6025514436561626,0.0,0.0
Kandleria.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finegoldia.1,0.0,2.26233801798086,0.0,0.0,0.0,0.0,1.2527564331190642,2.0038294880312013,6.8619079976001,0.0,1.773602686909751,0.0,0.0,0.0,0.0,0.0,3.3935070269713075,0.0,2.2900908434642466,0.0,3.4301036097395823,0.0,0.3761803400127923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003829488031213,3.4177745255478165,0.0,0.0,3.545941070255876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0606955318347535,0.0,0.0,2.8584196747829953,0.0,0.7825071943462378,0.0,1.3654570183250214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium.1,0.0,2.0619622724454847,0.0,0.8995694328208746,0.0,2.13515530722248,1.766837367127574,2.0989953432487143,4.473658738942345,0.0,2.7349494629965263,0.6852582866042969,0.0,0.0,0.0,0.0,2.8867471814236745,0.0,2.0989953432487107,1.1184146847355823,2.6435256184659326,1.0859940144083582,0.38941666055220636,0.0,0.1272208381668382,0.0,0.0,0.0,0.0,0.0,0.0,2.0989953432486934,3.2535699919580514,0.0,0.0,2.930910794569682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946348697941335,5.083703112434533,0.0,1.2200887469842825,0.0,1.4992823880347836,4.47365873894236,0.0,0.0,0.0,0.0,0.0,1.4809009287386559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
