,cpd35610,cpd01242,cpd01293,cpd00035,cpd01055,cpd00224,cpd00132,cpd00041,cpd00158,cpd00526,cpd00137,cpd00084,cpd01107,cpd02733,cpd01741,cpd01171,cpd00082,cpd00751,cpd00106,cpd00108,cpd00027,cpd00023,cpd00033,cpd01113,cpd00119,cpd00359,cpd00322,cpd00107,cpd01122,cpd02475,cpd00039,cpd00130,cpd03198,cpd00060,cpd03847,cpd00122,cpd00218,cpd03846,cpd00064,cpd00214,cpd00066,cpd07053,cpd00129,cpd00020,cpd00382,cpd00396,cpd00105,cpd00550,cpd00036,cpd00076,cpd00161,cpd00069,cpd04945,cpd00597,cpd00156,cpd00024,cpd00536,cpd00392,cpd00121,cpd00851,cpd00029,cpd00211,cpd00141
cpd35610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd01242,,1.0,0.2179379478717491,0.9687649806987949,,0.9874576527394927,0.9021724925492267,0.9138448328481473,0.9585110366726943,,0.9022307790290127,0.9648182673874399,0.35483466033912714,,0.37082329199173814,0.407416560861984,0.92827535061434,0.32057193374142445,0.9483250716504968,0.9177521360373603,0.927048467527995,0.39339590111302997,0.898066722098278,,-0.158868200877645,,-0.03119119947971058,,,,,0.9108201691113925,0.9623337146030493,-0.005783433164412705,0.3583411264106519,0.9689976169374935,,0.3005381564928836,0.22528709406773215,0.8062676064962506,,,0.33721553454133407,0.9536154442216462,0.9713374519895344,0.9150079848006242,0.9378466960226641,0.9579224806132909,0.9482461708820888,0.9204973375252657,0.3598374561283294,-0.08352200620593547,,,-0.23033815817561518,0.39079257903375564,,,,,0.918934004907815,,-0.04801763812538583
cpd01293,,0.2179379478717491,1.0,0.20499098860176143,,0.18998988571541556,0.11367104779988087,0.13114046342610297,0.1955159700254154,,0.17940654465094605,0.1564398236114428,0.1902511849769765,,0.2965448454320791,0.278808663228523,0.12157367470799964,0.5232801764214687,0.2266860770747163,0.16006410454881415,0.18210717063993265,0.16437262593755952,0.19953740763694772,,-0.19161672273431196,,-0.14821504070952277,,,,,0.13315703614745314,0.22056306509175813,-0.1507723052767617,0.3018814785628555,0.19230526547293791,,-0.16364637170919988,0.14944141804789515,0.3631174905088672,,,0.22337687414557983,0.17569806448190395,0.16922647466512813,0.25746555284589234,0.1872503147915226,0.24012847496900508,0.2524273027330033,0.2761516982775222,0.29987995684870544,-0.11373703733873174,,,-0.12086067814785131,0.17005907632723904,,,,,0.23960560504606332,,-0.15333852546197116
cpd00035,,0.9687649806987949,0.20499098860176143,1.0,,0.9857862342440212,0.9439583670877234,0.9594903923416466,0.96549746809845,,0.9754773271287646,0.9837907419668392,0.47186664838924636,,0.44196885834767674,0.4130752232029117,0.9520032146168341,0.2682844744202339,0.9304192795554235,0.9731757152960309,0.9496252440546823,0.40964014457575143,0.9656817644526374,,-0.11886417142880265,,-0.07514907943192332,,,,,0.9631201597186593,0.9777094116162927,-0.06725815685524367,0.41725125099426197,0.9807819917910722,,0.4436086121822623,0.21344986376806402,0.8481210757639284,,,0.288349517389205,0.9905607671028156,0.982735505404895,0.9611395376771071,0.9756675599921016,0.9607604097235318,0.9347690541532493,0.8975331036131327,0.35773043925959347,-0.0814278779294785,,,-0.09424198900377048,0.4136129850084817,,,,,0.9595821226074537,,-0.053571727000901355
cpd01055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd00224,,0.9874576527394927,0.18998988571541556,0.9857862342440212,,1.0,0.917256240215296,0.9352141451259259,0.966686209596088,,0.9486602034631995,0.9883020484303389,0.4255152300588047,,0.41089589718045383,0.40791439800472457,0.943315328250144,0.271352024764708,0.9174552706210842,0.9538345994230341,0.9328713769344059,0.3903906718841195,0.9298469772744924,,-0.19864442028553048,,-0.08976768888748478,,,,,0.9354108699516754,0.9655123195586776,-0.06462612003085101,0.3873104533720143,0.9821540017798809,,0.4206415504297286,0.18387386527460575,0.8204053722770231,,,0.28414226827228084,0.974539039010385,0.9853355741152872,0.9475190889028045,0.959174858899283,0.9653564705730955,0.9224534856988928,0.8938085192062993,0.3346420250674611,-0.13713451798273074,,,-0.18050729912694616,0.3904820680877005,,,,,0.9386297260685766,,-0.03131855808917969
cpd00132,,0.9021724925492267,0.11367104779988087,0.9439583670877234,,0.917256240215296,1.0,0.9967119918198879,0.9576608367545739,,0.9275685678591413,0.911102993443023,0.5544095129719077,,0.49205797467988954,0.45580563743874514,0.9863858108840435,0.2515552415836503,0.916102516512532,0.9268592594492279,0.9840028836823425,0.5442044649715838,0.9363405701981559,,0.09885927455562138,,0.028615811490707316,,,,,0.9945062484170406,0.9551338263846543,0.022007780456859857,0.46710849578412517,0.9399448724759787,,0.5451204593574386,0.43188435345952486,0.7831429569844431,,,0.44144717467902334,0.9752718778994633,0.9495033690337789,0.890398036689121,0.9718119878880195,0.8507177751229067,0.8939352968933086,0.8307013542883505,0.41073055844044454,0.04345394149989988,,,0.00224752519894365,0.5488951160063762,,,,,0.884303042983523,,-0.024071893791572933
cpd00041,,0.9138448328481473,0.13114046342610297,0.9594903923416466,,0.9352141451259259,0.9967119918198879,1.0,0.9651537032897799,,0.9514252855973382,0.9293734399368581,0.554707131667733,,0.4933809471979154,0.45741512772838333,0.986482851261671,0.25105049036466565,0.9150128510666333,0.9522584593830316,0.9809026758099882,0.5050402496447123,0.9576622065612667,,0.04647908927006448,,-0.01995973619041255,,,,,0.9991009951974511,0.9659864716223842,-0.026508020381629,0.4657502596137094,0.9516780159838755,,0.5566216490247423,0.3908001750285249,0.80391962852417,,,0.3957457300550911,0.9848759380913651,0.9640628848945243,0.9199142414680125,0.9778641210308395,0.8730793559818895,0.8995531969085677,0.8485060336516979,0.4012712065080406,0.0023946681179977196,,,-0.01883265559186594,0.510869266496594,,,,,0.9106697309786427,,-0.05561980552856439
cpd00158,,0.9585110366726943,0.1955159700254154,0.96549746809845,,0.966686209596088,0.9576608367545739,0.9651537032897799,1.0,,0.9289094835406493,0.9407907966946774,0.550542192082876,,0.5509278809757753,0.5779715264442092,0.977626521418361,0.4054969505691141,0.925893754467947,0.9289107972344419,0.9837028533586893,0.5644601993265733,0.9348832609955467,,-0.05079623554035795,,0.02870378886595998,,,,,0.9625208283183746,0.9871199102315279,0.037692408368744414,0.5361549898167591,0.9878090892281065,,0.45610786533848086,0.39444052730008355,0.8484091409802942,,,0.47695707526028325,0.9777992999125876,0.9850794639167435,0.9358726207925937,0.9798978694819338,0.9040506442435309,0.912111995798475,0.8971060865770916,0.5230940504113895,0.011656909813367328,,,-0.1796404581534363,0.5655348242219085,,,,,0.9002407979355929,,-0.07762904645500686
cpd00526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd00137,,0.9022307790290127,0.17940654465094605,0.9754773271287646,,0.9486602034631995,0.9275685678591413,0.9514252855973382,0.9289094835406493,,1.0,0.9606991442775009,0.5520904935529809,,0.48452327105842785,0.4004617109697057,0.9280847609302026,0.2063154461172918,0.8577648550071959,0.9867563734548829,0.9143200520482664,0.3667010614241806,0.9817808708176303,,-0.13890327608659797,,-0.17995211566840852,,,,,0.9601713060947448,0.9413520144346943,-0.1855112609888829,0.44609733191253803,0.9457541325089704,,0.569985913251785,0.17260209898818887,0.8472027122898019,,,0.19666272530575832,0.9738643057542888,0.9541286045267529,0.9720749435332439,0.9572758187799291,0.9267222233708482,0.8702535444431325,0.8392987731098517,0.3152273796623435,-0.14026719774591864,,,-0.01108528557316522,0.37651987887309213,,,,,0.9615647789515791,,-0.09731507803942319
cpd00084,,0.9648182673874399,0.1564398236114428,0.9837907419668392,,0.9883020484303389,0.911102993443023,0.9293734399368581,0.9407907966946774,,0.9606991442775009,1.0,0.3985239065730246,,0.35097713467478037,0.3126678327616716,0.9262486664294883,0.16095709182095663,0.8842997027055816,0.9582859201545656,0.9120767703792132,0.3497214833192282,0.9223274695686214,,-0.229071535346263,,-0.13338406952346446,,,,,0.932777256516427,0.9415224785666841,-0.1061108316371718,0.3189790422657342,0.9706894343821039,,0.48122270538031925,0.10936469625215933,0.7731398860362486,,,0.2131140361563642,0.9707623282740584,0.9683666953704314,0.9311684171198752,0.9509761259619259,0.9517134837215958,0.8965318360102082,0.8379521379785073,0.23807479118265373,-0.18371022046371568,,,-0.14238299192100354,0.3488513622847156,,,,,0.9297701249255568,,-0.005706333798069139
cpd01107,,0.35483466033912714,0.1902511849769765,0.47186664838924636,,0.4255152300588047,0.5544095129719077,0.554707131667733,0.550542192082876,,0.5520904935529809,0.3985239065730246,1.0,,0.953624462215276,0.7641539940298256,0.591408868863901,0.5073169146865569,0.3719127178829624,0.46492650861149426,0.5956484088364757,0.759863779714756,0.5609969225856775,,0.2197707586072973,,0.06871877201053371,,,,,0.564869796108387,0.48924431440914734,0.028912938310193217,0.9261330362162651,0.5128468395019667,,0.5719692836684905,0.4616799549134256,0.6940822729529224,,,0.4897573499755297,0.5428572342250039,0.4943484856821559,0.5541424745668563,0.6074046143411393,0.4242030506677835,0.3306266832649014,0.37425031162481964,0.6605721835321048,0.14567524411044605,,,0.39758576073205865,0.7851980468496805,,,,,0.4561655958494903,,0.10936936361930359
cpd02733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd01741,,0.37082329199173814,0.2965448454320791,0.44196885834767674,,0.41089589718045383,0.49205797467988954,0.4933809471979154,0.5509278809757753,,0.48452327105842785,0.35097713467478037,0.953624462215276,,1.0,0.8870898416228087,0.5425673341684032,0.7362098466362724,0.4083082083074407,0.4050639381239329,0.5694810649211173,0.7919788436218673,0.525089497458596,,0.19428071841310798,,0.12695222842523238,,,,,0.5014361183610591,0.49741661600661846,0.08552570110852169,0.995006419090963,0.49613816482729406,,0.3412651102732542,0.5582098213790034,0.7536733501490464,,,0.6142863419014251,0.49616738551823536,0.47081559073539236,0.5483652344543725,0.562179912152448,0.4299133383987755,0.37009702989235255,0.45477075756694957,0.818362194146292,0.21188432608347707,,,0.23522559227281112,0.8137143983245305,,,,,0.4427857656523789,,-0.002049728460399658
cpd01171,,0.407416560861984,0.278808663228523,0.4130752232029117,,0.40791439800472457,0.45580563743874514,0.45741512772838333,0.5779715264442092,,0.4004617109697057,0.3126678327616716,0.7641539940298256,,0.8870898416228087,1.0,0.5214009928713319,0.8433059652485705,0.42933590312906605,0.3712982255577859,0.5657431204004433,0.7444828968671849,0.47799820271848764,,0.18692511001562678,,0.2673772603814667,,,,,0.45329477113017963,0.5282139285631748,0.2311891303593295,0.9100873798347257,0.510398187452279,,0.1877002378224054,0.6163327751712622,0.6815490030870125,,,0.6890576365864974,0.45653067306942785,0.4918694552319193,0.5069864143558431,0.5227710252126353,0.37116609508134407,0.37928361946312433,0.5387025958764552,0.9648808953095538,0.34273291210080586,,,-0.11238626749467431,0.7581353310837025,,,,,0.37826583929178914,,-0.1890113401460419
cpd00082,,0.92827535061434,0.12157367470799964,0.9520032146168341,,0.943315328250144,0.9863858108840435,0.986482851261671,0.977626521418361,,0.9280847609302026,0.9262486664294883,0.591408868863901,,0.5425673341684032,0.5214009928713319,1.0,0.29658341967430374,0.9068891605851193,0.9249489459484781,0.9921941753231559,0.5747578791626451,0.9284909565744128,,0.05218554059873674,,0.04270323167894678,,,,,0.9830393313497625,0.9584740440882349,0.04697134243183917,0.5187364810873784,0.966433782513194,,0.5441363341031644,0.3873830808298674,0.8081451291438422,,,0.4426665768266577,0.9825392462682497,0.9730315275750936,0.9029071744263445,0.9884967581178646,0.8784686939545567,0.8799218362738281,0.8438078333271535,0.45202341865210793,0.02662169463801044,,,-0.022268084101693706,0.580022470425569,,,,,0.8817543427332303,,0.020093422992416156
cpd00751,,0.32057193374142445,0.5232801764214687,0.2682844744202339,,0.271352024764708,0.2515552415836503,0.25105049036466565,0.4054969505691141,,0.2063154461172918,0.16095709182095663,0.5073169146865569,,0.7362098466362724,0.8433059652485705,0.29658341967430374,1.0,0.41231884178207595,0.17841454628255957,0.37139887734207055,0.6013989885945986,0.3120898641577618,,0.08311376683267734,,0.1918023582150679,,,,,0.24888871637007193,0.39800496490585563,0.15852584305472375,0.7806677323298362,0.3246926417787049,,-0.2729203436821514,0.6480117074373923,0.6385731253763496,,,0.72390474177269,0.27107118810731573,0.296570466882882,0.37643525834618397,0.31193504493889523,0.31650053130824585,0.3930059243509156,0.5194759929424129,0.8905966333733013,0.2755613696336437,,,-0.21481111020053226,0.6071372399201176,,,,,0.300976465840082,,-0.2753976262796062
cpd00106,,0.9483250716504968,0.2266860770747163,0.9304192795554235,,0.9174552706210842,0.916102516512532,0.9150128510666333,0.925893754467947,,0.8577648550071959,0.8842997027055816,0.3719127178829624,,0.4083082083074407,0.42933590312906605,0.9068891605851193,0.41231884178207595,1.0,0.8733263845713876,0.9241441487107703,0.4431917404916816,0.9003169181291905,,0.04088374942908061,,0.05355674078497189,,,,,0.912412616312406,0.9569943863478301,0.046886001041596036,0.40751937110816755,0.9042367362154051,,0.18087122527747912,0.42747637226765667,0.8401520413547245,,,0.4604911256655715,0.9228607737124952,0.9135321010055723,0.883170404045007,0.901940417129745,0.9132017586052701,0.9927822869236367,0.9487369467945813,0.43870219047963516,0.07387389620807368,,,-0.1245652247074312,0.44292129811790576,,,,,0.9149289821433202,,-0.11146501230749671
cpd00108,,0.9177521360373603,0.16006410454881415,0.9731757152960309,,0.9538345994230341,0.9268592594492279,0.9522584593830316,0.9289107972344419,,0.9867563734548829,0.9582859201545656,0.46492650861149426,,0.4050639381239329,0.3712982255577859,0.9249489459484781,0.17841454628255957,0.8733263845713876,1.0,0.908682940242794,0.2858323033824098,0.9795883946390582,,-0.14109354858302228,,-0.18946272879040554,,,,,0.9565678928289093,0.950179627130648,-0.1928211582253097,0.369666277671058,0.9448895368026663,,0.5350931278927943,0.15885728163193744,0.8163199713203969,,,0.15593306549645514,0.9669328022260594,0.9652398447236322,0.9705853897946597,0.9436889566840091,0.9199749498455692,0.8853470558806361,0.8714017057517097,0.2878698419235634,-0.14995022691408172,,,-0.08285327617746678,0.2947609704687935,,,,,0.9651627146878076,,-0.14265623934670635
cpd00027,,0.927048467527995,0.18210717063993265,0.9496252440546823,,0.9328713769344059,0.9840028836823425,0.9809026758099882,0.9837028533586893,,0.9143200520482664,0.9120767703792132,0.5956484088364757,,0.5694810649211173,0.5657431204004433,0.9921941753231559,0.37139887734207055,0.9241441487107703,0.908682940242794,1.0,0.6231644912116769,0.9250207927986325,,0.08106776440656416,,0.09143083815768593,,,,,0.9776403270680029,0.9694124052117311,0.09109138662016233,0.553175171225465,0.967356896152131,,0.4907490293912881,0.44901018683100224,0.8263553484843047,,,0.5160683716868765,0.9770522637671546,0.9655267128604739,0.8984978828127639,0.9865414070130847,0.8682826637596152,0.896614751593088,0.8598431709269229,0.521943969108637,0.0842454015114711,,,-0.05438844192965368,0.6268692705380654,,,,,0.873477862345988,,-0.012510475488254931
cpd00023,,0.39339590111302997,0.16437262593755952,0.40964014457575143,,0.3903906718841195,0.5442044649715838,0.5050402496447123,0.5644601993265733,,0.3667010614241806,0.3497214833192282,0.759863779714756,,0.7919788436218673,0.7444828968671849,0.5747578791626451,0.6013989885945986,0.4431917404916816,0.2858323033824098,0.6231644912116769,1.0,0.3816264538413038,,0.3612505245996395,,0.4699569565014099,,,,,0.5016068533684155,0.479809661363095,0.4660914557261872,0.8055768989055009,0.5036381095141784,,0.3144110273507225,0.7162177074409549,0.5151797156571136,,,0.8864930813818984,0.48518972306527364,0.44414754258322503,0.3618754462167568,0.5620027820964578,0.32196740345949015,0.3743323419039166,0.33125794626959,0.7585646710878546,0.41180527283438356,,,0.1254771896994338,0.9986876007603571,,,,,0.26977172738934757,,0.22874413500526908
cpd00033,,0.898066722098278,0.19953740763694772,0.9656817644526374,,0.9298469772744924,0.9363405701981559,0.9576622065612667,0.9348832609955467,,0.9817808708176303,0.9223274695686214,0.5609969225856775,,0.525089497458596,0.47799820271848764,0.9284909565744128,0.3120898641577618,0.9003169181291905,0.9795883946390582,0.9250207927986325,0.3816264538413038,1.0,,-0.04823449171627865,,-0.13267795093424176,,,,,0.9645992004608268,0.9621840497027456,-0.15753566993788398,0.4973079810470161,0.9311247392293776,,0.48197557972123345,0.28729256273412124,0.892745343059093,,,0.2662198764394101,0.9656351803337136,0.9490561963565479,0.9799013641124222,0.9476505257653022,0.9170305877785777,0.9069285964634818,0.9021323201627264,0.4165714887976226,-0.04376844437634379,,,-0.02246964268631868,0.3936980150444228,,,,,0.9750004508661153,,-0.19307832176816656
cpd01113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
