Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
001cfeeb86f51bd8ae2b79268c8d806d,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
003902c5913081651d13fa0042ecac85,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
003ef22a3dcf8c6e655f6fcb9e5b8883,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,
004d919d8ff500a00bfe768062d3e30a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,Lachnospiraceae bacterium A2
006acab58c360970518d08544e77f20f,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,[Eubacterium] brachy group,uncultured Eubacteriaceae bacterium
0073d25591f05f6cfc230a89f51cd841,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
007a974b0637bc17763c30e89fbe0fec,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
008fb713223dbad791ce1c39c7d964b3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
00a930c5686229958d943fd2a962c3ef,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
00bd2dd899758eea2b046d677293459a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
00deabbbd35f6cf0d78175610566fa18,Bacteria,Firmicutes,Bacilli,Lactobacillales,uncultured,uncultured bacterium,uncultured bacterium
0105c85cb85c9ebf624fb5fafb1c0fae,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
0112b391c91552500f304bd87db3910f,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
011b511ced79975aa72c82cb7f5055cb,Bacteria,Firmicutes,,,,,
014e3bfa7c3d837fe741cd216b8637e3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,Clostridium sp. Culture-54
0160d0ab47cc8f8ed8d65cefe7ea49fd,Bacteria,,,,,,
016e64817806d73a9f07ec0f7a432509,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
0171c49f232c4b734f10100962c587bb,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,
01857223cbb9ac15130fda136d2d1035,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,
01a4857113f53d8b076458fbb68b77d4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured bacterium,uncultured bacterium
01adef4d98c6edefe7a7a756db0d59b0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales S24-7 group,uncultured bacterium,uncultured bacterium
01cd526dbd3c8439fe1c8f5c13ebf5e2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Triticum aestivum (bread wheat),Triticum aestivum (bread wheat)
01f25d4a979d8f3dd70dfd321d5fbeb4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,
01f6a12d543ab68b05d307d8c2217aeb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
01fa5b2a294694fdf7e36516315b53d2,Bacteria,,,,,,
0208760c8e189b52e7ed7070559601f2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
024582e84276b4d62b75e0f739a22038,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,Ambiguous_taxa
024d58e29bba2761cd7d222f6333e90c,Bacteria,Tenericutes,Mollicutes,Mollicutes RF9,,,
0260058cf4f4129aad5072567e92d144,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,
029524ff3f0ae12e8dde2c3d24f8ac06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
